year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,7.09099,6.86463,7.81636,7.21463,7.77043,6.92208,8.64559,7.73429,6.61385
2011,6.41524,6.03580,7.18161,6.75904,6.97661,6.52309,7.61268,7.18783,6.02193
2012,4.31840,4.17134,4.92095,4.81269,5.12569,4.98196,5.74414,4.83697,4.08624
2013,5.64457,5.42566,6.22177,6.02671,8.06812,5.96659,6.48806,6.21740,5.31173
2014,6.90157,6.19613,6.74979,6.53325,8.76920,6.65287,7.21768,7.39862,6.14191
2015,3.72847,3.83186,3.85032,4.28349,5.66414,4.31823,5.20964,4.42822,3.70961
2016,3.60433,3.34894,3.66107,3.54438,5.14830,3.66709,4.51428,3.50041,3.09747
2017,4.25133,4.06024,4.15969,4.19525,5.35528,4.18916,4.87257,4.46950,3.81434
2018,4.08306,4.02598,4.22836,4.31170,5.88125,4.31732,4.69319,4.33441,3.78456
2019,3.07415,3.29214,3.56932,3.55569,5.47646,3.74884,4.09898,3.35261,2.85090
2020,2.43360,2.77132,2.92226,3.11701,4.89456,3.30504,3.53561,2.85416,2.37295
2021,5.21205,5.94087,5.32393,6.29594,7.94785,6.71271,6.63282,5.65821,5.44123
2022,6.73681,7.91093,6.17517,7.81644,8.92891,8.04040,8.54369,7.62799,7.36052
2023,2.57670,2.93427,3.09409,3.30029,5.18236,3.49938,3.74350,3.02199,2.51248
2024,2.28508,2.64533,2.26953,2.84119,3.91474,3.17877,3.58168,2.60507,2.19948
2025,3.26855,3.77881,3.37901,3.67871,5.32540,3.91963,4.78151,3.54143,3.29486
