year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,0.326000000,0.567000000,0.890000000,0.641000000,0.420000000,0.989000000,1.544000000,0.124000000,2.049000000
2011,0.395000000,0.639000000,0.965000000,0.567000000,0.456000000,0.766000000,1.671000000,0.117000000,2.188000000
2012,0.656000000,0.797000000,1.154000000,0.663000000,0.448000000,1.045000000,2.043000000,0.171000000,2.337000000
2013,0.475000000,0.629000000,1.066000000,0.651000000,0.372000000,1.069000000,1.883000000,0.140000000,2.075000000
2014,0.482860000,0.671910000,1.131480000,0.648910000,0.341750000,1.073730000,1.896250000,0.108070000,2.025670000
2015,0.713310000,0.875420000,1.236450000,0.750920000,0.397610000,1.084430000,2.330100000,0.147160000,2.434110000
2016,0.912140000,0.961900000,1.344500000,0.765760000,0.393180000,0.917910000,2.469830000,0.191920000,2.351840000
2017,0.810260000,0.910900000,1.196160000,0.690330000,0.371410000,0.840900000,2.475890000,0.172190000,2.063170000
2018,1.002570000,0.994602000,1.300064000,0.760259000,0.400407000,0.871735000,2.535531000,0.189613000,2.661307000
2019,1.185716000,1.029824000,1.451554000,0.988215000,0.338651000,0.834003000,2.790259000,0.228314000,2.928261000
2020,1.262778000,1.047204000,1.684218000,0.954761000,0.360853000,0.847681000,2.768037000,0.247312000,2.940385000
2021,1.082247000,0.913914000,1.654776000,0.947247000,0.344592000,0.887034000,2.468727000,0.195056000,2.732240000
2022,1.477695000,0.900480000,1.998293000,0.947744000,0.366773000,0.850175000,2.605338000,0.257507000,2.797009000
2023,1.337029346,1.108779595,1.783250018,1.010900947,0.382071156,0.897524643,2.930797576,0.261853946,3.113279638
