t,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,4.559300,4.586249,4.160638,4.538095,5.072800,4.027822,3.880676,4.233184,4.061530
2011,2.406742,3.423837,3.147791,3.546338,3.805995,2.947141,3.199976,3.326743,2.676535
2012,1.217599,1.940362,1.791974,2.017254,2.576577,1.735304,1.961129,2.057979,1.453660
2013,3.198442,2.795017,2.647619,2.918222,3.092913,2.541974,2.722020,2.845981,2.089560
2014,3.679539,3.091068,3.383434,3.626075,3.518999,2.993543,3.201245,3.141674,2.487277
2015,1.600819,1.245292,1.393473,1.738072,2.202829,1.486571,1.700875,1.691527,0.984838
2016,1.281884,1.087498,1.291244,1.143979,1.763954,1.178758,1.304545,1.230402,0.693421
2017,1.515899,1.468781,1.733453,1.783935,2.035212,1.655994,1.749749,1.677248,1.115232
2018,1.662846,1.396555,1.538883,1.602474,1.834935,1.544824,1.714925,1.648859,1.075442
2019,1.487711,0.898453,0.861123,0.923210,1.395384,1.031842,1.117654,1.110659,0.685163
2020,1.067273,0.449013,0.457608,0.594351,1.038851,0.700067,0.812120,0.828284,0.388486
2021,2.966989,1.933491,2.160129,2.336297,2.934881,2.626162,2.655859,2.763732,2.430043
2022,3.413554,2.292514,2.972719,3.383250,3.975273,3.704996,3.713473,3.579114,3.158288
2023,1.130024,0.475416,0.484518,0.629304,1.099934,0.741230,0.859873,0.876987,0.411334
2024,0.135202,-0.125890,0.220165,0.263618,0.922764,0.485035,0.610162,0.511167,0.045006
2025,1.108914,0.601185,0.863123,0.880009,1.635120,1.213779,1.285697,1.064128,0.670486
2026,0.671290,0.451134,0.715084,0.751348,1.418080,1.016711,1.183269,0.952131,0.546283
2027,0.395931,0.292047,0.617925,0.666421,1.242231,0.875931,0.989540,0.862069,0.483612
2028,0.318788,0.168433,0.567460,0.643537,1.183696,0.839861,0.953149,0.851125,0.480907
2029,0.296394,0.143769,0.575616,0.660824,1.196084,0.878862,1.008313,0.877827,0.504958
2030,0.269400,0.130782,0.634125,0.723273,1.420834,0.974161,1.113869,1.002017,0.626526
2031,0.273626,0.134451,0.652880,0.754305,1.466179,1.023170,1.198958,1.091447,0.704086
2032,0.219313,0.069968,0.666611,0.846099,1.520358,1.089121,1.321114,1.216806,0.797587
2033,0.260556,0.096617,0.604105,0.834930,1.485130,1.038929,1.292949,1.241048,0.787401
2034,0.187888,0.029316,0.489419,0.775984,1.216269,0.958522,1.232195,1.240482,0.744750
2035,0.181927,-0.030959,0.430027,0.747584,1.263167,0.945117,1.235206,1.273895,0.737747
2036,0.137024,-0.109223,0.381435,0.709425,1.172084,0.918964,1.242404,1.300273,0.731842
2037,0.168563,-0.117597,0.320492,0.649962,1.130389,0.866084,1.216437,1.278962,0.646398
2038,0.112350,-0.176348,0.243586,0.572945,1.046034,0.790218,1.149587,1.184959,0.500813
2039,0.079598,-0.268235,0.148291,0.465093,0.950178,0.703505,1.064718,1.048065,0.346407
2040,-0.059601,-0.392519,0.053479,0.376114,0.871614,0.624793,0.993441,0.962721,0.232990
2041,-0.218848,-0.545699,-0.061608,0.257277,0.764985,0.523068,0.918969,0.842347,0.137274
2042,-0.378413,-0.707355,-0.185466,0.124114,0.647987,0.416798,0.823727,0.708869,-0.003099
2043,-0.512458,-0.825149,-0.286196,0.005823,0.550221,0.323207,0.746389,0.597777,-0.137443
2044,-0.637612,-0.931948,-0.371072,-0.118332,0.450141,0.229335,0.668595,0.492979,-0.263946
2045,-0.676116,-1.032834,-0.441924,-0.193050,0.378631,0.162548,0.613378,0.432171,-0.335872
2046,-0.713449,-1.097480,-0.497549,-0.237493,0.314151,0.103904,0.574419,0.395583,-0.365369
2047,-0.767542,-1.158374,-0.556369,-0.302063,0.253196,0.048921,0.540740,0.344603,-0.438947
2048,-0.820429,-1.211544,-0.603926,-0.328176,0.195107,-0.006141,0.507863,0.289875,-0.507049
2049,-0.865166,-1.276104,-0.665558,-0.403639,0.131508,-0.069103,0.468287,0.225292,-0.588833
2050,-0.920714,-1.330371,-0.715123,-0.490857,0.074984,-0.120909,0.430522,0.164523,-0.682461
