t,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,4.683875,4.711561,4.274321,4.662091,5.211406,4.137875,3.986710,4.348849,4.172505
2011,2.472506,3.517390,3.233803,3.643239,3.909991,3.027670,3.287413,3.417643,2.749670
2012,1.250872,1.993383,1.840941,2.072376,2.646981,1.782722,2.014717,2.114213,1.493384
2013,3.285838,2.871389,2.719964,2.997961,3.177424,2.611432,2.796398,2.923746,2.146657
2014,3.780080,3.175529,3.475885,3.725155,3.615153,3.075340,3.288717,3.227518,2.555242
2015,1.644563,1.279321,1.431551,1.785566,2.263022,1.527193,1.747352,1.737748,1.011752
2016,1.316913,1.117216,1.326530,1.175240,1.812154,1.210970,1.340193,1.264024,0.712373
2017,1.557322,1.508916,1.780821,1.832683,2.090824,1.701245,1.797561,1.723079,1.145708
2018,1.708285,1.434717,1.580935,1.646263,1.885075,1.587038,1.761786,1.693915,1.104832
2019,1.528365,0.923006,0.884657,0.948440,1.433515,1.060040,1.148196,1.141010,0.703889
2020,1.096439,0.461285,0.470116,0.610596,1.067240,0.719200,0.834314,0.850920,0.399106
2021,3.048062,1.986323,2.219156,2.400137,3.015076,2.697922,2.728430,2.839251,2.496445
2022,3.506828,2.355157,3.053949,3.475697,4.083895,3.806234,3.814942,3.676911,3.244588
2023,1.160906,0.488410,0.497762,0.646504,1.129992,0.761488,0.883372,0.900954,0.422579
2024,0.138902,-0.129326,0.226187,0.270827,0.947981,0.498293,0.626838,0.525139,0.046242
2025,1.112532,0.604016,0.872565,0.902577,1.752568,1.239786,1.307094,1.069134,0.665607
2026,1.182247,0.927551,1.306065,1.319041,1.948367,1.648432,1.850430,1.506702,1.065171
2027,1.461529,1.417431,1.827238,1.909350,2.537368,2.262736,2.262836,2.038614,1.606768
2028,2.038709,1.915272,2.459147,2.574644,3.059744,2.877756,2.870258,2.713319,2.321436
2029,2.535898,2.429469,2.996783,3.118406,3.457853,3.331342,3.249521,3.189342,2.838781
2030,2.770864,2.673323,3.229457,3.417286,3.700375,3.578605,3.465114,3.487623,3.128860
2031,2.942456,2.908211,3.452913,3.662150,3.948602,3.807328,3.755766,3.743020,3.371438
2032,3.175132,3.113510,3.778889,4.033603,4.215256,4.081534,4.150167,4.172843,3.739762
2033,3.410732,3.355249,3.959711,4.220726,4.415530,4.265264,4.273613,4.382129,3.974053
2034,3.630854,3.543736,4.126133,4.368566,4.619412,4.445083,4.372137,4.555232,4.158154
2035,3.903742,3.776936,4.312374,4.502374,4.867092,4.662576,4.517578,4.753376,4.364172
2036,4.167274,4.068747,4.604726,4.796661,5.212851,4.940096,4.837198,5.081321,4.676046
2037,4.493467,4.355943,4.897164,5.068629,5.535173,5.232174,5.145277,5.366389,4.982822
2038,4.713289,4.574778,5.059541,5.207148,5.730012,5.395626,5.298304,5.503076,5.114138
2039,4.918808,4.795898,5.328075,5.245817,5.923687,5.631441,5.527521,5.730320,5.296411
2040,5.049144,4.978420,5.480654,5.317867,6.036727,5.746121,5.644687,5.945398,5.471475
2041,5.476972,5.343456,5.877673,5.738023,6.317756,6.150490,6.081030,6.387971,5.942145
2042,5.783833,5.653430,6.168239,6.020824,6.604111,6.428727,6.339415,6.687927,6.205630
2043,5.974630,5.868721,6.359470,6.200016,6.800806,6.613374,6.510094,6.874730,6.361250
2044,6.049729,6.056427,6.563205,6.392978,7.004653,6.792663,6.691215,7.064897,6.499081
2045,6.321907,6.344060,6.877641,6.668217,7.306598,7.081711,6.977229,7.382743,6.789382
2046,6.603031,6.589686,7.152324,6.943600,7.546657,7.315103,7.194791,7.710810,7.060223
2047,6.772399,6.738436,7.323047,7.067070,7.720621,7.491805,7.364050,7.918913,7.216148
2048,6.945969,6.866065,7.468094,7.204616,7.878183,7.661694,7.507208,8.092247,7.331754
2049,7.099836,6.986040,7.579911,7.318169,8.001181,7.783056,7.618361,8.198880,7.412261
2050,7.261298,7.116850,7.702289,7.409940,8.149630,7.905161,7.742213,8.275735,7.539659
