year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,7.770430,7.816360,7.090990,7.734290,8.645590,6.864630,6.613850,7.214630,6.922080
2011,6.976610,7.181610,6.415240,7.187830,7.612680,6.035800,6.021930,6.759040,6.523090
2012,5.125690,4.920950,4.318400,4.836970,5.744140,4.171340,4.086240,4.812690,4.981960
2013,8.068120,6.221770,5.644570,6.217400,6.488060,5.425660,5.311730,6.026710,5.966590
2014,8.769200,6.749790,6.901570,7.398620,7.217680,6.196130,6.141910,6.533250,6.652870
2015,5.664140,3.850320,3.728470,4.428220,5.209640,3.831860,3.709610,4.283490,4.318230
2016,5.148300,3.661070,3.604330,3.500410,4.514280,3.348940,3.097470,3.544380,3.667090
2017,5.355280,4.159690,4.251330,4.469500,4.872570,4.060240,3.814340,4.195250,4.189160
2018,5.881250,4.228360,4.083060,4.334410,4.693190,4.025980,3.784560,4.311700,4.317320
2019,5.476460,3.569320,3.074150,3.352610,4.098980,3.292140,2.850900,3.555690,3.748840
2020,4.894560,2.922260,2.433600,2.854160,3.535610,2.771320,2.372950,3.117010,3.305040
2021,7.947850,5.323930,5.212050,5.658210,6.632820,5.940870,5.441230,6.295940,6.712710
2022,8.928910,6.175170,6.736810,7.627990,8.543690,7.910930,7.360520,7.816440,8.040400
2023,5.182360,3.094090,2.576700,3.021990,3.743500,2.934270,2.512480,3.300290,3.499380
2024,3.914740,2.269530,2.285080,2.605070,3.581680,2.645330,2.199480,2.841190,3.178770
2025,5.325405,3.379013,3.268552,3.541426,4.781505,3.778815,3.294860,3.678707,3.919628
2026,5.324889,3.579604,3.595711,3.873691,5.080299,4.140339,3.737669,4.047685,4.242898
2027,4.231030,3.347171,3.484283,3.847872,4.968219,3.950409,3.512904,3.955493,4.092942
2028,4.155579,3.315939,3.544278,3.934699,4.602939,3.991779,3.576442,4.099092,4.283302
2029,4.123753,3.428625,3.747785,4.209109,4.818919,4.209246,3.767626,4.329078,4.532804
2030,3.902078,3.655290,4.146273,4.832505,5.549663,4.875952,4.442943,4.929817,5.166997
2031,4.108847,3.748328,4.348245,5.122258,5.758215,5.231403,4.857481,5.380268,5.607684
2032,4.358751,3.915184,4.762383,5.663197,6.329670,5.617828,5.341123,5.885259,6.052363
2033,4.339409,3.894549,4.535047,5.558170,5.962244,5.491001,5.265240,5.859532,6.025182
2034,4.286699,3.800765,4.305512,5.381374,5.758488,5.286448,5.074927,5.756997,5.569988
2035,4.220026,3.741856,4.187365,5.300879,5.739176,5.277354,5.081973,5.745817,5.531476
2036,4.300572,3.728936,4.195457,5.328556,6.168354,5.364456,5.247342,5.915677,5.644624
2037,4.436268,3.877474,4.298908,5.447619,5.916055,5.454193,5.365159,6.044068,5.804154
2038,4.501762,3.969138,4.356161,5.486612,5.918227,5.450463,5.373397,6.023650,5.857410
2039,4.565640,4.036901,4.453778,5.425759,5.873913,5.453105,5.386227,5.945096,5.782586
2040,4.540153,4.024423,4.465064,5.435948,5.914954,5.484130,5.406227,5.929826,5.834826
2041,4.596998,4.111586,4.457271,5.452645,5.902722,5.426873,5.420537,6.007441,5.918538
2042,4.617490,4.149686,4.454994,5.401155,6.136202,5.319212,5.317644,5.951848,5.858219
2043,4.589023,4.125682,4.400375,5.292042,6.009053,5.196852,5.179297,5.804568,5.733068
2044,4.330436,4.025949,4.332788,5.210352,5.878681,5.086615,5.093683,5.709803,5.622851
2045,4.219499,3.884732,4.241616,5.142129,5.486709,4.944200,5.035359,5.648788,5.588075
2046,4.196424,3.792771,4.197471,5.176457,5.530549,4.880015,5.060451,5.711275,5.670421
2047,4.119616,3.717444,4.132073,5.109780,5.348881,4.810425,4.958267,5.661644,5.581164
2048,4.044715,3.663227,4.062656,5.041185,5.279084,4.740374,4.862533,5.595249,5.488992
2049,3.981374,3.620282,4.000563,4.967881,5.208039,4.675830,4.769575,5.556533,5.420349
2050,4.201423,3.592049,3.939520,4.903520,5.144186,4.611669,4.701788,5.484926,5.438996
