year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.420000,0.890000,0.326000,0.124000,1.544000,0.567000,2.049000,0.641000,0.989000
2011,0.456000,0.965000,0.395000,0.117000,1.671000,0.639000,2.188000,0.567000,0.766000
2012,0.448000,1.154000,0.656000,0.171000,2.043000,0.797000,2.337000,0.663000,1.045000
2013,0.372000,1.066000,0.475000,0.140000,1.883000,0.629000,2.075000,0.651000,1.069000
2014,0.341750,1.131480,0.482860,0.108070,1.896250,0.671910,2.025670,0.648910,1.073730
2015,0.397610,1.236450,0.713310,0.147160,2.330100,0.875420,2.434110,0.750920,1.084430
2016,0.393180,1.344500,0.912140,0.191920,2.469830,0.961900,2.351840,0.765760,0.917910
2017,0.371410,1.196160,0.810260,0.172190,2.475890,0.910900,2.063170,0.690330,0.840900
2018,0.400410,1.300060,1.002570,0.189610,2.535530,0.994600,2.661310,0.760260,0.871740
2019,0.338650,1.451550,1.185720,0.228310,2.790260,1.029820,2.928260,0.988210,0.834000
2020,0.360850,1.684220,1.262780,0.247310,2.768040,1.047200,2.940390,0.954760,0.847680
2021,0.344590,1.654780,1.082250,0.195060,2.468730,0.913910,2.732240,0.947250,0.887030
2022,0.366770,1.998290,1.477690,0.257510,2.605340,0.900480,2.797010,0.947740,0.850180
2023,0.382070,1.783250,1.337030,0.261850,2.930800,1.108780,3.113280,1.010900,0.897520
2024,0.451620,1.947870,1.803770,0.328230,2.771120,1.120750,3.278090,1.202130,1.026980
2025,0.417325,1.851161,1.648597,0.317455,2.866583,1.029691,3.039832,1.231434,0.851933
2026,0.467969,1.746961,1.713044,0.292045,2.850809,1.030120,3.425049,1.266515,0.827414
2027,0.304663,1.646666,1.841328,0.351720,2.930920,1.167425,3.132115,1.085011,0.715407
2028,0.282638,1.684212,1.952928,0.344860,2.882026,1.225841,3.124128,1.108953,0.710391
2029,0.208550,1.619591,1.985248,0.405253,3.056920,1.294265,3.261393,1.038270,0.728797
2030,0.147087,1.785222,2.011865,0.486595,3.039507,1.349217,3.259249,1.155577,0.748359
2031,0.127850,1.692420,2.040323,0.510064,3.143278,1.390848,3.439810,1.291346,0.793124
2032,0.166115,1.773454,2.854984,0.629632,3.334630,1.451952,3.714446,1.462801,0.858645
2033,0.174169,1.675639,3.015952,0.634252,3.394392,1.451795,3.823832,1.812109,0.657401
2034,0.175485,1.645214,3.205416,0.648723,3.488226,1.470505,3.904728,1.901085,0.713055
2035,0.169778,1.679040,3.321302,0.677436,3.590709,1.491139,3.986648,2.018383,0.760828
2036,0.175985,1.724456,3.448392,0.728275,3.705425,1.515289,4.037294,2.132609,0.815626
2037,0.162578,1.707575,3.572106,0.766930,3.887541,1.510466,4.127420,2.179991,0.902957
2038,0.158196,1.729452,3.658869,0.781836,4.040754,1.528602,4.220967,2.032956,1.105590
2039,0.161481,1.833264,3.768442,0.804460,4.263766,1.502221,4.343083,1.955187,1.262494
2040,0.156339,1.830200,3.948766,0.805841,4.367780,1.498289,4.419831,2.027627,1.323843
2041,0.155380,1.869890,4.019770,0.836198,4.486732,1.515667,4.574669,2.128645,1.344587
2042,0.159258,1.988616,4.167163,0.853261,4.548312,1.577872,4.687437,2.224538,1.374970
2043,0.160852,2.140853,4.294076,0.869560,4.607835,1.623893,4.807927,2.291301,1.411695
2044,0.139318,2.254237,4.463818,0.929913,4.701151,1.684566,4.927483,2.387595,1.430295
2045,0.110367,2.394387,4.541317,0.954616,4.777538,1.717293,5.002665,2.422866,1.453691
2046,0.114923,2.460590,4.688744,0.952163,4.820875,1.746517,5.118394,2.464838,1.450654
2047,0.111870,2.527314,4.810600,0.965562,4.858366,1.766934,5.253918,2.530149,1.462748
2048,0.111630,2.555921,4.932360,0.927140,4.920039,1.800730,5.376229,2.603085,1.459536
2049,0.109753,2.621164,4.997245,0.953469,4.963941,1.816386,5.553566,2.652108,1.475239
2050,0.130816,2.687166,5.002142,1.007838,4.991158,1.830329,5.647074,2.658764,1.528597
