year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.420000,0.890000,0.326000,0.124000,1.544000,0.567000,2.049000,0.641000,0.989000
2011,0.456000,0.965000,0.395000,0.117000,1.671000,0.639000,2.188000,0.567000,0.766000
2012,0.448000,1.154000,0.656000,0.171000,2.043000,0.797000,2.337000,0.663000,1.045000
2013,0.372000,1.066000,0.475000,0.140000,1.883000,0.629000,2.075000,0.651000,1.069000
2014,0.341750,1.131480,0.482860,0.108070,1.896250,0.671910,2.025670,0.648910,1.073730
2015,0.397610,1.236450,0.713310,0.147160,2.330100,0.875420,2.434110,0.750920,1.084430
2016,0.393180,1.344500,0.912140,0.191920,2.469830,0.961900,2.351840,0.765760,0.917910
2017,0.371410,1.196160,0.810260,0.172190,2.475890,0.910900,2.063170,0.690330,0.840900
2018,0.400410,1.300060,1.002570,0.189610,2.535530,0.994600,2.661310,0.760260,0.871740
2019,0.338650,1.451550,1.185720,0.228310,2.790260,1.029820,2.928260,0.988210,0.834000
2020,0.360850,1.684220,1.262780,0.247310,2.768040,1.047200,2.940390,0.954760,0.847680
2021,0.344590,1.654780,1.082250,0.195060,2.468730,0.913910,2.732240,0.947250,0.887030
2022,0.366770,1.998290,1.477690,0.257510,2.605340,0.900480,2.797010,0.947740,0.850180
2023,0.382070,1.783250,1.337030,0.261850,2.930800,1.108780,3.113280,1.010900,0.897520
2024,0.451620,1.947870,1.803770,0.328230,2.771120,1.120750,3.278090,1.202130,1.026980
2025,0.415699,1.814928,1.679000,0.303772,2.901429,1.019626,3.039703,1.227479,0.852376
2026,0.471940,1.892826,1.742216,0.280337,2.752043,0.955223,3.449575,1.270218,0.805547
2027,0.301155,1.519425,1.323182,0.224736,2.449615,0.842020,2.377727,0.850297,0.683090
2028,0.247602,1.456988,1.344027,0.225546,2.255227,0.866748,2.243650,0.828409,0.660176
2029,0.215992,1.435084,1.413110,0.331048,2.007415,0.875769,2.030363,0.765199,0.666055
2030,0.181131,1.405076,1.342575,0.431404,2.066261,0.885410,2.036111,0.836330,0.691846
2031,0.173324,1.294632,1.241520,0.407349,1.972942,0.774044,1.980588,0.819401,0.640920
2032,0.185051,1.379459,1.442365,0.537819,2.122517,0.852192,2.535162,1.050292,0.715507
2033,0.176080,1.283438,1.349913,0.477644,2.018384,0.810948,2.231772,0.954536,0.689854
2034,0.169384,1.189227,1.283549,0.386284,2.015351,0.771330,1.920939,0.854735,0.619171
2035,0.163692,1.089855,1.158178,0.335705,1.971972,0.684919,1.662948,0.767628,0.561833
2036,0.166770,1.049285,1.103241,0.324191,1.942473,0.639220,1.487373,0.732576,0.554200
2037,0.163613,0.986870,1.041893,0.304279,1.963684,0.596215,1.492653,0.715167,0.546481
2038,0.162177,0.987886,1.044960,0.294146,1.929736,0.579216,1.495804,0.692604,0.501309
2039,0.150060,0.956840,1.119514,0.166236,1.804188,0.690582,1.528119,0.623204,0.452780
2040,0.138701,0.924067,1.108948,0.164876,1.700179,0.679190,1.573129,0.617334,0.453095
2041,0.140308,0.937378,1.098532,0.188367,1.557672,0.661338,1.585708,0.660225,0.455047
2042,0.133711,0.925667,1.102409,0.190433,1.583407,0.680625,1.585218,0.684994,0.457538
2043,0.144300,0.927282,1.119741,0.192070,1.605054,0.662954,1.615774,0.689120,0.455408
2044,0.113996,0.936408,1.161269,0.164290,1.614498,0.661131,1.621199,0.710736,0.435302
2045,0.100468,0.906334,1.182112,0.163450,1.620273,0.638799,1.599687,0.737419,0.431589
2046,0.099194,0.902110,1.189454,0.165687,1.638262,0.626578,1.557580,0.734336,0.424507
2047,0.101461,0.882888,1.153745,0.198688,1.653636,0.619159,1.545822,0.747760,0.418307
2048,0.101902,0.888655,1.161926,0.199668,1.664755,0.633662,1.551339,0.760913,0.419132
2049,0.101241,0.885032,1.205107,0.197028,1.642012,0.625737,1.551197,0.772766,0.426429
2050,0.104621,0.876168,1.204226,0.196322,1.605915,0.609529,1.520899,0.757297,0.453179
