year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.420000,0.890000,0.326000,0.124000,1.544000,0.567000,2.049000,0.641000,0.989000
2011,0.456000,0.965000,0.395000,0.117000,1.671000,0.639000,2.188000,0.567000,0.766000
2012,0.448000,1.154000,0.656000,0.171000,2.043000,0.797000,2.337000,0.663000,1.045000
2013,0.372000,1.066000,0.475000,0.140000,1.883000,0.629000,2.075000,0.651000,1.069000
2014,0.341750,1.131480,0.482860,0.108070,1.896250,0.671910,2.025670,0.648910,1.073730
2015,0.397610,1.236450,0.713310,0.147160,2.330100,0.875420,2.434110,0.750920,1.084430
2016,0.393180,1.344500,0.912140,0.191920,2.469830,0.961900,2.351840,0.765760,0.917910
2017,0.371410,1.196160,0.810260,0.172190,2.475890,0.910900,2.063170,0.690330,0.840900
2018,0.400410,1.300060,1.002570,0.189610,2.535530,0.994600,2.661310,0.760260,0.871740
2019,0.338650,1.451550,1.185720,0.228310,2.790260,1.029820,2.928260,0.988210,0.834000
2020,0.360850,1.684220,1.262780,0.247310,2.768040,1.047200,2.940390,0.954760,0.847680
2021,0.344590,1.654780,1.082250,0.195060,2.468730,0.913910,2.732240,0.947250,0.887030
2022,0.366770,1.998290,1.477690,0.257510,2.605340,0.900480,2.797010,0.947740,0.850180
2023,0.382070,1.783250,1.337030,0.261850,2.930800,1.108780,3.113280,1.010900,0.897520
2024,0.451620,1.947870,1.803770,0.328230,2.771120,1.120750,3.278090,1.202130,1.026980
2025,0.415962,1.821352,1.659616,0.322851,2.873841,1.025486,3.065815,1.210192,0.858895
2026,0.467906,1.820325,1.769046,0.325733,2.829953,1.019964,3.381424,1.318901,0.827082
2027,0.307878,1.586809,1.615740,0.288666,2.767963,1.040631,2.772255,1.008156,0.721722
2028,0.270876,1.570074,1.720648,0.280728,2.549712,1.040693,2.720559,1.004709,0.718189
2029,0.232678,1.509975,1.780526,0.383555,2.602069,1.122983,2.567170,0.958634,0.730647
2030,0.147137,1.591015,1.807315,0.505788,2.698203,1.189790,2.461878,1.031264,0.754155
2031,0.154523,1.518058,1.818539,0.493469,2.725821,1.153110,2.466089,1.071877,0.762239
2032,0.171140,1.652519,2.332649,0.528790,2.878121,1.160405,2.773816,1.221084,0.763647
2033,0.168154,1.611316,2.258104,0.461596,2.670293,1.146366,2.491760,1.138652,0.792403
2034,0.166387,1.598844,2.295054,0.445965,2.691954,1.154389,2.390950,1.174780,0.665455
2035,0.168846,1.631779,2.349791,0.443320,2.756552,1.135390,2.422616,1.105567,0.661612
2036,0.173900,1.690080,2.441845,0.439980,2.860936,1.145885,2.462188,1.142129,0.721888
2037,0.166064,1.736329,2.535429,0.450350,2.993963,1.166464,2.506264,1.215184,0.787384
2038,0.174862,1.741541,2.590947,0.443396,3.036464,1.187185,2.486950,1.190728,0.821557
2039,0.169670,1.766711,2.819755,0.395888,3.144396,1.099472,2.539166,1.167671,0.774401
2040,0.158342,1.790556,2.885969,0.382803,3.157984,1.133317,2.436097,1.193164,0.810810
2041,0.156059,1.802938,2.898490,0.387704,3.244412,1.191263,2.465115,1.245131,0.859055
2042,0.153217,1.800179,2.975342,0.404266,3.393687,1.212832,2.542635,1.319474,0.890109
2043,0.158617,1.824126,3.075706,0.433313,3.481175,1.240058,2.602159,1.378363,0.920913
2044,0.139163,1.890954,3.161263,0.459030,3.601084,1.270154,2.685139,1.460349,0.921405
2045,0.133956,1.939437,3.189294,0.460997,3.706220,1.316607,2.718325,1.509268,0.945207
2046,0.137652,2.003619,3.211974,0.467564,3.787705,1.377722,2.809215,1.583674,0.936823
2047,0.142889,2.027699,3.237010,0.481618,3.860097,1.423071,2.881419,1.606334,0.956864
2048,0.144934,2.050089,3.263034,0.486595,3.923238,1.497705,2.922786,1.674062,0.953635
2049,0.139210,2.080405,3.307015,0.484645,3.986758,1.526371,2.981777,1.742009,0.953994
2050,0.225399,2.142084,3.297439,0.499338,4.038809,1.500245,2.993482,1.698395,1.008947
