year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.858180,2.642740,3.358270,1.549810,2.864660,1.354120,5.379280,4.756300,2.707130
2011,0.915350,2.719850,3.525400,1.555520,2.934920,1.416260,5.529350,4.793510,2.548560
2012,0.879080,2.770950,3.547680,1.491080,3.280120,1.540450,5.730930,4.903690,2.803610
2013,0.859500,2.891800,3.818100,1.645920,3.261050,1.455900,5.577360,4.972180,2.896840
2014,0.857730,3.120450,4.045160,1.680470,3.326570,1.544660,5.646740,5.000560,2.784840
2015,0.905920,3.099140,3.886720,1.574980,3.663950,1.696390,5.951670,5.255470,2.763970
2016,0.856640,3.156140,3.920960,1.638640,3.735140,1.746690,5.803450,1.581650,2.775400
2017,0.879540,3.113560,3.997110,1.729600,3.888780,1.767730,5.922210,1.576460,2.827700
2018,0.930980,3.316360,4.395240,1.846240,4.067650,1.912480,6.697610,1.676030,2.952350
2019,0.884970,3.507680,4.665440,1.972420,4.325760,1.962090,7.134520,1.985240,2.949310
2020,0.849800,3.615310,4.578500,1.915620,4.221530,1.967890,7.066120,1.900720,2.847720
2021,0.878470,3.665610,4.418460,1.893200,3.971680,1.844550,6.865970,1.921410,2.947450
2022,0.923150,4.044720,4.940080,1.998680,4.159860,1.892740,7.156390,1.914710,2.857150
2023,0.914370,3.709180,4.648730,1.877740,4.158050,1.861390,6.910270,1.734920,2.869450
2024,0.962170,3.903120,4.963340,2.048190,4.375370,2.097470,7.421420,2.159530,2.982530
2025,0.945037,3.860492,5.015822,2.087011,4.549070,2.021427,7.369015,2.215069,2.788580
2026,0.987475,3.733586,5.023307,1.980979,4.487000,2.000728,7.778195,2.263465,2.761178
2027,0.827551,3.635760,5.207797,2.081153,4.596195,2.127968,7.426451,2.089241,2.638196
2028,0.809603,3.672941,5.313888,2.068848,4.547182,2.180254,7.392116,2.123260,2.642632
2029,0.732051,3.591873,5.322313,2.121058,4.711706,2.242150,7.534577,2.057393,2.655006
2030,0.667574,3.739352,5.314254,2.196064,4.689672,2.293315,7.542428,2.180421,2.678366
2031,0.643146,3.626257,5.313427,2.215526,4.790040,2.332252,7.705997,2.328898,2.728465
2032,0.679556,3.701978,6.114575,2.340974,4.989939,2.397843,8.011409,2.515427,2.803385
2033,0.687615,3.600985,6.259030,2.350158,5.059957,2.406489,8.150441,2.877159,2.536253
2034,0.686607,3.578408,6.443136,2.374649,5.164662,2.438355,8.261511,2.978614,2.583217
2035,0.678884,3.610814,6.553623,2.410021,5.289208,2.456965,8.369002,3.110021,2.628823
2036,0.682520,3.654597,6.680509,2.465123,5.416865,2.487286,8.444514,3.235569,2.683835
2037,0.667253,3.636546,6.782361,2.515822,5.612709,2.489349,8.572031,3.293550,2.769227
2038,0.661932,3.652292,6.861833,2.539302,5.780676,2.516107,8.704844,3.167639,3.038968
2039,0.664658,3.756619,6.976791,2.568685,6.020574,2.498929,8.866220,3.112101,3.227316
2040,0.658783,3.752446,7.152576,2.576104,6.141085,2.504207,8.994414,3.200019,3.312811
2041,0.657174,3.792520,7.226554,2.616238,6.275909,2.529565,9.176105,3.317863,3.352399
2042,0.660726,3.911083,7.385400,2.647443,6.353165,2.600203,9.328657,3.430503,3.406197
2043,0.661555,4.061972,7.520255,2.672293,6.427284,2.654492,9.500743,3.513082,3.458118
2044,0.639036,4.171165,7.689994,2.736487,6.526492,2.724593,9.640671,3.620002,3.483273
2045,0.609310,4.309261,7.767219,2.771669,6.608011,2.770861,9.747934,3.671841,3.528038
2046,0.613073,4.371390,7.915614,2.780104,6.675318,2.796036,9.891739,3.728738,3.546356
2047,0.609351,4.436017,8.041780,2.806571,6.729046,2.823490,10.062180,3.811924,3.576517
2048,0.608406,4.464117,8.167671,2.778922,6.805774,2.864776,10.210494,3.900021,3.588124
2049,0.605763,4.526435,8.235657,2.816069,6.863463,2.887931,10.420832,3.965691,3.624958
2050,0.626196,4.589968,8.242544,2.879888,6.905205,2.910258,10.557559,3.989760,3.704296
