year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.858180,2.642740,3.358270,1.549810,2.864660,1.354120,5.379280,4.756300,2.707130
2011,0.915350,2.719850,3.525400,1.555520,2.934920,1.416260,5.529350,4.793510,2.548560
2012,0.879080,2.770950,3.547680,1.491080,3.280120,1.540450,5.730930,4.903690,2.803610
2013,0.859500,2.891800,3.818100,1.645920,3.261050,1.455900,5.577360,4.972180,2.896840
2014,0.857730,3.120450,4.045160,1.680470,3.326570,1.544660,5.646740,5.000560,2.784840
2015,0.905920,3.099140,3.886720,1.574980,3.663950,1.696390,5.951670,5.255470,2.763970
2016,0.856640,3.156140,3.920960,1.638640,3.735140,1.746690,5.803450,1.581650,2.775400
2017,0.879540,3.113560,3.997110,1.729600,3.888780,1.767730,5.922210,1.576460,2.827700
2018,0.930980,3.316360,4.395240,1.846240,4.067650,1.912480,6.697610,1.676030,2.952350
2019,0.884970,3.507680,4.665440,1.972420,4.325760,1.962090,7.134520,1.985240,2.949310
2020,0.849800,3.615310,4.578500,1.915620,4.221530,1.967890,7.066120,1.900720,2.847720
2021,0.878470,3.665610,4.418460,1.893200,3.971680,1.844550,6.865970,1.921410,2.947450
2022,0.923150,4.044720,4.940080,1.998680,4.159860,1.892740,7.156390,1.914710,2.857150
2023,0.914370,3.709180,4.648730,1.877740,4.158050,1.861390,6.910270,1.734920,2.869450
2024,0.962170,3.903120,4.963340,2.048190,4.375370,2.097470,7.421420,2.159530,2.982530
2025,0.943428,3.824324,5.052043,2.075537,4.583968,2.012200,7.365664,2.212374,2.781979
2026,0.987331,3.864871,5.001111,1.936648,4.356728,1.904128,7.699248,2.255174,2.714072
2027,0.814699,3.473172,4.545505,1.869176,4.050457,1.754747,6.422260,1.823242,2.567224
2028,0.759689,3.392891,4.503676,1.834690,3.833844,1.757903,6.196378,1.793492,2.510289
2029,0.720305,3.338682,4.507474,1.909920,3.558805,1.746712,5.907505,1.726727,2.488916
2030,0.679239,3.280586,4.395971,1.993817,3.602709,1.746778,5.891112,1.791341,2.504655
2031,0.667293,3.154895,4.266676,1.966177,3.507431,1.634011,5.840665,1.779657,2.452621
2032,0.675957,3.204367,4.443736,2.092644,3.652616,1.713040,6.407189,2.021989,2.521406
2033,0.664833,3.096838,4.330495,2.035296,3.554395,1.673788,6.102612,1.928428,2.498123
2034,0.656634,2.994922,4.251393,1.947029,3.560668,1.641038,5.847789,1.840954,2.424235
2035,0.649742,2.888081,4.115732,1.896545,3.526124,1.558864,5.600486,1.766208,2.364536
2036,0.651234,2.839342,4.014419,1.870778,3.504481,1.505583,5.264624,1.737461,2.353991
2037,0.645901,2.761872,3.925659,1.845425,3.522559,1.468723,5.248013,1.728174,2.315224
2038,0.642371,2.749322,3.908282,1.830415,3.493361,1.453365,5.284578,1.712330,2.268514
2039,0.628123,2.708414,3.960386,1.696099,3.373119,1.566121,5.338129,1.649599,2.220009
2040,0.614494,2.664435,3.929336,1.689776,3.274434,1.555270,5.387284,1.650336,2.218868
2041,0.612308,2.663845,3.886926,1.700919,3.135031,1.530226,5.381207,1.695383,2.196539
2042,0.601879,2.636851,3.862782,1.693417,3.158982,1.547435,5.385444,1.721956,2.191618
2043,0.608784,2.607196,3.856205,1.686449,3.173237,1.530275,5.427279,1.728730,2.193652
2044,0.576423,2.602728,3.879140,1.654073,3.184794,1.526655,5.452078,1.754698,2.172728
2045,0.559948,2.560731,3.879535,1.648236,3.191702,1.504468,5.449376,1.785650,2.170413
2046,0.555836,2.544347,3.866001,1.646746,3.211336,1.493087,5.431397,1.786631,2.163434
2047,0.555495,2.514506,3.814792,1.677195,3.229958,1.486906,5.431805,1.804871,2.167439
2048,0.553564,2.510631,3.808950,1.676222,3.245131,1.502543,5.441922,1.823724,2.165981
2049,0.550647,2.497353,3.839051,1.672237,3.226012,1.495376,5.444039,1.842031,2.185901
2050,0.551988,2.479117,3.827497,1.670714,3.194472,1.481388,5.433867,1.833009,2.212266
