year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.858180,2.642740,3.358270,1.549810,2.864660,1.354120,5.379280,4.756300,2.707130
2011,0.915350,2.719850,3.525400,1.555520,2.934920,1.416260,5.529350,4.793510,2.548560
2012,0.879080,2.770950,3.547680,1.491080,3.280120,1.540450,5.730930,4.903690,2.803610
2013,0.859500,2.891800,3.818100,1.645920,3.261050,1.455900,5.577360,4.972180,2.896840
2014,0.857730,3.120450,4.045160,1.680470,3.326570,1.544660,5.646740,5.000560,2.784840
2015,0.905920,3.099140,3.886720,1.574980,3.663950,1.696390,5.951670,5.255470,2.763970
2016,0.856640,3.156140,3.920960,1.638640,3.735140,1.746690,5.803450,1.581650,2.775400
2017,0.879540,3.113560,3.997110,1.729600,3.888780,1.767730,5.922210,1.576460,2.827700
2018,0.930980,3.316360,4.395240,1.846240,4.067650,1.912480,6.697610,1.676030,2.952350
2019,0.884970,3.507680,4.665440,1.972420,4.325760,1.962090,7.134520,1.985240,2.949310
2020,0.849800,3.615310,4.578500,1.915620,4.221530,1.967890,7.066120,1.900720,2.847720
2021,0.878470,3.665610,4.418460,1.893200,3.971680,1.844550,6.865970,1.921410,2.947450
2022,0.923150,4.044720,4.940080,1.998680,4.159860,1.892740,7.156390,1.914710,2.857150
2023,0.914370,3.709180,4.648730,1.877740,4.158050,1.861390,6.910270,1.734920,2.869450
2024,0.962170,3.903120,4.963340,2.048190,4.375370,2.097470,7.421420,2.159530,2.982530
2025,0.942486,3.825981,5.019777,2.086996,4.549990,2.016593,7.432802,2.189275,2.787714
2026,0.984773,3.793366,5.029572,2.060658,4.449345,1.982398,7.588451,2.305218,2.753546
2027,0.826823,3.576899,4.916392,1.982203,4.414279,1.985681,6.998650,2.005402,2.641933
2028,0.793062,3.555542,5.010098,1.969896,4.194464,1.979965,6.926657,2.006204,2.632389
2029,0.750938,3.476859,5.038648,2.060655,4.235593,2.053308,6.759314,1.963060,2.642720
2030,0.661602,3.538993,5.035486,2.174834,4.323945,2.113672,6.625940,2.036885,2.657496
2031,0.663432,3.454977,5.033191,2.159881,4.352014,2.074529,6.634375,2.084137,2.671026
2032,0.677784,3.581752,5.534689,2.194160,4.510006,2.083152,6.939042,2.245369,2.675305
2033,0.675912,3.534634,5.447337,2.134476,4.314651,2.075462,6.685588,2.177674,2.709949
2034,0.673442,3.524130,5.487921,2.136691,4.340604,2.110237,6.656223,2.225151,2.519226
2035,0.677331,3.555830,5.551868,2.140519,4.433356,2.085604,6.737303,2.171232,2.508650
2036,0.683761,3.613431,5.633051,2.145258,4.552836,2.102115,6.793973,2.220229,2.559445
2037,0.671905,3.658090,5.719880,2.160131,4.697305,2.127887,6.878952,2.304298,2.619508
2038,0.678061,3.661387,5.763537,2.154860,4.751060,2.153105,6.876564,2.302169,2.704062
2039,0.670787,3.683881,5.992211,2.114554,4.872325,2.072491,6.957989,2.293129,2.674567
2040,0.657359,3.706461,6.058501,2.103828,4.898774,2.112561,6.875210,2.333061,2.730716
2041,0.653394,3.714217,6.060242,2.111508,4.996305,2.176871,6.933425,2.397303,2.795197
2042,0.649386,3.706437,6.133780,2.133687,5.157597,2.203106,7.031544,2.483388,2.841049
2043,0.653150,3.724521,6.226460,2.169468,5.253417,2.238532,7.124736,2.555906,2.891721
2044,0.632348,3.786657,6.304413,2.205308,5.377156,2.279501,7.246978,2.653509,2.912265
2045,0.626222,3.836870,6.340540,2.220046,5.494728,2.333329,7.336374,2.715578,2.928550
2046,0.629178,3.899887,6.362288,2.234760,5.596853,2.394007,7.472200,2.804054,2.934182
2047,0.633655,3.923208,6.389232,2.259722,5.683524,2.448742,7.605679,2.841660,2.969567
2048,0.634865,3.943225,6.415991,2.275084,5.760139,2.530869,7.685361,2.924933,2.989456
2049,0.628185,3.970002,6.462479,2.284726,5.835090,2.566808,7.797091,3.008272,2.999893
2050,0.712875,4.027762,6.452061,2.307911,5.898229,2.547479,7.860336,2.979851,3.069551
