tech,turbine,t,cf
wind-ofs,fixed,2010,0.36354193
wind-ofs,fixed,2011,0.36354193
wind-ofs,fixed,2012,0.36354193
wind-ofs,fixed,2013,0.36354193
wind-ofs,fixed,2014,0.36354193
wind-ofs,fixed,2015,0.36354193
wind-ofs,fixed,2016,0.36354193
wind-ofs,fixed,2017,0.36354193
wind-ofs,fixed,2018,0.36354193
wind-ofs,fixed,2019,0.36354193
wind-ofs,fixed,2020,0.36354193
wind-ofs,fixed,2021,0.36354193
wind-ofs,fixed,2022,0.36354193
wind-ofs,floating,2010,0.4255253
wind-ofs,floating,2011,0.4255253
wind-ofs,floating,2012,0.4255253
wind-ofs,floating,2013,0.4255253
wind-ofs,floating,2014,0.4255253
wind-ofs,floating,2015,0.4255253
wind-ofs,floating,2016,0.4255253
wind-ofs,floating,2017,0.4255253
wind-ofs,floating,2018,0.4255253
wind-ofs,floating,2019,0.4255253
wind-ofs,floating,2020,0.4255253
wind-ofs,floating,2021,0.4255253
wind-ofs,floating,2022,0.4255253
wind-ons,115hh_170rd,2010,0.292507583
wind-ons,115hh_170rd,2011,0.287863519
wind-ons,115hh_170rd,2012,0.333422154
wind-ons,115hh_170rd,2013,0.378516641
wind-ons,115hh_170rd,2014,0.415988114
wind-ons,115hh_170rd,2015,0.392978011
wind-ons,115hh_170rd,2016,0.426335902
wind-ons,115hh_170rd,2017,0.409774907
wind-ons,115hh_170rd,2018,0.439249026
wind-ons,115hh_170rd,2019,0.410346804
wind-ons,115hh_170rd,2020,0.398443076
wind-ons,115hh_170rd,2021,0.367444538
wind-ons,115hh_170rd,2022,0.382081555
upv,,2010,0.276402901
upv,,2011,0.276402901
upv,,2012,0.276402901
upv,,2013,0.276402901
upv,,2014,0.276402901
upv,,2015,0.276402901
upv,,2016,0.276402901
upv,,2017,0.276402901
upv,,2018,0.276402901
upv,,2019,0.276402901
upv,,2020,0.276402901
upv,,2021,0.276402901
upv,,2022,0.276402901
