i,t,capcost,fom,vom,heatrate
biopower,2010,4726.476766,142.9276928,5.485907804,13.5
biopower,2011,4712.415325,142.9276928,5.485907804,13.5
biopower,2012,4698.353884,142.9276928,5.485907804,13.5
biopower,2013,4684.292442,142.9276928,5.485907804,13.5
biopower,2014,4670.231002,142.9276928,5.485907804,13.5
biopower,2015,4656.169559,142.9276928,5.485907804,13.5
biopower,2016,4642.108118,142.9276928,5.485907804,13.5
biopower,2017,4628.046676,142.9276928,5.485907804,13.5
biopower,2018,4613.985236,142.9276928,5.485907804,13.5
biopower,2019,4599.923794,142.9276928,5.485907804,13.5
biopower,2020,4617.272559,170.5719249,5.419053793,13.5
biopower,2021,5183.685345,169.7976,5.4432,13.5
biopower,2022,4829.860171,163.66602,5.24664,13.5
biopower,2023,4737.830739,167.746308,5.367867,13.3
