i,t,capcost,fom,vom,heatrate
coal-CCS_mod,2010,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2011,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2012,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2013,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2014,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2015,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2016,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2017,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2018,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2019,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2020,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2021,5125.032,131.868,15.8652,10.938
coal-CCS_mod,2022,5312.5,137.2,16.12,10.938
