i,t,capcost,fom,vom,heatrate
ng-fuel-cell,2010,9999.0,40.7,7.79,5.543
ng-fuel-cell,2011,9999.0,40.7,7.79,5.543
ng-fuel-cell,2012,9999.0,40.7,7.79,5.543
ng-fuel-cell,2013,9999.0,40.7,7.79,5.543
ng-fuel-cell,2014,9999.0,40.7,7.79,5.543
ng-fuel-cell,2015,9999.0,40.7,7.79,5.543
ng-fuel-cell,2016,9999.0,40.7,7.79,5.543
ng-fuel-cell,2017,9999.0,40.7,7.79,5.543
ng-fuel-cell,2018,9999.0,40.7,7.79,5.543
ng-fuel-cell,2019,9999.0,40.7,7.79,5.543
ng-fuel-cell,2020,9999.0,40.7,7.79,5.543
ng-fuel-cell,2021,9999.0,40.7,7.79,5.543
ng-fuel-cell,2022,9999.0,40.7,7.79,5.543
ng-fuel-cell,2023,9999.0,40.7,7.79,5.543
ng-fuel-cell,2024,9999.0,40.7,7.79,5.543
ng-fuel-cell,2025,9999.0,40.7,7.79,5.543
ng-fuel-cell,2026,9999.0,40.7,7.79,5.543
ng-fuel-cell,2027,9999.0,40.7,7.79,5.543
ng-fuel-cell,2028,9999.0,40.7,7.79,5.543
ng-fuel-cell,2029,9999.0,40.7,7.79,5.543
ng-fuel-cell,2030,9999.0,40.7,7.79,5.543
ng-fuel-cell,2031,9999.0,40.7,7.79,5.543
ng-fuel-cell,2032,9999.0,40.7,7.79,5.543
ng-fuel-cell,2033,9999.0,40.7,7.79,5.543
ng-fuel-cell,2034,9999.0,40.7,7.79,5.543
ng-fuel-cell,2035,1338.136408,38.136407,7.223823,5.543
