i,t,capcost,fom,vom,heatrate
Gas-CC-CCS_mod,2010,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2011,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2012,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2013,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2014,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2015,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2016,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2017,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2018,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2019,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2020,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2021,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2022,2656.6,70.7,5.11,7.22
Gas-CC-CCS_mod,2023,2708.549473679557,71.95004808433781,5.235350628299613,7.236
Gas-CC_H_1x1-CCS_mod,2010,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2011,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2012,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2013,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2014,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2015,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2016,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2017,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2018,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2019,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2020,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2021,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2022,2968.7,78.0,5.3,6.848
Gas-CC_H_1x1-CCS_mod,2023,2623.4390029149067,69.54851109887926,4.985590781811925,6.848
Gas-CC_H_2x1-CCS_mod,2010,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2011,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2012,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2013,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2014,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2015,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2016,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2017,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2018,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2019,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2020,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2021,2443.7,64.0,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2022,2524.1,65.8,4.86,7.007
Gas-CC_H_2x1-CCS_mod,2023,2480.691644499251,64.26512973087048,4.831892414742579,6.892
