i,t,capcost,fom,vom,heatrate
Gas-CC,2010,1141.254325,31.24999307,1.991757801,6.5375
Gas-CC,2011,1136.675573,31.24999307,1.991757801,6.518111111
Gas-CC,2012,1132.096819,31.24999307,1.991757801,6.498722222
Gas-CC,2013,1127.518066,31.24999307,1.991757801,6.479333333
Gas-CC,2014,1122.939312,31.24999307,1.991757801,6.459944444
Gas-CC,2015,1118.360558,31.24999307,1.991757801,6.440555556
Gas-CC,2016,1113.781805,31.24999307,1.991757801,6.421166667
Gas-CC,2017,1109.203051,31.24999307,1.991757801,6.401777778
Gas-CC,2018,1104.624297,31.24999307,1.991757801,6.382388889
Gas-CC,2019,1100.045544,31.24999307,1.991757801,6.363
Gas-CC,2020,1070.809499,31.66068212,1.967485246,6.363
Gas-CC,2021,1205.712,33.588,2.1168,6.363
Gas-CC,2022,1245.4,34.5,2.17,6.363
Gas-CC,2023,1310.470702,36.023055,2.267051,6.385
Gas-CC_H_1x1,2010,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2011,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2012,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2013,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2014,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2015,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2016,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2017,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2018,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2019,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2020,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2021,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2022,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2023,1239.57733,33.909702,2.113353,6.068
Gas-CC_H_2x1,2010,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2011,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2012,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2013,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2014,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2015,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2016,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2017,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2018,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2019,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2020,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2021,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2022,1278.4,34.1,2.16,6.196
Gas-CC_H_2x1,2023,1095.100865,29.298751,1.940442,6.113
Gas-CT,2010,1059.98145,23.92398737,5.654760652,10.2225
Gas-CT,2011,1050.823943,23.92398737,5.654760652,10.16633333
Gas-CT,2012,1041.666436,23.92398737,5.654760652,10.11016667
Gas-CT,2013,1032.508929,23.92398737,5.654760652,10.054
Gas-CT,2014,1023.351422,23.92398737,5.654760652,9.997833333
Gas-CT,2015,1014.193915,23.92398737,5.654760652,9.941666667
Gas-CT,2016,1005.036407,23.92398737,5.654760652,9.8855
Gas-CT,2017,995.8789002,23.92398737,5.654760652,9.829333333
Gas-CT,2018,986.7213932,23.92398737,5.654760652,9.773166667
Gas-CT,2019,977.563886,23.92398737,5.654760652,9.717
Gas-CT,2020,950.9512022,23.74551159,5.585848916,9.717
Gas-CT,2021,1082.808,25.92,6.9552,9.717
Gas-CT,2022,1110.4,26.1,6.94,9.717
Gas-CT,2023,1075.504324,25.744476,8.165226,9.717
Gas-CT_aero,2010,1540.246,11.02,5.476,9.447
Gas-CT_aero,2011,1540.246,11.02,5.476,9.447
Gas-CT_aero,2012,1540.246,11.02,5.476,9.447
Gas-CT_aero,2013,1540.246,11.02,5.476,9.447
Gas-CT_aero,2014,1540.246,11.02,5.476,9.447
Gas-CT_aero,2015,1540.246,11.02,5.476,9.447
Gas-CT_aero,2016,1540.246,11.02,5.476,9.447
Gas-CT_aero,2017,1540.246,11.02,5.476,9.447
Gas-CT_aero,2018,1540.246,11.02,5.476,9.447
Gas-CT_aero,2019,1540.246,11.02,5.476,9.447
Gas-CT_aero,2020,1540.246,11.02,5.476,9.447
Gas-CT_aero,2021,1540.246,11.02,5.476,9.447
Gas-CT_aero,2022,1540.246,11.02,5.476,9.447
Gas-CT_aero,2023,1540.246,11.02,5.476,9.447
Gas-CT_aero,2024,1540.246,11.02,5.476,9.447
Gas-CT_aero,2025,1540.246,11.02,5.476,9.447
Gas-CT_aero,2026,1521.614,10.977,5.476,9.447
