t,capcost,fom,vom,cf_improvement
2010,7134.47322,35.6723661,0.0,0.930346357
2011,6626.226717,35.06566801,0.0,0.930346357
2012,6117.98021,34.45896991,0.0,0.930346357
2013,4246.109494,33.85227179,0.0,0.930346357
2014,3195.163027,33.2455737,0.0,0.930346357
2015,3190.13065,32.6388756,0.0,0.930346357
2016,2777.886445,32.0321775,0.0,0.930346357
2017,1699.682398,30.81878129,0.0,0.930346357
2018,1629.132468,28.50901493,0.0,0.930346357
2019,1558.582537,26.19924857,0.0,0.930346357
2020,1473.096512,25.58148089,0.0,0.930346357
2021,1345.480289,24.33122164,0.0,0.930346357
2022,1366.598204,23.765603,0.0,0.930346
