turbine,t,capcost,fom,vom,cf_improvement,rsc_mult
fixed,2010,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2011,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2012,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2013,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2014,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2015,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2016,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2017,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2018,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2019,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2020,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2021,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2022,4601.48313,90.91066,0.0,0.94615,1.0
fixed,2023,4261.27307,85.14031,0.0,0.97388,1.0
floating,2010,15115.56463,81.5295,0.0,0.94619,1.0
floating,2011,15115.56463,81.5295,0.0,0.94619,1.0
floating,2012,15115.56463,81.5295,0.0,0.94619,1.0
floating,2013,15115.56463,81.5295,0.0,0.94619,1.0
floating,2014,15115.56463,81.5295,0.0,0.94619,1.0
floating,2015,15115.56463,81.5295,0.0,0.94619,1.0
floating,2016,15115.56463,81.5295,0.0,0.94619,1.0
floating,2017,15115.56463,81.5295,0.0,0.94619,1.0
floating,2018,15115.56463,81.5295,0.0,0.94619,1.0
floating,2019,15115.56463,81.5295,0.0,0.94619,1.0
floating,2020,15115.56463,81.5295,0.0,0.94619,1.0
floating,2021,15115.56463,81.5295,0.0,0.94619,1.0
floating,2022,14229.47981,81.5295,0.0,0.94619,1.0
floating,2023,9577.6067,68.07725,0.0,0.97388,1.0
floating,2024,8500.13714,64.96144,0.0,0.99021,1.0
floating,2025,7910.7477,63.25705,0.0,1.00162,1.0
floating,2026,7114.39406,62.11205,0.0,1.01029,1.0
floating,2027,6421.40359,61.26249,0.0,1.01724,1.0
floating,2028,5790.91499,60.59367,0.0,1.02301,1.0
floating,2029,5601.50773,60.04594,0.0,1.02793,1.0
floating,2030,5442.80587,59.59384,0.0,1.03202,1.0
