turbine,t,capcost,fom,vom,cf_improvement,rsc_mult
fixed,2010,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2011,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2012,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2013,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2014,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2015,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2016,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2017,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2018,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2019,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2020,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2021,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2022,6359.77349,90.91066,0.0,0.94615,1.0
fixed,2023,6329.718727097555,90.42151783873184,0.0,0.94736,1.0
floating,2010,15115.56463,81.5295,0.0,0.94619,1.0
floating,2011,15115.56463,81.5295,0.0,0.94619,1.0
floating,2012,15115.56463,81.5295,0.0,0.94619,1.0
floating,2013,15115.56463,81.5295,0.0,0.94619,1.0
floating,2014,15115.56463,81.5295,0.0,0.94619,1.0
floating,2015,15115.56463,81.5295,0.0,0.94619,1.0
floating,2016,15115.56463,81.5295,0.0,0.94619,1.0
floating,2017,15115.56463,81.5295,0.0,0.94619,1.0
floating,2018,15115.56463,81.5295,0.0,0.94619,1.0
floating,2019,15115.56463,81.5295,0.0,0.94619,1.0
floating,2020,15115.56463,81.5295,0.0,0.94619,1.0
floating,2021,15115.56463,81.5295,0.0,0.94619,1.0
floating,2022,16679.24373,81.5295,0.0,0.94619,1.0
floating,2023,15201.41551,77.74446,0.0,0.94742,1.0
floating,2024,14509.81355,75.97312,0.0,0.94854,1.0
floating,2025,14064.92972,74.83367,0.0,0.94957,1.0
floating,2026,13740.20065,74.00197,0.0,0.95052,1.0
floating,2027,13486.1424,73.35127,0.0,0.9514,1.0
floating,2028,13278.40941,72.81922,0.0,0.95223,1.0
floating,2029,13103.27806,72.37067,0.0,0.953,1.0
floating,2030,12346.114514480438,71.99519697966441,0.0,0.95372,1.0
