turbine,t,capcost,fom,vom,cf_improvement,rsc_mult
fixed,2010,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2011,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2012,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2013,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2014,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2015,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2016,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2017,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2018,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2019,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2020,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2021,5237.4605,90.9107,0.0,0.94619,1.0
fixed,2022,5237.46054,90.91066,0.0,0.94615,1.0
fixed,2023,5068.061684851266,87.83406346600705,0.0,0.9562,1.0
floating,2010,15115.56463,81.5295,0.0,0.94619,1.0
floating,2011,15115.56463,81.5295,0.0,0.94619,1.0
floating,2012,15115.56463,81.5295,0.0,0.94619,1.0
floating,2013,15115.56463,81.5295,0.0,0.94619,1.0
floating,2014,15115.56463,81.5295,0.0,0.94619,1.0
floating,2015,15115.56463,81.5295,0.0,0.94619,1.0
floating,2016,15115.56463,81.5295,0.0,0.94619,1.0
floating,2017,15115.56463,81.5295,0.0,0.94619,1.0
floating,2018,15115.56463,81.5295,0.0,0.94619,1.0
floating,2019,15115.56463,81.5295,0.0,0.94619,1.0
floating,2020,15115.56463,81.5295,0.0,0.94619,1.0
floating,2021,15115.56463,81.5295,0.0,0.94619,1.0
floating,2022,15115.56463,81.5295,0.0,0.94619,1.0
floating,2023,11918.12957,72.69266,0.0,0.95632,1.0
floating,2024,10952.52993,70.02401,0.0,0.96351,1.0
floating,2025,10396.79349,68.4881,0.0,0.96904,1.0
floating,2026,10013.32394,67.4283,0.0,0.97351,1.0
floating,2027,9723.70334,66.62786,0.0,0.97726,1.0
floating,2028,9075.70416,65.98939,0.0,0.98046,1.0
floating,2029,8467.56141,65.46107,0.0,0.98327,1.0
floating,2030,7889.405884839633,65.02243040386497,0.0,0.98574,1.0
