turbine,t,capcost,fom,vom,cf_improvement
115hh_170rd,2010,2639.12325,47.01292,0.0,0.61277
115hh_170rd,2011,2466.78385,47.01292,0.0,0.60304
115hh_170rd,2012,2294.44446,47.01292,0.0,0.69848
115hh_170rd,2013,2157.98645,47.01292,0.0,0.79294
115hh_170rd,2014,2021.52845,47.01292,0.0,0.87144
115hh_170rd,2015,1909.53503,47.01292,0.0,0.82324
115hh_170rd,2016,1797.54161,47.01292,0.0,0.89312
115hh_170rd,2017,1795.05224,47.01292,0.0,0.85843
115hh_170rd,2018,1649.67472,47.01292,0.0,0.92017
115hh_170rd,2019,1504.29721,47.01292,0.0,0.85963
115hh_170rd,2020,1517.57908,46.44,0.0,0.83469
115hh_170rd,2021,1386.59368,32.724,0.0,0.76975
115hh_170rd,2022,1471.55594,32.44305,0.0,0.94599
