i,t,capcost,fom,vom,heatrate
Gas-CC,2010,1245.4,34.5,2.17,6.363
Gas-CC,2011,1245.4,34.5,2.17,6.363
Gas-CC,2012,1245.4,34.5,2.17,6.363
Gas-CC,2013,1245.4,34.5,2.17,6.363
Gas-CC,2014,1245.4,34.5,2.17,6.363
Gas-CC,2015,1245.4,34.5,2.17,6.363
Gas-CC,2016,1245.4,34.5,2.17,6.363
Gas-CC,2017,1245.4,34.5,2.17,6.363
Gas-CC,2018,1245.4,34.5,2.17,6.363
Gas-CC,2019,1245.4,34.5,2.17,6.363
Gas-CC,2020,1245.4,34.5,2.17,6.363
Gas-CC,2021,1245.4,34.5,2.17,6.363
Gas-CC,2022,1245.4,34.5,2.17,6.363
Gas-CC,2023,1234.7,34.1,2.15,6.348
Gas-CC,2024,1223.9,33.8,2.14,6.332
Gas-CC,2025,1213.1,33.5,2.12,6.316
Gas-CC,2026,1202.4,33.1,2.1,6.3
Gas-CC,2027,1191.6,32.8,2.09,6.285
Gas-CC,2028,1180.8,32.4,2.07,6.269
Gas-CC,2029,1170.1,32.1,2.06,6.253
Gas-CC,2030,1159.3,31.8,2.04,6.238
Gas-CC,2031,1148.5,31.4,2.02,6.222
Gas-CC,2032,1137.8,31.1,2.01,6.206
Gas-CC,2033,1127.0,30.7,1.99,6.19
Gas-CC,2034,1116.2,30.4,1.98,6.175
Gas-CC,2035,1105.5,30.1,1.96,6.159
Gas-CC,2036,1096.4,29.8,1.95,6.159
Gas-CC,2037,1087.3,29.6,1.94,6.159
Gas-CC,2038,1078.2,29.4,1.93,6.159
Gas-CC,2039,1069.0,29.2,1.91,6.159
Gas-CC,2040,1059.9,29.0,1.9,6.159
Gas-CC,2041,1050.8,28.7,1.89,6.159
Gas-CC,2042,1041.7,28.5,1.88,6.159
Gas-CC,2043,1032.6,28.3,1.87,6.159
Gas-CC,2044,1023.5,28.1,1.86,6.159
Gas-CC,2045,1014.4,27.8,1.85,6.159
Gas-CC,2046,1005.3,27.6,1.83,6.159
Gas-CC,2047,996.2,27.4,1.82,6.159
Gas-CC,2048,987.1,27.2,1.81,6.159
Gas-CC,2049,978.0,27.0,1.8,6.159
Gas-CC,2050,968.9,26.7,1.79,6.159
Gas-CC_H_1x1,2010,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2011,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2012,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2013,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2014,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2015,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2016,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2017,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2018,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2019,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2020,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2021,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2022,1482.1,39.8,2.53,6.068
Gas-CC_H_1x1,2023,1471.5,39.5,2.52,6.064
