t,capcost,fom,vom,cf_improvement
2010,7134.473226,35.672366,0.0,0.926147
2011,6626.226723,35.065668,0.0,0.926147
2012,6117.980216,34.45897,0.0,0.926147
2013,4246.109498,33.852272,0.0,0.926147
2014,3195.16303,33.245574,0.0,0.926147
2015,3190.130653,32.638876,0.0,0.926147
2016,2777.886448,32.032178,0.0,0.926147
2017,1699.682399,30.818781,0.0,0.926147
2018,1629.13247,28.509015,0.0,0.926147
2019,1558.582539,26.199249,0.0,0.926147
2020,1473.096514,25.581481,0.0,0.926147
2021,1345.48029,24.331222,0.0,0.926147
2022,1366.598204,23.765603,0.0,0.930346
2023,1434.792072,22.218802,0.0,0.940227
2024,1365.999016,21.407928,0.0,0.950107
2025,1297.20596,20.602121,0.0,0.959988
2026,1228.412905,19.801063,0.0,0.969869
2027,1159.619849,19.004462,0.0,0.979749
2028,1090.826793,18.21205,0.0,0.98963
2029,1022.033737,17.423577,0.0,0.99951
2030,953.240682,16.638816,0.0,1.009391
2031,884.447626,15.857556,0.0,1.019271
2032,815.65457,15.079601,0.0,1.029152
2033,746.861514,14.30477,0.0,1.039032
2034,678.068458,13.532895,0.0,1.048913
2035,609.275403,12.763819,0.0,1.058793
2036,601.531033,12.670209,0.0,1.061844
2037,593.786663,12.57682,0.0,1.064895
2038,586.042293,12.483648,0.0,1.067947
2039,578.297923,12.390692,0.0,1.070998
2040,570.553553,12.297946,0.0,1.074049
2041,562.809183,12.205409,0.0,1.0771
2042,555.064813,12.113077,0.0,1.080151
2043,547.320443,12.020946,0.0,1.083202
2044,539.576073,11.929015,0.0,1.086253
2045,531.831703,11.83728,0.0,1.089304
2046,524.087333,11.745738,0.0,1.092355
2047,516.342963,11.654387,0.0,1.095406
2048,508.598593,11.563223,0.0,1.098457
2049,500.854223,11.472244,0.0,1.101508
2050,493.109852,11.381448,0.0,1.104559
