t,capcost,fom,vom,cf_improvement
2010,7134.47322,35.672366,0.0,0.920466
2011,6626.226717,35.065668,0.0,0.920466
2012,6117.98021,34.45897,0.0,0.920466
2013,4246.109494,33.852272,0.0,0.920466
2014,3195.163027,33.245574,0.0,0.920466
2015,3190.13065,32.638876,0.0,0.920466
2016,2777.886445,32.032178,0.0,0.920466
2017,1699.682398,30.818781,0.0,0.920466
2018,1629.132468,28.509015,0.0,0.920466
2019,1558.582537,26.199249,0.0,0.920466
2020,1473.096512,25.581481,0.0,0.920466
2021,1345.480289,24.331222,0.0,0.920466
2022,1366.598204,23.765603,0.0,0.920466
2023,1434.792072,22.218802,0.0,0.920466
2024,1398.402048,21.860502,0.0,0.920466
2025,1362.012024,21.5029,0.0,0.920466
2026,1325.622,21.14598,0.0,0.920466
2027,1289.231976,20.789726,0.0,0.920466
2028,1252.841953,20.434122,0.0,0.920466
2029,1216.451929,20.079153,0.0,0.920466
2030,1180.061905,19.724805,0.0,0.920466
2031,1143.671881,19.371063,0.0,0.920466
2032,1107.281857,19.017914,0.0,0.920466
2033,1070.891833,18.665343,0.0,0.920466
2034,1034.50181,18.313339,0.0,0.920466
2035,998.111786,17.961888,0.0,0.920466
2036,979.194503,17.764601,0.0,0.925768
2037,960.277221,17.567506,0.0,0.93107
2038,941.359939,17.370601,0.0,0.936373
2039,922.442657,17.173883,0.0,0.941675
2040,903.525374,16.977349,0.0,0.946977
2041,884.608092,16.780999,0.0,0.952279
2042,865.69081,16.584828,0.0,0.957582
2043,846.773528,16.388835,0.0,0.962884
2044,827.856245,16.193018,0.0,0.968186
2045,808.938963,15.997374,0.0,0.973489
2046,790.021681,15.801901,0.0,0.978791
2047,771.104398,15.606597,0.0,0.984093
2048,752.187116,15.411459,0.0,0.989395
2049,733.269834,15.216486,0.0,0.994698
2050,714.352552,15.021676,0.0,1.0
