t,capcost,fom,vom,cf_improvement
2010,7134.473226,35.672366,0.0,0.926147
2011,6626.226723,35.065668,0.0,0.926147
2012,6117.980216,34.45897,0.0,0.926147
2013,4246.109498,33.852272,0.0,0.926147
2014,3195.16303,33.245574,0.0,0.926147
2015,3190.130653,32.638876,0.0,0.926147
2016,2777.886448,32.032178,0.0,0.926147
2017,1699.682399,30.818781,0.0,0.926147
2018,1629.13247,28.509015,0.0,0.926147
2019,1558.582539,26.199249,0.0,0.926147
2020,1473.096514,25.581481,0.0,0.926147
2021,1345.48029,24.331222,0.0,0.926147
2022,1366.598204,23.765603,0.0,0.926147
2023,1434.792072,22.218802,0.0,0.931828
2024,1378.922112,21.608889,0.0,0.937509
2025,1323.052152,21.001077,0.0,0.94319
2026,1267.182192,20.39528,0.0,0.948871
2027,1211.312232,19.791417,0.0,0.954552
2028,1155.442272,19.189411,0.0,0.960233
2029,1099.572312,18.589189,0.0,0.965914
2030,1043.702352,17.990681,0.0,0.971595
2031,987.832392,17.393823,0.0,0.977276
2032,931.962432,16.798551,0.0,0.982957
2033,876.092472,16.204807,0.0,0.988638
2034,820.222512,15.612533,0.0,0.994319
2035,764.352552,15.021676,0.0,1.0
2036,750.680742,14.869318,0.0,1.00392
2037,737.008932,14.717241,0.0,1.007839
2038,723.337122,14.565439,0.0,1.011759
2039,709.665312,14.41391,0.0,1.015678
2040,695.993502,14.262647,0.0,1.019598
2041,682.321692,14.111648,0.0,1.023517
2042,668.649882,13.960907,0.0,1.027437
2043,654.978072,13.810421,0.0,1.031356
2044,641.306262,13.660186,0.0,1.035276
2045,627.634452,13.510197,0.0,1.039196
2046,613.962642,13.360451,0.0,1.043115
2047,600.290833,13.210943,0.0,1.047035
2048,586.619023,13.061671,0.0,1.050954
2049,572.947213,12.912631,0.0,1.054874
2050,559.275403,12.763819,0.0,1.058793
