sc_gid,fips,reeds_ba
0,p53073,1
1,p53073,1
2,p53073,1
3,p53073,1
4,p53073,1
5,p53073,1
6,p53073,1
7,p53073,1
8,p53073,1
9,p53073,1
10,p53073,1
11,p53073,1
12,p53073,1
13,p53009,2
14,p53073,1
15,p53073,1
16,p53073,1
17,p53073,1
18,p53073,1
19,p53073,1
20,p53073,1
21,p53073,1
22,p53073,1
23,p53073,1
24,p53009,2
25,p53009,2
26,p53055,1
27,p53055,1
28,p53073,1
29,p53073,1
30,p53073,1
31,p53073,1
32,p53073,1
33,p53073,1
34,p53073,1
35,p53073,1
36,p53073,1
37,p53073,1
38,p53073,1
39,p53047,3
40,p53047,3
41,p53047,3
42,p53009,2
43,p53009,2
44,p53009,2
45,p53009,2
46,p53055,1
47,p53055,1
48,p53073,1
49,p53073,1
50,p53073,1
51,p53073,1
52,p53073,1
53,p53073,1
54,p53073,1
55,p53073,1
56,p53073,1
57,p53073,1
58,p53073,1
59,p53073,1
60,p53047,3
61,p53047,3
62,p53047,3
63,p53047,3
64,p53047,3
65,p53047,3
66,p53009,2
67,p53009,2
68,p53009,2
69,p53009,2
70,p53009,2
71,p53055,1
72,p53055,1
73,p53057,1
74,p53057,1
75,p53057,1
76,p53057,1
77,p53057,1
78,p53057,1
79,p53073,1
80,p53073,1
81,p53073,1
82,p53073,1
83,p53073,1
84,p53073,1
85,p53073,1
86,p53047,3
87,p53047,3
88,p53047,3
89,p53047,3
90,p53047,3
91,p53047,3
92,p53047,3
93,p53047,3
94,p53047,3
95,p53047,3
96,p53009,2
97,p53009,2
98,p53009,2
99,p53009,2
100,p53009,2
101,p53009,2
102,p53009,2
103,p53029,1
104,p53057,1
105,p53057,1
106,p53057,1
107,p53057,1
108,p53057,1
109,p53057,1
110,p53057,1
111,p53057,1
112,p53073,1
113,p53073,1
114,p53073,1
115,p53073,1
116,p53047,3
117,p53047,3
118,p53047,3
119,p53047,3
120,p53047,3
121,p53047,3
122,p53047,3
123,p53047,3
124,p53047,3
125,p53047,3
126,p53047,3
127,p53019,3
128,p53019,3
129,p53019,3
130,p53009,2
131,p53009,2
132,p53009,2
133,p53009,2
134,p53009,2
135,p53009,2
136,p53009,2
137,p53009,2
138,p53009,2
139,p53029,1
140,p53029,1
141,p53057,1
142,p53057,1
143,p53057,1
144,p53057,1
145,p53057,1
146,p53057,1
147,p53057,1
148,p53057,1
149,p53057,1
150,p53057,1
151,p53057,1
152,p53047,3
153,p53047,3
154,p53047,3
155,p53047,3
156,p53047,3
157,p53047,3
158,p53047,3
159,p53047,3
160,p53047,3
161,p53047,3
162,p53047,3
163,p53047,3
164,p53019,3
165,p53019,3
166,p53019,3
167,p53019,3
168,p53065,3
169,p53065,3
170,p53065,3
171,p53031,2
172,p53009,2
173,p53009,2
174,p53009,2
175,p53009,2
176,p53009,2
177,p53009,2
178,p53009,2
179,p53009,2
180,p53009,2
181,p53009,2
182,p53031,2
183,p53029,1
184,p53029,1
185,p53061,1
186,p53061,1
187,p53057,1
188,p53057,1
189,p53057,1
190,p53057,1
191,p53057,1
192,p53057,1
193,p53057,1
194,p53007,1
195,p53007,1
196,p53047,3
197,p53047,3
198,p53047,3
199,p53047,3
200,p53047,3
201,p53047,3
202,p53047,3
203,p53047,3
204,p53047,3
205,p53047,3
206,p53047,3
207,p53047,3
208,p53019,3
209,p53019,3
210,p53019,3
211,p53019,3
212,p53065,3
213,p53065,3
214,p53065,3
215,p53065,3
216,p53051,3
217,p53051,3
218,p53051,3
219,p53031,2
220,p53031,2
221,p53031,2
222,p53031,2
223,p53031,2
224,p53009,2
225,p53009,2
226,p53009,2
227,p53009,2
228,p53009,2
229,p53009,2
230,p53031,2
231,p53029,1
232,p53029,1
233,p53061,1
234,p53061,1
235,p53061,1
236,p53061,1
237,p53061,1
238,p53061,1
239,p53057,1
240,p53057,1
241,p53057,1
242,p53007,1
243,p53007,1
244,p53047,3
245,p53047,3
246,p53047,3
247,p53047,3
248,p53047,3
249,p53047,3
250,p53047,3
251,p53047,3
252,p53047,3
253,p53047,3
254,p53047,3
255,p53019,3
256,p53019,3
257,p53019,3
258,p53019,3
259,p53019,3
260,p53065,3
261,p53065,3
262,p53065,3
263,p53065,3
264,p53051,3
265,p53051,3
266,p53051,3
267,p16021,14
268,p16021,14
269,p16021,14
270,p16021,14
271,p16021,14
272,p53031,2
273,p53031,2
274,p53031,2
275,p53031,2
276,p53031,2
277,p53031,2
278,p53031,2
279,p53031,2
280,p53009,2
281,p53009,2
282,p53031,2
283,p53031,2
284,p53029,1
285,p53029,1
286,p53061,1
287,p53061,1
288,p53061,1
289,p53061,1
290,p53061,1
291,p53061,1
292,p53061,1
293,p53061,1
294,p53061,1
295,p53007,1
296,p53007,1
297,p53047,3
298,p53047,3
299,p53047,3
300,p53047,3
301,p53047,3
302,p53047,3
303,p53047,3
304,p53047,3
305,p53047,3
306,p53047,3
307,p53047,3
308,p53019,3
309,p53019,3
310,p53019,3
311,p53019,3
312,p53019,3
313,p53065,3
314,p53065,3
315,p53065,3
316,p53051,3
317,p53051,3
318,p53051,3
319,p16021,14
320,p16021,14
321,p16021,14
322,p16021,14
323,p16021,14
324,p16021,14
325,p30053,17
326,p30053,17
327,p30053,17
328,p30053,17
329,p53031,2
330,p53031,2
331,p53031,2
332,p53031,2
333,p53031,2
334,p53031,2
335,p53031,2
336,p53031,2
337,p53031,2
338,p53031,2
339,p53031,2
340,p53031,2
341,p53035,1
342,p53029,1
343,p53061,1
344,p53061,1
345,p53061,1
346,p53061,1
347,p53061,1
348,p53061,1
349,p53061,1
350,p53061,1
351,p53061,1
352,p53007,1
353,p53007,1
354,p53007,1
355,p53047,3
356,p53047,3
357,p53047,3
358,p53047,3
359,p53047,3
360,p53047,3
361,p53047,3
362,p53047,3
363,p53047,3
364,p53047,3
365,p53019,3
366,p53019,3
367,p53019,3
368,p53019,3
369,p53065,3
370,p53065,3
371,p53065,3
372,p53065,3
373,p53051,3
374,p53051,3
375,p53051,3
376,p16017,14
377,p16017,14
378,p16021,14
379,p16021,14
380,p16021,14
381,p16021,14
382,p30053,17
383,p30053,17
384,p30053,17
385,p30053,17
386,p30053,17
387,p30053,17
388,p30053,17
389,p30053,17
390,p30029,17
391,p53027,2
392,p53027,2
393,p53031,2
394,p53031,2
395,p53031,2
396,p53031,2
397,p53031,2
398,p53031,2
399,p53031,2
400,p53031,2
401,p53031,2
402,p53035,1
403,p53035,1
404,p53061,1
405,p53061,1
406,p53061,1
407,p53061,1
408,p53061,1
409,p53061,1
410,p53061,1
411,p53061,1
412,p53061,1
413,p53007,1
414,p53007,1
415,p53007,1
416,p53007,1
417,p53047,3
418,p53047,3
419,p53047,3
420,p53047,3
421,p53047,3
422,p53047,3
423,p53047,3
424,p53047,3
425,p53047,3
426,p53047,3
427,p53019,3
428,p53019,3
429,p53019,3
430,p53019,3
431,p53065,3
432,p53065,3
433,p53065,3
434,p53065,3
435,p53051,3
436,p53051,3
437,p53051,3
438,p16017,14
439,p16021,14
440,p16021,14
441,p16021,14
442,p16021,14
443,p16021,14
444,p30053,17
445,p30053,17
446,p30053,17
447,p30053,17
448,p30053,17
449,p30053,17
450,p30053,17
451,p30053,17
452,p30029,17
453,p30029,17
454,p30029,17
455,p30029,17
456,p30035,18
457,p30035,18
458,p30035,18
459,p53027,2
460,p53027,2
461,p53027,2
462,p53027,2
463,p53027,2
464,p53031,2
465,p53045,2
466,p53045,2
467,p53031,2
468,p53031,2
469,p53035,1
470,p53035,1
471,p53033,1
472,p53033,1
473,p53033,1
474,p53061,1
475,p53061,1
476,p53061,1
477,p53061,1
478,p53061,1
479,p53061,1
480,p53007,1
481,p53007,1
482,p53007,1
483,p53007,1
484,p53007,1
485,p53007,1
486,p53047,3
487,p53047,3
488,p53047,3
489,p53047,3
490,p53047,3
491,p53047,3
492,p53047,3
493,p53047,3
494,p53019,3
495,p53019,3
496,p53019,3
497,p53019,3
498,p53065,3
499,p53065,3
500,p53065,3
501,p53065,3
502,p53065,3
503,p53051,3
504,p53051,3
505,p53051,3
506,p16017,14
507,p16021,14
508,p16021,14
509,p16021,14
510,p16021,14
511,p16021,14
512,p30053,17
513,p30053,17
514,p30053,17
515,p30053,17
516,p30053,17
517,p30053,17
518,p30053,17
519,p30053,17
520,p30029,17
521,p30029,17
522,p30029,17
523,p30029,17
524,p30035,18
525,p30035,18
526,p30035,18
527,p30035,18
528,p30035,18
529,p30035,18
530,p30035,18
531,p30035,18
532,p53027,2
533,p53027,2
534,p53027,2
535,p53027,2
536,p53027,2
537,p53027,2
538,p53045,2
539,p53045,2
540,p53045,2
541,p53035,1
542,p53035,1
543,p53035,1
544,p53033,1
545,p53033,1
546,p53033,1
547,p53033,1
548,p53033,1
549,p53033,1
550,p53061,1
551,p53061,1
552,p53061,1
553,p53007,1
554,p53007,1
555,p53007,1
556,p53007,1
557,p53007,1
558,p53007,1
559,p53047,3
560,p53047,3
561,p53017,4
562,p53047,3
563,p53047,3
564,p53047,3
565,p53047,3
566,p53047,3
567,p53019,3
568,p53019,3
569,p53019,3
570,p53019,3
571,p53065,3
572,p53065,3
573,p53065,3
574,p53065,3
575,p53051,3
576,p53051,3
577,p53051,3
578,p16017,14
579,p16017,14
580,p16017,14
581,p16021,14
582,p16021,14
583,p16021,14
584,p30053,17
585,p30053,17
586,p30053,17
587,p30053,17
588,p30053,17
589,p30053,17
590,p30053,17
591,p30053,17
592,p30053,17
593,p30029,17
594,p30029,17
595,p30029,17
596,p30029,17
597,p30029,17
598,p30035,18
599,p30035,18
600,p30035,18
601,p30035,18
602,p30035,18
603,p30035,18
604,p30035,18
605,p30035,18
606,p30035,18
607,p30035,18
608,p30101,18
609,p30101,18
610,p30101,18
611,p23003,134
612,p23003,134
613,p53027,2
614,p53027,2
615,p53027,2
616,p53027,2
617,p53027,2
618,p53045,2
619,p53045,2
620,p53045,2
621,p53045,2
622,p53045,2
623,p53035,1
624,p53035,1
625,p53033,1
626,p53033,1
627,p53033,1
628,p53033,1
629,p53033,1
630,p53033,1
631,p53033,1
632,p53033,1
633,p53033,1
634,p53007,1
635,p53007,1
636,p53007,1
637,p53007,1
638,p53007,1
639,p53007,1
640,p53007,1
641,p53017,4
642,p53017,4
643,p53017,4
644,p53017,4
645,p53017,4
646,p53017,4
647,p53047,3
648,p53019,3
