st,i,t,2020$/kW
AZ,dr-shed_1,2030,25.22252524
CA,dr-shed_1,2030,156.5123976
CO,dr-shed_1,2030,300.726992
FL,dr-shed_1,2030,15.03551543
GA,dr-shed_1,2030,69.19769163
MN,dr-shed_1,2030,348.5942543
MT,dr-shed_1,2030,393.6872746
NM,dr-shed_1,2030,151.0461905
NY,dr-shed_1,2030,233.4563616
TX,dr-shed_1,2030,66.47115732
WA,dr-shed_1,2030,464.0751568
AZ,dr-shed_1,2040,20.45278514
CA,dr-shed_1,2040,124.5598337
CO,dr-shed_1,2040,235.7556339
FL,dr-shed_1,2040,13.8612107
GA,dr-shed_1,2040,62.67156148
MN,dr-shed_1,2040,276.5370811
MT,dr-shed_1,2040,266.5333135
NM,dr-shed_1,2040,123.0062839
NY,dr-shed_1,2040,187.8313179
TX,dr-shed_1,2040,61.01911781
WA,dr-shed_1,2040,267.9778799
AZ,dr-shed_1,2050,17.4154641
CA,dr-shed_1,2050,106.5554642
CO,dr-shed_1,2050,204.8183222
FL,dr-shed_1,2050,12.30660516
GA,dr-shed_1,2050,55.49960125
MN,dr-shed_1,2050,238.836885
MT,dr-shed_1,2050,213.2779605
NM,dr-shed_1,2050,106.8632215
NY,dr-shed_1,2050,155.0047414
TX,dr-shed_1,2050,55.706623
WA,dr-shed_1,2050,201.0870403
AZ,dr-shed_2,2030,33.62180144
CA,dr-shed_2,2030,52.03193641
CO,dr-shed_2,2030,62.88912865
FL,dr-shed_2,2030,14.40600268
GA,dr-shed_2,2030,27.95416197
MN,dr-shed_2,2030,66.61076739
MT,dr-shed_2,2030,90.64265698
NM,dr-shed_2,2030,58.02764108
NY,dr-shed_2,2030,75.27673052
TX,dr-shed_2,2030,25.95090432
WA,dr-shed_2,2030,78.83894639
AZ,dr-shed_2,2040,43.01276365
CA,dr-shed_2,2040,71.54196007
CO,dr-shed_2,2040,63.26475452
FL,dr-shed_2,2040,19.25460829
GA,dr-shed_2,2040,35.59538268
MN,dr-shed_2,2040,62.62769062
MT,dr-shed_2,2040,96.99810849
NM,dr-shed_2,2040,68.27528033
NY,dr-shed_2,2040,69.6336115
TX,dr-shed_2,2040,35.05706693
WA,dr-shed_2,2040,119.3614254
AZ,dr-shed_2,2050,54.06231184
CA,dr-shed_2,2050,93.9670917
CO,dr-shed_2,2050,68.83211463
FL,dr-shed_2,2050,24.32915394
GA,dr-shed_2,2050,44.05461929
MN,dr-shed_2,2050,62.31965078
MT,dr-shed_2,2050,106.3736907
NM,dr-shed_2,2050,78.9408359
NY,dr-shed_2,2050,72.01347594
TX,dr-shed_2,2050,45.17753058
WA,dr-shed_2,2050,163.8944897
