"OBJECTID","Country","Name of Line","Owner Name (Company)","Latitude","Longitude","City (Site Name)","County","State / Province / Territory","Zip Code / Postal Code","Address","State or Province From","Country From","State or Province To","Country To","Number of Lines","Line Voltage (kV)","Source Agency","Reference Period"
"1","Mexico","Tijuana I","CFE","32.553625","-116.8976389","Tijuana","","Baja California","22204","","Baja California","Mexico","California","United States","1","230","CENACE - CFE","2017"
"2","Mexico","La Rosita I","Intergen","32.650726","-115.681955","Mexicali","","Baja California","","","Baja California","Mexico","California","United States","2","230(2)","CENACE - CFE","2017"
"3","Mexico","La Rosita II","Intergen","32.650621","-115.680921","Mexicali","","Baja California","","","Baja California","Mexico","California","United States","1","230","CENACE - CFE","2017"
"4","Mexico","Termoelectrica US Ltd","IEnova Sempra","32.650744","-115.679826","Mexicali","","Baja California","","","Baja California","Mexico","California","United States","2","230 (2)","CENACE - CFE","2017"
"5","Mexico","Anapra","CFE","31.7838083","-106.6080833","Ciudad Juárez","","Chihuahua","","","Chihuahua","Mexico","New Mexico","United States","1","115","CENACE - CFE","2017"
"6","Mexico","Rivereña","CFE","31.7443083","-106.4047556","Ciudad Juárez","","Chihuahua","","","Chihuahua","Mexico","Texas","United States","1","115","CENACE - CFE","2017"
"7","Mexico","Piedras Negras-Eagle Pass","CFE","28.7154222","-100.5071","Piedras Negras","","Coahuila","26088","","Coahuila","Mexico","Texas","United States","1","138","CENACE - CFE","2017"
"8","Mexico","Cd. Industrial - Laredo (Cid 93300)","CFE","27.5671639","-99.5119361","Nuevo Laredo","","Tamaulipas","88285","","Tamaulipas","Mexico","Texas","United States","1","230","CENACE - CFE","2017"
"9","Mexico","Cd. Industrial - Laredo (Cid 83520)","CFE","27.5670639","-99.5119028","Nuevo Laredo","","Tamaulipas","88285","","Tamaulipas","Mexico","Texas","United States","1","138","CENACE - CFE","2017"
"10","Mexico","Cumbres Frontera - Planta Frontera","CFE","26.1812944","-98.4026056","Reynosa","","Tamaulipas","","","Tamaulipas","Mexico","Texas","United States","2","230(2)","CENACE - CFE","2017"
"11","Mexico","Cumbres Frontera - Rail Road","CFE","26.1632556","-98.3337111","Reynosa","","Tamaulipas","88715","","Tamaulipas","Mexico","Texas","United States","1","138","CENACE - CFE","2017"
"12","Mexico","Matamoros - Military Highway","CFE","25.9203222","-97.5349278","Matamoros","","Tamaulipas","87317","","Tamaulipas","Mexico","Texas","United States","2","138(1)/69(1)","CENACE - CFE","2017"
"13","Mexico","Brownsville Public Utilities Board","CFE","25.907104","-97.529579","Brownsville","","Texas","","","Tamaulipas","Mexico","Texas","United States","2","138(2)","CENACE - CFE","2017"
"14","Canada","No Name","Montana Alberta Tie","48.9986766","-112.2096396","Coutts","","Alberta","","","Alberta","Canada","Montana","United States","1","230","NEB/ONÉ","201708"
"15","Canada","Ingledow-Blaine (5L51) IPL","British Columbia Hydro and Power Authority","49.0020947","-122.7239434","Douglas","","British Columbia","","","British Columbia","Canada","Washington","United States","2","500(2)","NEB/ONÉ","201708"
"16","Canada","Waneta IPL","Teck Metals Ltd.","49.000245","-117.3421868","Nelway","","British Columbia","","","British Columbia","Canada","Washington","United States","2","230(2)","NEB/ONÉ","201708"
"17","Canada","No Name","Manitoba Hydro-Electric Board - Régie de l'hydro-électricité du Manitoba","48.999389","-99.5592354","Smith Hill","","Manitoba","","","Manitoba","Canada","North Dakota","United States","1","230","NEB/ONÉ","201708"
"18","Canada","Letellier-Prairie IPL","Manitoba Hydro-Electric Board - Régie de l'hydro-électricité du Manitoba","49.0004727","-97.2779317","West Lynne","","Manitoba","","","Manitoba","Canada","North Dakota","United States","1","230","NEB/ONÉ","201708"
"19","Canada","Dorsey-Chisago County IPL","Manitoba Hydro-Electric Board - Régie de l'hydro-électricité du Manitoba","48.999252","-95.53942","Middlebro","","Manitoba","","","Manitoba","Canada","Minnesota","United States","1","500","NEB/ONÉ","201708"
"20","Canada","Richer-Shannon IPL","Manitoba Hydro-Electric Board - Régie de l'hydro-électricité du Manitoba","48.9992076","-95.5071489","Middlebro","","Manitoba","","","Manitoba","Canada","Minnesota","United States","1","230","NEB/ONÉ","201708"
"21","Canada","Edmundston-Madawaska IPL","New Brunswick Power Transmission Corporation","47.3555551","-68.301678","Edmundston","","New Brunswick","","","New Brunswick","Canada","Maine","United States","1","138","NEB/ONÉ","201708"
"22","Canada","Beechwood-Flo‘S Inn IPL","New Brunswick Power Transmission Corporation","46.6016","-67.78884","Andover","","New Brunswick","","","New Brunswick","Canada","Maine","United States","1","138","NEB/ONÉ","201708"
"23","Canada","Circuit 6901 Tinker Plant","Algonquin Tinker Gen Co.","46.791153","-67.789604","Turner Settlement","","New Brunswick","","","New Brunswick","Canada","Maine","United States","1","69","NEB/ONÉ","201708"
"24","Canada","Circuit 6904 Tinker Plant","Algonquin Tinker Gen Co.","46.825228","-67.789616","Tinker","","New Brunswick","","","New Brunswick","Canada","Maine","United States","1","69","NEB/ONÉ","201708"
"25","Canada","Keswick-Orrington IPL","New Brunswick Power Transmission Corporation","45.851583","-67.789544","Fosterville","","New Brunswick","","","New Brunswick","Canada","Maine","United States","1","345","NEB/ONÉ","201708"
"26","Canada","No Name","New Brunswick Power Transmission Corporation","45.2098123","-67.4313126","Saint James","","New Brunswick","","","New Brunswick","Canada","Maine","United States","1","345","NEB/ONÉ","201708"
"27","Canada","Milltown Calais IPL","New Brunswick Power Transmission Corporation","45.176119","-67.293625","St. Stephen","","New Brunswick","","","New Brunswick","Canada","Maine","United States","1","69","NEB/ONÉ","201708"
"28","Canada","Keith-Waterman J5D IPL","Hydro One Networks Inc.","42.2923082","-83.0946261","Sandwich","","Ontario","","","Ontario","Canada","Michigan","United States","1","230","NEB/ONÉ","201708"
"29","Canada","Sir Adam Beck-Niagara PA3O1/PA302 IPL/ EC-17","Hydro One Networks Inc.","43.142781","-79.042509","Queenston","","Ontario","","","Ontario","Canada","New York","United States","6","345(2)/230/115/69(2)","NEB/ONÉ","201708"
"30","Canada","Peace Bridge IPL","Canadian Niagara Power Inc.","42.906978","-78.906003","Old Fort Erie","","Ontario","","","Ontario","Canada","New York","United States","1","115","NEB/ONÉ","201708"
"31","Canada","Cornwall-Massena L33P/L34P IPL","Hydro One Networks Inc.","45.004709","-74.7862466","Cornwall Island","","Ontario","","","Ontario","Canada","New York","United States","2","230(2)","NEB/ONÉ","201708"
"32","Canada","Fort Frances IPL","Hydro One Networks Inc.","48.6098905","-93.4047751","Fort Frances","","Ontario","","","Ontario","Canada","Minnesota","United States","2","115(2)","NEB/ONÉ","201708"
"33","Canada","Lambton-St. Clair L4D IPL","Hydro One Networks Inc.","42.7902625","-82.4741563","Courtright","","Ontario","","","Ontario","Canada","Michigan","United States","1","345","NEB/ONÉ","201708"
"34","Canada","Lambton-St. Clair L51D IPL","Hydro One Networks Inc.","42.790008","-82.4740189","Courtright","","Ontario","","","Ontario","Canada","Michigan","United States","1","235","NEB/ONÉ","201708"
"35","Canada","Sarnia Scott-Bunce Creek B3N IPL","Hydro One Networks Inc.","42.9235086","-82.4563793","FroomField","","Ontario","","","Ontario","Canada","Michigan","United States","1","230","NEB/ONÉ","201708"
"36","Canada","Chateauguay-Massena IPL","Quebec Hydro - Hydro-Quebec","44.996954","-74.454147","Dundee","","Quebec","","","Quebec","Canada","New York","United States","1","765","NEB/ONÉ","201708"
"37","Canada","Bedford-Vermont IPL","Quebec Hydro - Hydro-Quebec","45.0141662","-72.9679949","Saint-Armand","","Quebec","","","Quebec","Canada","Vermont","United States","1","120","NEB/ONÉ","201708"
