"Dim1","Dim2","Dim3","Val"
"p1","wecc","2010",0.637919697647224
"p1","wecc","2011",0.658176532018024
"p1","wecc","2012",0.66417091176084
"p1","wecc","2013",0.666317629012568
"p1","wecc","2014",0.661809912718037
"p1","wecc","2015",0.651319247353862
"p1","wecc","2016",0.65609831909909
"p1","wecc","2017",0.666548658923504
"p1","wecc","2018",0.664913591819757
"p1","wecc","2019",0.652147707555424
"p1","wecc","2020",0.652748207263497
"p1","wecc","2021",0.652391399293977
"p1","wecc","2022",0.651723535005906
"p1","wecc","2023",0.650880216252745
"p1","wecc","2024",0.650716737752489
"p1","wecc","2025",0.652948313736851
"p1","wecc","2026",0.653535608065633
"p1","wecc","2027",0.653957395741995
"p1","wecc","2028",0.653307866213748
"p1","wecc","2029",0.653298845575724
"p1","wecc","2030",0.653060947139023
"p1","wecc","2031",0.65289462461949
"p1","wecc","2032",0.652797719084547
"p1","wecc","2033",0.652682871347287
"p1","wecc","2034",0.652570445103082
"p1","wecc","2035",0.652475145904547
"p1","wecc","2036",0.652451512388564
"p1","wecc","2037",0.652486632059666
"p1","wecc","2038",0.652540596326577
"p1","wecc","2039",0.652616975507266
"p1","wecc","2040",0.652661030837181
"p1","wecc","2041",0.652661030837181
"p1","wecc","2042",0.652661030837181
"p1","wecc","2043",0.652661030837181
"p1","wecc","2044",0.652661030837181
"p1","wecc","2045",0.652661030837181
"p1","wecc","2046",0.652661030837181
"p1","wecc","2047",0.652661030837181
"p1","wecc","2048",0.652661030837181
"p1","wecc","2049",0.652661030837181
"p1","wecc","2050",0.652661030837181
"p3","wecc","2010",0.347706817871179
"p3","wecc","2011",0.337578400641124
"p3","wecc","2012",0.334581210801253
"p3","wecc","2013",0.333507852154779
"p3","wecc","2014",0.335761710307648
"p3","wecc","2015",0.341007042985531
"p3","wecc","2016",0.338617507120947
"p3","wecc","2017",0.333392337215625
"p3","wecc","2018",0.334209870762097
"p3","wecc","2019",0.340592812904891
"p3","wecc","2020",0.340292563018367
"p3","wecc","2021",0.340470967002703
"p3","wecc","2022",0.340804899163713
"p3","wecc","2023",0.341226558540294
"p3","wecc","2024",0.341308297809388
"p3","wecc","2025",0.340192509814554
"p3","wecc","2026",0.339898862649465
"p3","wecc","2027",0.339687968810782
"p3","wecc","2028",0.340012733559792
"p3","wecc","2029",0.340017243878805
"p3","wecc","2030",0.340136193097155
"p3","wecc","2031",0.340219354356921
"p3","wecc","2032",0.340267807140885
"p3","wecc","2033",0.340325230993023
"p3","wecc","2034",0.340381444098364
"p3","wecc","2035",0.340429093731268
"p3","wecc","2036",0.340440910455481
"p3","wecc","2037",0.340423350619972
"p3","wecc","2038",0.340396368503378
"p3","wecc","2039",0.340358178913033
"p3","wecc","2040",0.340336151248076
"p3","wecc","2041",0.340336151248076
"p3","wecc","2042",0.340336151248076
"p3","wecc","2043",0.340336151248076
"p3","wecc","2044",0.340336151248076
"p3","wecc","2045",0.340336151248076
"p3","wecc","2046",0.340336151248076
"p3","wecc","2047",0.340336151248076
"p3","wecc","2048",0.340336151248076
"p3","wecc","2049",0.340336151248076
"p3","wecc","2050",0.340336151248076
"p18","wecc","2010",0.0143734844815978
"p18","wecc","2011",0.00424506734085213
"p18","wecc","2012",0.00124787743790774
"p18","wecc","2013",0.000174518832652953
"p18","wecc","2014",0.00242837697431478
"p18","wecc","2015",0.00767370966060717
"p18","wecc","2016",0.00528417377996267
"p18","wecc","2017",5.90038608708539E-5
"p18","wecc","2018",0.000876537418146277
"p18","wecc","2019",0.00725947953968474
"p18","wecc","2020",0.00695922971813531
"p18","wecc","2021",0.00713763370331969
"p18","wecc","2022",0.0074715658303801
"p18","wecc","2023",0.00789322520696063
"p18","wecc","2024",0.00797496443812233
"p18","wecc","2025",0.00685917644859484
"p18","wecc","2026",0.00656552928490256
"p18","wecc","2027",0.00635463544722288
"p18","wecc","2028",0.00667940022645912
"p18","wecc","2029",0.00668391054547119
"p18","wecc","2030",0.00680285976382195
"p18","wecc","2031",0.00688602102358816
"p18","wecc","2032",0.00693447377456825
"p18","wecc","2033",0.00699189765968973
"p18","wecc","2034",0.00704811079855457
"p18","wecc","2035",0.00709576036418423
"p18","wecc","2036",0.00710757715595493
"p18","wecc","2037",0.00709001732036195
"p18","wecc","2038",0.00706303517004499
"p18","wecc","2039",0.00702484557970012
"p18","wecc","2040",0.00700281791474309
"p18","wecc","2041",0.00700281791474309
"p18","wecc","2042",0.00700281791474309
"p18","wecc","2043",0.00700281791474309
"p18","wecc","2044",0.00700281791474309
"p18","wecc","2045",0.00700281791474309
"p18","wecc","2046",0.00700281791474309
"p18","wecc","2047",0.00700281791474309
"p18","wecc","2048",0.00700281791474309
"p18","wecc","2049",0.00700281791474309
"p18","wecc","2050",0.00700281791474309
"p36","east","2010",0.00326324799124739
"p36","east","2011",0.00266083318711824
"p36","east","2012",0.00146521572312705
"p36","east","2013",0.0012289480434458
"p36","east","2014",0.000681854300921136
"p36","east","2015",0.000569716795618694
"p36","east","2016",0.00657340009980555
"p36","east","2017",0.00192238922516597
"p36","east","2018",0.00195271679280208
"p37","east","2010",0.117927246027735
"p37","east","2011",0.112754284544795
"p37","east","2012",0.0860639399524612
"p37","east","2013",0.0942109273006405
"p37","east","2014",0.0834668736834233
"p37","east","2015",0.084694833955121
"p37","east","2016",0.0849379656875398
"p37","east","2017",0.09451316616309
"p37","east","2018",0.0914670759233659
"p37","east","2019",0.0955490218454896
"p37","east","2020",0.115045215334177
"p37","east","2021",0.128095485258568
"p37","east","2022",0.135095186298676
"p37","east","2023",0.140778450935426
"p37","east","2024",0.132261415561574
"p37","east","2025",0.142311354838193
"p37","east","2026",0.133500531322988
"p37","east","2027",0.147099723153425
"p37","east","2028",0.143670409403521
"p37","east","2029",0.167109806459582
"p37","east","2030",0.164962362771746
"p37","east","2031",0.17330764312992
"p37","east","2032",0.166219842423066
"p37","east","2033",0.17018966029621
"p37","east","2034",0.167287868785029
"p37","east","2035",0.172014955047227
"p37","east","2036",0.177935586016544
"p37","east","2037",0.17837725696588
"p37","east","2038",0.177482771624995
"p37","east","2039",0.177252851813022
"p37","east","2040",0.182743022818178
"p37","east","2041",0.182743022818178
"p37","east","2042",0.182743022818178
"p37","east","2043",0.182743022818178
"p37","east","2044",0.182743022818178
"p37","east","2045",0.182743022818178
"p37","east","2046",0.182743022818178
"p37","east","2047",0.182743022818178
"p37","east","2048",0.182743022818178
"p37","east","2049",0.182743022818178
"p37","east","2050",0.182743022818178
"p42","east","2010",0.117927246027735
"p42","east","2011",0.112754284544795
"p42","east","2012",0.0860639399524612
"p42","east","2013",0.0942109273006405
"p42","east","2014",0.0834668736834233
"p42","east","2015",0.084694833955121
"p42","east","2016",0.0849379656875398
"p42","east","2017",0.09451316616309
"p42","east","2018",0.0914670759233659
"p42","east","2019",0.0955490218454896
"p42","east","2020",0.115045215334177
"p42","east","2021",0.128095485258568
"p42","east","2022",0.135095186298676
"p42","east","2023",0.140778450935426
"p42","east","2024",0.132261415561574
"p42","east","2025",0.142311354838193
"p42","east","2026",0.133500531322988
"p42","east","2027",0.147099723153425
"p42","east","2028",0.143670409403521
"p42","east","2029",0.167109806459582
"p42","east","2030",0.164962362771746
"p42","east","2031",0.17330764312992
"p42","east","2032",0.166219842423066
"p42","east","2033",0.17018966029621
"p42","east","2034",0.167287868785029
"p42","east","2035",0.172014955047227
"p42","east","2036",0.177935586016544
"p42","east","2037",0.17837725696588
"p42","east","2038",0.177482771624995
"p42","east","2039",0.177252851813022
