"Dim1","Dim2","Val"
"east","2010",7271120
"east","2011",3321150.0003
"east","2012",1570130.00003
"east","2013",3135510
"east","2014",3871410
"east","2015",2101000
"east","2016",2248000.00003
"east","2017",982350
"east","2018",1004090
"east","2019",1952250
"east","2020",5979960
"east","2021",6317990
"east","2022",6626490
"east","2023",6254800
"east","2024",6171940
"east","2025",6130030
"east","2026",5320180
"east","2027",7010330
"east","2028",5887960
"east","2029",5010280
"east","2030",4797230
"east","2031",4864160
"east","2032",4801260
"east","2033",4775550
"east","2034",4754590
"east","2035",4750610
"east","2036",4912540
"east","2037",5084930
"east","2038",4921760
"east","2039",4855290
"east","2040",4965300
"east","2041",4965300
"east","2042",4965300
"east","2043",4965300
"east","2044",4965300
"east","2045",4965300
"east","2046",4965300
"east","2047",4965300
"east","2048",4965300
"east","2049",4965300
"east","2050",4965300
"west","2010",10764530.0003
"west","2011",11554090.0003
"west","2012",8912079.9997
"west","2013",8853209.9993
"west","2014",10240939.9997
"west","2015",7544000.0003
"west","2016",8563000.0003
"west","2017",6256690.00033
"west","2018",6407179.9997
"west","2019",6407179.9997
"west","2020",6509950.0003
"west","2021",6509950.0003
"west","2022",6523439.9993
"west","2023",6375700
"west","2024",6398940
"west","2025",6294720
"west","2026",6839050
"west","2027",6534390
"west","2028",6809970
"west","2029",6763190
"west","2030",6780920
"west","2031",6777160
"west","2032",6754850
"west","2033",6739920
"west","2034",6724210
"west","2035",6706360
"west","2036",6668190
"west","2037",6614910
"west","2038",6551770
"west","2039",6490940
"west","2040",6461120
"west","2041",6461120
"west","2042",6461120
"west","2043",6461120
"west","2044",6461120
"west","2045",6461120
"west","2046",6461120
"west","2047",6461120
"west","2048",6461120
"west","2049",6461120
"west","2050",6461120
