FIPS,Geography Name,2020,2030,2040,2050
0,United States," 331,449,281 ","349,695,865","362,293,471","371,766,982"
1,Alabama," 5,024,279 ","5,213,942","5,269,412","5,263,069"
2,Alaska," 733,391 ","751,139","745,731","731,687"
4,Arizona," 7,151,502 ","7,766,236","8,354,030","8,881,012"
5,Arkansas," 3,011,524 ","3,084,796","3,063,117","3,005,949"
6,California," 39,538,223 ","41,321,454","42,164,453","42,520,492"
8,Colorado," 5,773,714 ","6,387,211","7,050,081","7,690,559"
9,Connecticut," 3,605,944 ","3,629,971","3,521,129","3,375,527"
10,Delaware," 989,948 ","1,063,673","1,127,463","1,181,074"
11,District of Columbia," 689,545 ","761,820","839,353","913,940"
12,Florida," 21,538,187 ","23,790,046","26,202,483","28,521,380"
13,Georgia," 10,711,908 ","11,534,245","12,262,064","12,883,056"
15,Hawaii," 1,455,271 ","1,529,814","1,573,525","1,599,519"
16,Idaho," 1,839,106 ","2,066,265","2,330,712","2,598,197"
17,Illinois," 12,812,508 ","12,798,928","12,288,130","11,659,474"
18,Indiana," 6,785,528 ","7,018,843","7,062,290","7,022,739"
19,Iowa," 3,190,369 ","3,301,784","3,324,567","3,308,283"
20,Kansas," 2,937,880 ","3,002,711","2,972,719","2,908,542"
21,Kentucky," 4,505,836 ","4,633,881","4,626,153","4,564,320"
22,Louisiana," 4,657,757 ","4,752,752","4,694,905","4,583,416"
23,Maine," 1,362,359 ","1,388,293","1,368,934","1,334,028"
24,Maryland," 6,177,224 ","6,494,090","6,680,280","6,791,286"
25,Massachusetts," 7,029,917 ","7,409,395","7,648,478","7,802,759"
26,Michigan," 10,077,331 ","10,224,497","10,022,976","9,710,293"
27,Minnesota," 5,706,494 ","6,023,698","6,231,051","6,370,014"
28,Mississippi," 2,961,279 ","2,956,772","2,837,019","2,690,219"
29,Missouri," 6,154,913 ","6,281,703","6,206,924","6,061,168"
30,Montana," 1,084,225 ","1,159,875","1,222,020","1,272,408"
31,Nebraska," 1,961,504 ","2,067,878","2,135,297","2,179,078"
32,Nevada," 3,104,614 ","3,437,890","3,799,910","4,150,836"
33,New Hampshire," 1,377,529 ","1,424,739","1,433,347","1,425,109"
34,New Jersey," 9,288,994 ","9,675,872","9,828,845","9,867,242"
35,New Mexico," 2,117,522 ","2,162,106","2,137,651","2,088,708"
36,New York," 20,201,249 ","20,836,092","20,883,793","20,686,329"
37,North Carolina," 10,439,388 ","11,160,159","11,747,051","12,219,917"
38,North Dakota," 779,094 ","867,403","966,020","1,063,242"
39,Ohio," 11,799,448 ","11,999,653","11,800,007","11,467,712"
40,Oklahoma," 3,959,353 ","4,121,121","4,181,942","4,193,934"
41,Oregon," 4,237,256 ","4,563,425","4,852,675","5,099,791"
42,Pennsylvania," 13,002,700 ","13,231,491","13,022,171","12,665,983"
44,Rhode Island," 1,097,379 ","1,131,942","1,134,638","1,124,012"
45,South Carolina," 5,118,425 ","5,514,501","5,867,090","6,169,078"
46,South Dakota," 886,667 ","944,259","988,684","1,023,068"
47,Tennessee," 6,910,840 ","7,359,519","7,705,470","7,973,147"
48,Texas," 29,145,505 ","32,463,602","36,177,044","39,842,850"
49,Utah," 3,271,616 ","3,699,050","4,209,773","4,734,870"
50,Vermont," 643,077 ","656,319","648,499","633,264"
51,Virginia," 8,631,393 ","9,129,002","9,468,578","9,705,706"
53,Washington," 7,705,281 ","8,512,355","9,377,817","10,210,211"
54,West Virginia," 1,793,716 ","1,750,206","1,628,902","1,498,241"
55,Wisconsin," 5,893,718 ","6,052,525","6,030,730","5,938,601"
56,Wyoming," 576,851 ","586,925","577,539","561,644"
