jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,element_code,year,state,state_abbrev
635,431,217,220,66,3,0,0,5,144,476,657,25,1997,Alabama,AL
572,472,398,154,9,0,0,0,0,77,268,465,25,1998,Alabama,AL
532,407,422,59,32,0,0,0,6,129,290,581,25,1999,Alabama,AL
622,392,258,189,9,0,0,0,6,105,391,830,25,2000,Alabama,AL
770,397,457,90,24,0,0,0,13,188,234,483,25,2001,Alabama,AL
599,554,359,71,34,0,0,0,0,72,444,641,25,2002,Alabama,AL
811,513,292,113,23,1,0,0,9,130,243,671,25,2003,Alabama,AL
679,573,255,155,9,0,0,0,7,61,258,640,25,2004,Alabama,AL
532,422,395,157,50,0,0,0,1,124,309,701,25,2005,Alabama,AL
483,562,328,51,28,0,0,0,11,168,385,518,25,2006,Alabama,AL
607,596,220,186,17,0,0,0,1,79,364,451,25,2007,Alabama,AL
710,472,348,126,31,0,0,0,4,152,446,519,25,2008,Alabama,AL
659,494,296,155,21,0,0,0,4,153,364,652,25,2009,Alabama,AL
811,709,457,97,11,0,0,0,1,118,325,789,25,2010,Alabama,AL
772,461,290,79,29,0,0,0,15,187,319,515,25,2011,Alabama,AL
510,399,141,85,8,0,0,0,10,158,432,466,25,2012,Alabama,AL
525,506,498,141,45,0,0,0,4,107,433,566,25,2013,Alabama,AL
888,532,430,133,25,0,0,0,1,101,523,501,25,2014,Alabama,AL
699,698,297,78,16,0,0,0,5,105,221,308,25,2015,Alabama,AL
714,455,238,109,27,0,0,0,0,52,253,505,25,2016,Alabama,AL
448,314,275,52,29,0,0,0,10,97,314,590,25,2017,Alabama,AL
794,268,354,205,6,0,0,0,0,74,467,526,25,2018,Alabama,AL
616,315,364,109,8,0,0,0,0,71,456,459,25,2019,Alabama,AL
524,430,174,156,43,0,0,0,6,82,250,619,25,2020,Alabama,AL
612,547,240,153,37,0,0,0,7,71,414,315,25,2021,Alabama,AL
692,454,291,133,10,0,0,0,8,175,326,523,25,2022,Alabama,AL
470,296,270,123,27,0,0,0,3,99,334,522,25,2023,Alabama,AL
711,375,273,96,8,0,0,0,3,82,183,536,25,2024,Alabama,AL
802,400,269,63,20,0,0,0,3,96,306,557,25,2025,Alabama,AL
473,368,159,130,10,3,0,0,2,64,232,564,25,1997,Arizona,AZ
450,455,308,209,46,5,0,0,2,60,246,474,25,1998,Arizona,AZ
413,296,219,194,29,3,0,0,4,32,148,485,25,1999,Arizona,AZ
387,288,259,62,8,1,0,0,2,70,440,428,25,2000,Arizona,AZ
537,406,244,119,9,1,0,0,1,31,180,556,25,2001,Arizona,AZ
488,326,275,60,21,0,0,0,3,68,213,514,25,2002,Arizona,AZ
300,355,268,149,14,1,0,0,2,16,290,462,25,2003,Arizona,AZ
450,442,110,107,14,2,0,0,4,67,338,475,25,2004,Arizona,AZ
418,344,289,119,15,3,0,0,3,41,193,435,25,2005,Arizona,AZ
427,294,310,100,10,0,0,0,7,62,187,512,25,2006,Arizona,AZ
573,330,174,93,14,1,0,0,2,42,140,560,25,2007,Arizona,AZ
525,373,228,103,40,1,0,0,3,41,184,472,25,2008,Arizona,AZ
392,321,207,123,9,4,0,0,2,72,183,551,25,2009,Arizona,AZ
450,370,302,143,44,2,0,0,1,42,293,358,25,2010,Arizona,AZ
