year,tech,metric,units,value,dollar_year
2010,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2011,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2012,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2013,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2014,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2015,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2016,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2017,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2018,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2019,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2020,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2021,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2022,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2023,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2024,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2025,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2026,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2027,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2028,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2029,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2030,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2031,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2032,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2033,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
2034,Gaseous H2 Pipeline,cost_cap,$/(kg/day)-km,1.20726022,2020
