"gid","scenario","latitude","longitude","demand_ammonia_kg","demand_biofuel_kg","demand_ldv_kg","demand_metals_kg","demand_methanol_kg","demand_mhdv_kg","demand_ng_kg","demand_refining_kg","demand_storage_kg","demand_synfuel_kg","supply_lte_kg","supply_nuclearhte_kg","supply_smr_kg","total_demand_kg","total_supply_kg"
1,"Current R&D",25.9656549,-97.47349439,0,0,389251.535563619,0,0,173000.682472719,0,0,0,0,0,0,0,562252.218036338,0
2,"Current R&D",26.16726259,-97.70732103,0,0,156775.33739659,0,0,69677.9277318177,0,0,0,0,0,0,0,226453.265128408,0
3,"Current R&D",26.17698481,-80.23198009,0,0,205404078.803227,0,0,91290701.6903229,0,0,0,0,0,0,0,296694780.49355,0
4,"Current R&D",26.21127837,-81.7453499,0,0,10956815.9511018,0,0,4869695.97826746,0,0,0,0,0,0,0,15826511.9293693,0
5,"Current R&D",26.24034618,-98.17500675,0,0,2412027.92306846,0,0,1072012.41025265,0,0,0,0,0,0,0,3484040.33332111,0
6,"Current R&D",26.37507016,-98.85081967,0,0,153558.610530896,0,0,68248.2713470648,0,0,0,0,0,0,0,221806.881877961,0
7,"Current R&D",26.59995104,-81.84186623,0,0,7097588.28058372,0,0,3154483.68025943,0,0,0,0,0,0,0,10252071.9608431,0
8,"Current R&D",27.00692437,-82.12386758,0,0,644574.380408748,0,0,286477.502403888,0,0,0,0,0,0,0,931051.882812636,0
9,"Current R&D",27.2650432,-80.3026657,0,0,17168034.9592072,0,0,7630237.75964765,0,0,0,0,0,0,0,24798272.7188549,0
10,"Current R&D",27.30239188,-82.47260729,0,0,7694551.62427946,0,0,3419800.72190198,0,0,0,0,0,0,0,11114352.3461814,0
11,"Current R&D",27.51972229,-81.47494742,0,0,73203.2134202902,0,0,32534.761520129,0,0,0,0,0,0,0,105737.974940419,0
12,"Current R&D",27.53591299,-99.47836772,0,0,813214.419320843,0,0,361428.630809263,0,0,0,0,0,0,0,1174643.05013011,0
13,"Current R&D",27.66292592,-80.4204576,0,0,478075.989849367,0,0,212478.21771083,0,0,0,0,0,0,0,690554.207560197,0
14,"Current R&D",27.74616032,-97.41376367,0,61469931.4987091,1014476.92648525,0,0,450878.633993442,0,334179965.381396,0,0,0,0,1047143869.59603,397115252.440583,1047143869.59603
15,"Current R&D",28.00711679,-82.51081464,0,0,45900197.4058411,0,0,20400087.7359294,0,0,0,0,0,0,0,66300285.1417705,0
16,"Current R&D",28.02209498,-81.95712167,0,0,385639.477276006,0,0,171395.32323378,0,0,0,0,0,0,0,557034.800509786,0
17,"Current R&D",28.04315553,-81.70354377,0,0,130360.652904529,0,0,57938.0679575686,0,0,0,0,0,0,0,188298.720862098,0
18,"Current R&D",28.18882919,-80.67420689,0,0,4618818.5612969,0,0,2052808.24946529,0,0,0,0,0,0,0,6671626.81076219,0
19,"Current R&D",28.28694287,-82.19945298,0,0,30833.1039228823,0,0,13703.6017435032,0,0,0,0,0,0,0,44536.7056663855,0
20,"Current R&D",28.30082136,-81.38341164,0,0,5620028.67893624,0,0,2497790.52397166,0,0,0,0,0,0,0,8117819.2029079,0
21,"Current R&D",28.33190385,-81.65426904,0,0,98120.6327810011,0,0,43609.1701248893,0,0,0,0,0,0,0,141729.80290589,0
22,"Current R&D",28.4659,-98.1782,0,61469931.4987091,0,0,0,0,0,35055189.4521118,0,0,0,0,25868178.5967399,96525120.9508209,25868178.5967399
23,"Current R&D",28.49178417,-82.52346507,0,0,68610.7073166517,0,0,30493.6476962896,0,0,0,0,0,0,0,99104.3550129413,0
24,"Current R&D",28.58381643,-81.41199908,0,0,21723215.1877265,0,0,9654762.30565623,0,0,0,0,0,0,0,31377977.4933827,0
25,"Current R&D",28.60251249,-80.83514981,0,0,16634.4273265825,0,0,7393.07881181446,0,0,0,0,0,0,0,24027.506138397,0
26,"Current R&D",28.69816397,-100.4725695,0,0,84017.2613149525,0,0,37341.0050288677,0,0,0,0,0,0,0,121358.26634382,0
27,"Current R&D",28.81646999,-81.77484945,0,0,177356.592432144,0,0,78825.1521920639,0,0,0,0,0,0,0,256181.744624208,0
28,"Current R&D",28.82642001,-96.98442075,0,30734965.7493546,170686.265476937,0,0,75860.5624341942,0,0,0,0,0,0,80450035.4358611,30981512.5772657,80450035.4358611
29,"Current R&D",28.88579076,-82.43146853,0,0,37477.137114237,0,0,16656.5053841053,0,0,0,0,0,0,0,54133.6424983423,0
30,"Current R&D",28.96078381,-81.26803175,0,0,223959.128269917,0,0,99537.3903421855,0,0,0,0,0,0,0,323496.518612102,0
31,"Current R&D",28.96297164,-81.99426922,0,0,416850.873527008,0,0,185267.054900892,0,0,0,0,0,0,0,602117.9284279,0
32,"Current R&D",29.0460706,-95.4072996,0,92204897.2480637,169136.361398489,0,0,75171.7161771063,0,100157684.148891,0,0,0,0,945166601.422696,192606889.47453,945166601.422696
33,"Current R&D",29.15412475,-82.13317646,0,0,194486.863518854,0,0,86438.6060083795,0,0,0,0,0,0,0,280925.469527234,0
34,"Current R&D",29.25911338,-81.07375557,0,0,2024112.41375026,0,0,899605.517222336,0,0,0,0,0,0,0,2923717.9309726,0
35,"Current R&D",29.28703539,-94.82187954,0,30734965.7493546,54420.7091783324,0,0,24186.9818570366,0,88986250.1476684,0,0,0,0,0,119799823.588058,0
36,"Current R&D",29.36919555,-100.8816933,0,0,758.114741326842,0,0,336.939885034152,0,0,0,0,0,0,0,1095.05462636099,0
37,"Current R&D",29.38846103,-95.02886775,0,61469931.4987091,301013.582317296,0,0,133783.814363243,0,219769072.334393,0,0,0,0,2311580439.40468,281673801.229783,2311580439.40468
38,"Current R&D",29.51527848,-98.4761833,0,30734965.7493546,48683035.7431537,0,0,21636904.7747349,0,8089659.10433349,0,0,0,0,0,109144565.371577,0
39,"Current R&D",29.65933485,-82.37221225,0,0,1290404.75593927,0,0,573513.224861899,0,0,0,0,0,0,0,1863917.98080117,0
40,"Current R&D",29.66781421,-90.73146582,0,13581143.7880661,267547.061495811,0,0,118909.805109249,0,0,0,0,0,0,177455705.173636,13967600.6546712,177455705.173636
41,"Current R&D",29.69084043,-91.19311506,0,0,1406.01410637894,0,0,624.895158390641,0,0,0,0,0,0,0,2030.90926476958,0
42,"Current R&D",29.783503,-95.39388824,0,92204897.2480637,161436154.563908,0,0,71749402.0284036,0,639660902.035511,0,0,0,0,1003944011.33948,965051355.875887,1003944011.33948
43,"Current R&D",29.868869,-97.92118273,0,30734965.7493546,182653.639866156,0,0,81179.3954960692,0,5778327.93166678,0,0,0,0,0,36777126.7163836,0
44,"Current R&D",29.95855527,-90.14535644,132113821.138211,40743431.3641982,8503350.2447545,0,0,3779266.77544644,0,647557950.208791,0,0,0,0,2206131060.62333,832697819.731401,2206131060.62333
45,"Current R&D",29.98479371,-93.91777803,47764227.6422764,92204897.2480637,424580.12082248,0,0,188702.275921102,0,498862311.433898,0,0,0,0,1514553718.29776,639444718.720982,1514553718.29776
46,"Current R&D",30,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Current R&D",30.07,-83.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Current R&D",30.11831127,-94.12682864,0,61469931.4987091,374146.508775455,0,0,166287.337233536,0,145382730.760736,0,0,0,0,128823529.411764,207393096.105454,128823529.411764
49,"Current R&D",30.16666755,-92.01089738,0,13581143.7880661,566526.100918661,0,0,251789.378186071,0,31973414.5552228,0,0,0,0,0,46372873.8223936,0
50,"Current R&D",30.19391197,-85.67705897,0,32611277.4545075,60400.6167053777,45977011.4942529,0,26844.7185357234,0,0,0,0,0,0,0,78675534.2840015,0
51,"Current R&D",30.22289052,-93.25148889,0,27162287.5761321,422765.784696537,0,0,187895.904309572,0,315111483.206894,0,0,0,0,994760807.937633,342884432.472033,994760807.937633
52,"Current R&D",30.23058171,-95.47993941,0,0,2269078.96132501,0,0,1008479.53836667,0,0,0,0,0,0,0,3277558.49969168,0
53,"Current R&D",30.241479,-81.64975268,0,0,15315734.2510018,0,0,6806993.00044524,0,0,0,0,0,0,0,22122727.251447,0
54,"Current R&D",30.2951968,-89.79109351,0,0,8068.56996680363,0,0,3586.03109635717,0,0,0,0,0,0,0,11654.6010631608,0
55,"Current R&D",30.35966843,-97.76188926,0,0,44139005.3151606,0,0,19617335.6956269,0,0,0,0,0,0,0,63756341.0107875,0
56,"Current R&D",30.402697,-89.02282056,0,20871338.9535084,138573.873667969,45977011.4942529,0,61588.388296875,0,0,0,0,0,0,0,67048512.7097261,0
