technology,network_id,X,Y,capacity_kgperyr,capacity_kgperday
SMR,"@ Anacortes, WA",-122.612659,48.512597,6035947.233,16536.84174
SMR,"@ Anniston, AL",-85.8503,33.6558,558914.3007,1531.272057
SMR,"@ Ardmore, OK",-97.12,34.1908,44838372.09,122844.8551
SMR,"@ Artesia, NM",-104.390795,32.842857,7760390.92,21261.34499
SMR,"@ Ashtabula, OH",-80.798,41.8795,1034815.125,2835.109932
SMR,"@ Augusta, GA",-81.9472,33.40405,28023712.53,76777.29461
SMR,"@ Bakersfield, CA",-119.031674,35.375066,25609503.13,70163.02226
SMR,"@ Baton Rouge, LA",-91.18739,30.552844,15089966.05,41342.37275
SMR,"@ Bay City, TX",-95.969402,28.982757,13796450.82,37798.4954
SMR,"@ Bayport, TX",-95.0105,29.6111,86227719.67,236240.3279
SMR,"@ Baytown, TX",-94.936444,29.754511,133653474.9,366173.9039
SMR,"@ Beaumont, TX",-94.0717,30.074,42682867.69,116939.3635
SMR,"@ Belle Chasse, LA",-89.975878,29.68327,8967674.42,24568.97101
SMR,"@ Belle, WV",-81.5397,38.2326,2586677.779,7086.788437
SMR,"@ Belvidere, NJ",-75.0728,40.8282,372490.339,1020.521477
SMR,"@ Benicia, CA",-122.1455,38.0629,113389447.9,310656.0217
SMR,"@ Billings, MT",-108.51664,45.78924,104249662.7,285615.5143
SMR,"@ Blaine, WA",-122.7639,48.8926,115975665.3,317741.5487
SMR,"@ Borger, TX",-101.4007,35.6593,40527005.71,111032.8923
SMR,"@ Bradley, IL",-87.8509,41.1555,956807.8313,2621.391319
SMR,"@ Brorger, TX",-101.397316,35.667667,86227817.6,236240.5962
SMR,"@ Burkville, AL",-86.512,32.3283,2155861.987,5906.471196
SMR,"@ Butler, IN",-84.8706,41.4292,1552220.239,4252.658188
SMR,"@ Butte, MT",-112.6585,45.8959,248325.2599,680.3431777
SMR,"@ Calvert City, KY",-87.881224,35.338392,6553107.426,17953.71898
SMR,"@ Carson, CA",-118.251948,33.822169,228502244.3,626033.5459
SMR,"@ Catlettsburg, KY",-82.6028,38.4163,29317590.25,80322.16506
SMR,"@ Cedar City, UT",-113.0743,37.6897,344936.7423,945.0321706
SMR,"@ Channelview, TX",-95.12135,29.81575,103473552.6,283489.1852
SMR,"@ Charleston, TN",-84.8324,35.3161,6294760.005,17245.91782
SMR,"@ Charlotte, NC",-80.8762,35.1696,413999.5263,1134.245278
