r,tg
p01001,csp
p01003,csp
p01017,csp
p01031,csp
p01033,csp
p01035,csp
p01037,csp
p01045,csp
p01047,csp
p01053,csp
p01055,csp
p01059,csp
p01063,csp
p01065,csp
p01069,csp
p01071,csp
p01077,csp
p01079,csp
p01081,csp
p01083,csp
p01085,csp
p01091,csp
p01097,csp
p01099,csp
p01101,csp
p01103,csp
p01105,csp
p01109,csp
p01111,csp
p01113,csp
p01117,csp
p01121,csp
p01127,csp
p01129,csp
p01131,csp
p04001,csp
p04003,csp
p04005,csp
p04011,csp
p04012,csp
p04013,csp
p04015,csp
p04017,csp
p04019,csp
p04021,csp
p04025,csp
p04027,csp
p05001,csp
p05003,csp
p05007,csp
p05011,csp
p05013,csp
p05015,csp
p05017,csp
p05021,csp
p05025,csp
p05027,csp
p05029,csp
p05031,csp
p05033,csp
p05035,csp
p05037,csp
p05041,csp
p05043,csp
p05045,csp
p05047,csp
p05053,csp
p05055,csp
p05057,csp
p05059,csp
p05061,csp
p05063,csp
p05067,csp
p05069,csp
p05075,csp
p05077,csp
p05081,csp
p05085,csp
p05093,csp
p05095,csp
p05099,csp
p05103,csp
p05107,csp
p05109,csp
p05111,csp
p05115,csp
p05117,csp
p05119,csp
p05123,csp
p05125,csp
p05131,csp
p05135,csp
p05139,csp
p05141,csp
p05145,csp
p05147,csp
p06001,csp
p06007,csp
p06009,csp
p06011,csp
p06013,csp
p06017,csp
p06019,csp
p06021,csp
p06023,csp
p06025,csp
p06027,csp
p06029,csp
p06031,csp
p06033,csp
p06035,csp
p06037,csp
p06039,csp
p06041,csp
p06047,csp
p06053,csp
p06055,csp
p06059,csp
p06061,csp
p06065,csp
p06067,csp
p06069,csp
p06071,csp
p06073,csp
p06075,csp
p06077,csp
p06079,csp
p06081,csp
p06085,csp
p06087,csp
p06089,csp
p06093,csp
p06095,csp
p06097,csp
p06099,csp
p06101,csp
p06103,csp
p06107,csp
p06109,csp
p06111,csp
p06113,csp
p06115,csp
p08001,csp
p08003,csp
p08005,csp
p08011,csp
p08017,csp
p08029,csp
p08033,csp
p08039,csp
p08041,csp
p08043,csp
p08045,csp
p08055,csp
p08057,csp
p08061,csp
p08063,csp
p08067,csp
p08071,csp
p08073,csp
p08075,csp
p08077,csp
p08081,csp
