r,tg,2027,2028,2029,2030,2031
p01001,battery,0.0,0.0,0.0,0.0,0.0
p01001,biomass,0.0,0.0,0.0,0.0,0.0
p01001,coal,0.0,0.0,0.0,0.0,0.0
p01001,csp,0.0,0.0,0.0,0.0,0.0
p01001,gas,0.0,0.0,159.33333333337214,318.66666666668607,478.0
p01001,geothermal,0.0,0.0,0.0,0.0,0.0
p01001,h2,0.0,0.0,0.0,0.0,0.0
p01001,hydro,0.0,0.0,0.0,0.0,0.0
p01001,nuclear,0.0,0.0,0.0,0.0,0.0
p01001,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01001,pv,0.0,0.0,0.0,0.0,0.0
p01001,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01001,wind-ons,0.0,0.0,0.0,0.0,0.0
p01003,battery,0.0,0.0,0.0,0.0,0.0
p01003,biomass,0.0,0.0,0.0,0.0,0.0
p01003,coal,0.0,0.0,0.0,0.0,0.0
p01003,csp,0.0,0.0,0.0,0.0,0.0
p01003,gas,0.0,0.0,0.0,0.0,0.0
p01003,geothermal,0.0,0.0,0.0,0.0,0.0
p01003,h2,0.0,0.0,0.0,0.0,0.0
p01003,hydro,0.0,0.0,0.0,0.0,0.0
p01003,nuclear,0.0,0.0,0.0,0.0,0.0
p01003,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01003,pv,130.0,260.0,326.33333333331393,392.66666666665697,459.0
p01003,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01003,wind-ons,0.0,0.0,0.0,0.0,0.0
p01011,battery,0.0,0.0,0.0,0.0,0.0
p01011,biomass,0.0,0.0,0.0,0.0,0.0
p01011,coal,0.0,0.0,0.0,0.0,0.0
p01011,gas,0.0,0.0,0.0,0.0,0.0
p01011,geothermal,0.0,0.0,0.0,0.0,0.0
p01011,h2,0.0,0.0,0.0,0.0,0.0
p01011,hydro,0.0,0.0,0.0,0.0,0.0
p01011,nuclear,0.0,0.0,0.0,0.0,0.0
p01011,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01011,pv,100.0,200.0,200.0,200.0,200.0
p01011,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01011,wind-ons,0.0,0.0,0.0,0.0,0.0
p01013,battery,0.0,0.0,0.0,0.0,0.0
p01013,biomass,0.0,0.0,0.0,0.0,0.0
p01013,coal,0.0,0.0,0.0,0.0,0.0
p01013,gas,0.0,0.0,0.0,0.0,0.0
p01013,geothermal,0.0,0.0,0.0,0.0,0.0
p01013,h2,0.0,0.0,0.0,0.0,0.0
p01013,hydro,0.0,0.0,0.0,0.0,0.0
p01013,nuclear,0.0,0.0,0.0,0.0,0.0
p01013,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01013,pv,0.0,0.0,66.66666666668607,133.33333333334303,200.0
p01013,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01013,wind-ons,0.0,0.0,0.0,0.0,0.0
p01017,csp,0.0,0.0,0.0,0.0,0.0
p01019,battery,0.0,0.0,0.0,0.0,0.0
p01019,biomass,0.0,0.0,0.0,0.0,0.0
p01019,coal,0.0,0.0,0.0,0.0,0.0
p01019,gas,0.0,0.0,0.0,0.0,0.0
p01019,geothermal,0.0,0.0,0.0,0.0,0.0
p01019,h2,0.0,0.0,0.0,0.0,0.0
p01019,hydro,0.0,0.0,0.0,0.0,0.0
p01019,nuclear,0.0,0.0,0.0,0.0,0.0
p01019,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01019,pv,0.0,0.0,56.666666666656965,113.33333333332848,170.0
p01019,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01019,wind-ons,0.0,0.0,0.0,0.0,0.0
p01025,battery,0.0,0.0,0.0,0.0,0.0
p01025,biomass,0.0,0.0,0.0,0.0,0.0
p01025,coal,0.0,0.0,0.0,0.0,0.0
p01025,gas,0.0,0.0,0.0,0.0,0.0
p01025,geothermal,0.0,0.0,0.0,0.0,0.0
p01025,h2,0.0,0.0,0.0,0.0,0.0
p01025,hydro,0.0,0.0,0.0,0.0,0.0
p01025,nuclear,0.0,0.0,0.0,0.0,0.0
p01025,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01025,pv,0.0,0.0,31.0,62.0,93.0
p01025,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01025,wind-ons,0.0,0.0,0.0,0.0,0.0
p01031,csp,0.0,0.0,0.0,0.0,0.0
p01033,battery,0.0,0.0,0.0,0.0,0.0
p01033,biomass,0.0,0.0,0.0,0.0,0.0
p01033,coal,0.0,0.0,0.0,0.0,0.0
p01033,csp,0.0,0.0,0.0,0.0,0.0
p01033,gas,390.0,780.0,780.0,780.0,780.0
p01033,geothermal,0.0,0.0,0.0,0.0,0.0
p01033,h2,0.0,0.0,0.0,0.0,0.0
p01033,hydro,0.0,0.0,0.0,0.0,0.0
p01033,nuclear,0.0,0.0,0.0,0.0,0.0
p01033,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01033,pv,89.0,178.0,178.0,178.0,178.0
p01033,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01033,wind-ons,0.0,0.0,0.0,0.0,0.0
p01035,csp,0.0,0.0,0.0,0.0,0.0
p01037,csp,0.0,0.0,0.0,0.0,0.0
p01045,battery,0.0,0.0,0.0,0.0,0.0
p01045,biomass,0.0,0.0,0.0,0.0,0.0
p01045,coal,0.0,0.0,0.0,0.0,0.0
p01045,csp,0.0,0.0,0.0,0.0,0.0
p01045,gas,0.0,0.0,0.0,0.0,0.0
p01045,geothermal,0.0,0.0,0.0,0.0,0.0
p01045,h2,0.0,0.0,0.0,0.0,0.0
p01045,hydro,0.0,0.0,0.0,0.0,0.0
p01045,nuclear,0.0,0.0,0.0,0.0,0.0
p01045,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01045,pv,0.0,0.0,67.0,134.0,201.0
p01045,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01045,wind-ons,0.0,0.0,0.0,0.0,0.0
p01047,csp,0.0,0.0,0.0,0.0,0.0
p01049,battery,100.0,200.0,200.0,200.0,200.0
p01049,biomass,0.0,0.0,0.0,0.0,0.0
p01049,coal,0.0,0.0,0.0,0.0,0.0
p01049,gas,0.0,0.0,0.0,0.0,0.0
p01049,geothermal,0.0,0.0,0.0,0.0,0.0
p01049,h2,0.0,0.0,0.0,0.0,0.0
p01049,hydro,0.0,0.0,0.0,0.0,0.0
p01049,nuclear,0.0,0.0,0.0,0.0,0.0
p01049,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01049,pv,0.0,0.0,0.0,0.0,0.0
p01049,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01049,wind-ons,0.0,0.0,0.0,0.0,0.0
p01053,battery,0.0,0.0,0.0,0.0,0.0
p01053,biomass,0.0,0.0,0.0,0.0,0.0
p01053,coal,0.0,0.0,0.0,0.0,0.0
p01053,csp,0.0,0.0,0.0,0.0,0.0
p01053,gas,0.0,0.0,0.0,0.0,0.0
p01053,geothermal,0.0,0.0,0.0,0.0,0.0
p01053,h2,0.0,0.0,0.0,0.0,0.0
p01053,hydro,0.0,0.0,0.0,0.0,0.0
p01053,nuclear,0.0,0.0,0.0,0.0,0.0
p01053,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01053,pv,0.0,0.0,132.96666666673264,265.93333333334886,398.9
p01053,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01053,wind-ons,0.0,0.0,0.0,0.0,0.0
p01055,csp,0.0,0.0,0.0,0.0,0.0
p01059,csp,0.0,0.0,0.0,0.0,0.0
p01063,battery,0.0,0.0,0.0,0.0,0.0
p01063,biomass,0.0,0.0,0.0,0.0,0.0
p01063,coal,0.0,0.0,0.0,0.0,0.0
p01063,csp,0.0,0.0,0.0,0.0,0.0
p01063,gas,0.0,0.0,0.0,0.0,0.0
p01063,geothermal,0.0,0.0,0.0,0.0,0.0
p01063,h2,0.0,0.0,0.0,0.0,0.0
p01063,hydro,0.0,0.0,0.0,0.0,0.0
p01063,nuclear,0.0,0.0,0.0,0.0,0.0
p01063,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01063,pv,0.0,0.0,131.33333333337214,262.66666666668607,394.0
p01063,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01063,wind-ons,0.0,0.0,0.0,0.0,0.0
p01065,csp,0.0,0.0,0.0,0.0,0.0
p01069,battery,0.0,0.0,0.0,0.0,0.0
p01069,biomass,0.0,0.0,0.0,0.0,0.0
p01069,coal,0.0,0.0,0.0,0.0,0.0
p01069,csp,0.0,0.0,0.0,0.0,0.0
p01069,gas,0.0,0.0,0.0,0.0,0.0
p01069,geothermal,0.0,0.0,0.0,0.0,0.0
p01069,h2,0.0,0.0,0.0,0.0,0.0
p01069,hydro,0.0,0.0,0.0,0.0,0.0
p01069,nuclear,0.0,0.0,43.333333333343035,86.66666666667152,130.0
p01069,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01069,pv,0.0,0.0,0.0,0.0,0.0
p01069,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01069,wind-ons,0.0,0.0,0.0,0.0,0.0
p01071,battery,0.0,0.0,100.0,200.0,300.0
p01071,biomass,0.0,0.0,0.0,0.0,0.0
p01071,coal,0.0,0.0,0.0,0.0,0.0
p01071,csp,0.0,0.0,0.0,0.0,0.0
p01071,gas,0.0,0.0,0.0,0.0,0.0
p01071,geothermal,0.0,0.0,0.0,0.0,0.0
p01071,h2,0.0,0.0,0.0,0.0,0.0
p01071,hydro,0.0,0.0,0.0,0.0,0.0
p01071,nuclear,0.0,0.0,0.0,0.0,0.0
p01071,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01071,pv,0.0,0.0,33.0,66.0,99.0
p01071,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01071,wind-ons,0.0,0.0,0.0,0.0,0.0
p01077,csp,0.0,0.0,0.0,0.0,0.0
p01079,battery,0.0,0.0,0.0,0.0,0.0
p01079,biomass,0.0,0.0,0.0,0.0,0.0
p01079,coal,0.0,0.0,0.0,0.0,0.0
p01079,csp,0.0,0.0,0.0,0.0,0.0
p01079,gas,0.0,0.0,0.0,0.0,0.0
p01079,geothermal,0.0,0.0,0.0,0.0,0.0
p01079,h2,0.0,0.0,0.0,0.0,0.0
p01079,hydro,0.0,0.0,0.0,0.0,0.0
p01079,nuclear,0.0,0.0,0.0,0.0,0.0
p01079,pumped-hydro,0.0,0.0,0.0,0.0,0.0
p01079,pv,196.5,393.0,393.0,393.0,393.0
p01079,wind-ofs,0.0,0.0,0.0,0.0,0.0
p01079,wind-ons,0.0,0.0,0.0,0.0,0.0
p01081,battery,0.0,0.0,0.0,0.0,0.0
p01081,biomass,0.0,0.0,0.0,0.0,0.0
p01081,coal,0.0,0.0,0.0,0.0,0.0
p01081,csp,0.0,0.0,0.0,0.0,0.0
p01081,gas,0.0,0.0,117.0,234.0,351.0
p01081,geothermal,0.0,0.0,0.0,0.0,0.0
p01081,h2,0.0,0.0,0.0,0.0,0.0
p01081,hydro,0.0,0.0,0.0,0.0,0.0
p01081,nuclear,0.0,0.0,0.0,0.0,0.0
