T_IGRP,T_GRP,T_GRP2,T_CID,T_PCA,T_PID,T_UID,T_PNM,TVIN,EFDcd,ECPcd,TFOWN,T_MRUN,TEFPT,TNOPER,TNOWN,T_CLRG,TSTATE,T_CR,T_GR,TCOUNT,TC_NP,TC_SUM,TC_WIN,THRATE,T_CCSROV,T_CCSF,T_CCSV,T_CCSHR,TRFURB,T_SYR,T_SMO,T_RYR,T_RMO,T_NRET,T_CCSCAPA,T_CCSLOC,T_COOL,TSCBEF,TSCBYR,TSCBCST,TSCBGRP,TSEQEF,T_CF,M_CF_JAN,M_CF_FEB,M_CF_MAR,M_CF_APR,M_CF_MAY,M_CF_JUN,M_CF_JUL,M_CF_AUG,M_CF_SEP,M_CF_OCT,M_CF_NOV,M_CF_DEC,CFL_1,CFL_2,CFL_3,T_FSHR_1,T_FSHR_2,T_FSHR_3,T_VOM,T_FOM,T_CAPAD,T_GRID,TNOX_R,T_COMB,T_POST,TCOMB_O,TCOMB_F,TCOMB_V,TCOMB_R,TSNCR_O,TSNCR_F,TSNCR_V,TSNCR_R,TSCR_O,TSCR_F,TSCR_V,TSCR_R,TSCBT,TPART,T_LONG,T_LAT,T_DSIR,T_DSIOV,T_DSIF,T_DSIV,T_FFOV,T_FFF,T_FFV,T_ESPU,T_CFBU,T_CFBUV,T_CFBUF,T_NG_COST,T_NG_TRAN,THR_QT,THR_O,THR_F,THR_V,THR_IMP,TOID
1,1,1,195,SOCO ,2,1    ,Bankhead Dam        ,1,HYC,HY,1,0,12,15,15,9,AL,6,9,1,53.9,53,53,9771,0,0,0,0,1963,1963,7,9999,12, ,0,0,0,0,0,0,  ,0,0.381,0.142,0.14,0.119,0.111,0.142,0.152,0.134,0.121,0.102,0.1,0.12,0.138,WA,0,0,1,0,0,0,6.527,0,1,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0.9,N ,N ,87.357,33.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
2,2,1,195,SOCO ,3,1    ,Barry               ,1,STG,ST,1,0,3,15,15,9,AL,6,9,1,153.1,80,80,11215,0,0,0,0,1954,1954,2,9999,12, ,0,0,0,0,0,0,  ,0,0.032,0.08,0.006,0.007,0,0.094,0.003,0.042,0,0.061,0.021,0.041,0,GF,0,0,1,0,0,1.836,25.297,6.46,1,0.326,1,1,217.2,1.07,0.05,0,0,0,0.53,0.35,0,0.76,0,0.9,N ,N ,88.01,31.007,0,0,0,0,0,0,0,0,0,0,0,120.67,9.774,1,0,0,0,0,195
2,2,2,195,SOCO ,3,2    ,Barry               ,1,STG,ST,1,0,3,15,15,9,AL,6,9,1,153.1,80,80,11025,0,0,0,0,1954,1954,7,9999,12, ,0,0,0,0,0,0,  ,0,0.03,0.077,0.001,0.01,0,0.094,0.002,0.036,0,0.049,0.019,0.041,0,GF,0,0,1,0,0,1.745,24.361,6.46,1,0.328,1,1,217.2,1.07,0.05,0,0,0,0.53,0.35,0,0.76,0,0.9,N ,N ,88.01,31.007,0,0,0,0,0,0,0,0,0,0,0,120.67,9.049,1,0,0,0,0,195
3,3,1,195,SOCO ,3,3    ,Barry               ,1,CSU,H1,1,0,1,15,15,9,AL,6,9,1,272,249,249,11140,1201.2,7.01,2.806,16194.4,1959,1959,7,2015,8, ,0,0,0,98,0,287.8,  ,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,H1,DS,WD,0.99,0.01,0,0.543886951,10.7540436,8.735507539,1,0.297,0,0,46.4,0.23,0.05,0.718,16.3,0.29,0.73,0.35,0,0.44,0,0.9,N ,N ,88.01,31.007,0,0,0,0,95,0.703,0.071,0,0,0,0,98.683,16.799,3,7.237,45.6,516.7,350,195
4,4,1,195,SOCO ,3,4    ,Barry               ,6,CSU,C1,1,0,1,15,15,9,AL,6,9,1,403.7,362,362,10168,1010.6,7.277,2.806,13982.7,1969,1969,12,2006,12, ,0,0,0,98,0,267,  ,0,0.5,0.212,0.174,0.199,0.218,0.228,0.176,0.297,0.332,0.218,0.219,0.224,0.178,C1,DS,WD,0.99,0.01,0,0.543886951,10.7540436,8.735507539,1,0.265,1,0,27.9,0.14,0.05,0.718,13.3,0.22,0.7,0.35,127.7,0.4,0.77,0.9,N ,E ,88.01,31.007,0.7,22.8,0.401,2.549,93.6,0.602,0.071,0,0,0,0,85.945,14.391,3,7.237,45.6,516.7,350,195
4,5,1,195,SOCO ,3,4    ,Barry               ,7,CSU,C1,1,0,1,15,15,9,AL,6,9,1,403.7,362,362,10168,1010.6,7.277,2.806,13982.7,1969,2007,1,9999,12, ,0,0,0,98,0,267,  ,0,0.5,0.212,0.174,0.199,0.218,0.228,0.176,0.297,0.332,0.218,0.219,0.224,0.178,C1,DS,WD,0.99,0.01,0,0.543886951,10.7540436,8.735507539,1,0.265,1,3,27.9,0.14,0.05,0.718,13.3,0.22,0.7,0.35,127.7,0.4,0.77,0.9,N ,E ,88.01,31.007,0.7,22.8,0.401,2.549,93.6,0.602,0.071,0,0,0,0,85.945,14.391,3,7.237,45.6,516.7,350,195
6,6,1,195,SOCO ,3,5    ,Barry               ,6,CSU,C1,1,0,1,15,15,9,AL,6,9,1,788.8,756.5,756.5,10010,808.3,8.21,2.806,12977.4,1971,1971,10,2008,12, ,0,0,0,98,2010,214.9,  ,0,0.5,0.341,0.339,0.371,0.386,0.398,0.642,0.698,0.658,0.656,0.376,0.49,0.359,C1,DS,WD,0.99,0.01,0,0.543886951,10.7540436,8.735507539,1,0.309,1,0,10.3,0.05,0.05,0.718,8.9,0.13,0.48,0.35,99.7,0.34,0.62,0.9,N ,E ,88.01,31.007,0,0,0,0,80.3,0.437,0.071,0,0,0,0,53.339,9.92,3,1.462,0,0,180,195
6,6,2,195,SOCO ,3,5    ,Barry               ,6,CSU,C1,1,0,1,15,15,9,AL,6,9,1,788.8,756.5,756.5,10010,808.3,8.21,2.806,12977.4,1971,2009,1,2009,12, ,0,0,0,98,2010,214.9,  ,0,0.5,0.341,0.339,0.371,0.386,0.398,0.642,0.698,0.658,0.656,0.376,0.49,0.359,C1,DS,WD,0.99,0.01,0,0.543886951,10.7540436,8.735507539,1,0.309,1,4,10.3,0.05,0.05,0.718,8.9,0.13,0.48,0.35,99.7,0.34,0.62,0.9,N ,E ,88.01,31.007,0,0,0,0,80.3,0.437,0.071,0,0,0,0,53.339,9.92,3,1.462,0,0,180,195
6,7,1,195,SOCO ,3,5    ,Barry               ,7,CSC,C7,1,0,1,15,15,9,AL,6,9,1,788.8,756.5,756.5,10010,808.3,8.21,2.806,12977.4,1971,2010,1,9999,12, ,0,0,0,98,2010,214.9,  ,0,0.5,0.341,0.339,0.371,0.386,0.398,0.642,0.698,0.658,0.656,0.376,0.49,0.359,C7,DS,WD,0.99,0.01,0,0.543886951,10.7540436,11.73718224,1,0.309,1,2,10.3,0.05,0.05,0.718,8.9,0.13,0.48,0.35,99.7,0.34,0.62,0.9,W ,E ,88.01,31.007,0,0,0,0,80.3,0.437,0.071,0,0,0,0,53.339,9.92,3,1.462,0,0,180,195
8,8,1,195,SOCO ,3,A2C1 ,Barry               ,1,CCG,EC,1,0,5,15,15,9,AL,6,9,1,170.1,186.2,190,7060,664.7,0,2.7,8248.9,2000,2000,5,9999,12, ,0,0,0,0,0,0,  ,0,0.818,0.838,0.89,0.744,0.842,0.84,0.87,0.906,0.915,0.831,0.786,0.85,0.774,GF,0,0,1,0,0,0.751840417,2.738869166,0,1,0.009,0,2,68.9,0.34,0.05,0,0,0,0.02,0.35,0,0.49,0,0.9,N ,N ,88.01,31.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
