county,state,resource_region,reeds_ba
San Juan,WA,2,p1
Skagit,WA,2,p1
Whatcom,WA,2,p1
Island,WA,3,p1
King,WA,3,p1
Kitsap,WA,3,p1
Pierce,WA,3,p1
Snohomish,WA,3,p1
Thurston,WA,3,p1
Chelan,WA,4,p1
Kittitas,WA,4,p1
Clallam,WA,1,p2
Grays Harbor,WA,1,p2
Jefferson,WA,1,p2
Mason,WA,1,p2
Pacific,WA,1,p2
Wahkiakum,WA,1,p2
Clark,WA,5,p2
Cowlitz,WA,5,p2
Klickitat,WA,5,p2
Lewis,WA,5,p2
Skamania,WA,5,p2
Yakima,WA,5,p2
Asotin,WA,9,p2
Benton,WA,9,p2
Columbia,WA,9,p2
Garfield,WA,9,p2
Walla Walla,WA,9,p2
Okanogan,WA,6,p3
Adams,WA,8,p3
Ferry,WA,8,p3
Franklin,WA,8,p3
Lincoln,WA,8,p3
Pend Oreille,WA,8,p3
Spokane,WA,8,p3
Stevens,WA,8,p3
Whitman,WA,8,p3
Douglas,WA,7,p4
Grant,WA,7,p4
Clatsop,OR,10,p5
Columbia,OR,10,p5
Tillamook,OR,10,p5
Multnomah,OR,11,p5
Washington,OR,11,p5
Clackamas,OR,12,p5
Marion,OR,12,p5
Yamhill,OR,12,p5
Benton,OR,13,p5
Lane,OR,13,p5
Lincoln,OR,13,p5
Linn,OR,13,p5
Polk,OR,13,p5
Gilliam,OR,16,p5
Hood River,OR,16,p5
Morrow,OR,16,p5
Sherman,OR,16,p5
Umatilla,OR,16,p5
Union,OR,16,p5
Wallowa,OR,16,p5
Wasco,OR,16,p5
Crook,OR,17,p5
Deschutes,OR,17,p5
Grant,OR,17,p5
Jefferson,OR,17,p5
Wheeler,OR,17,p5
Coos,OR,14,p6
Curry,OR,14,p6
Josephine,OR,14,p6
Douglas,OR,15,p6
Jackson,OR,15,p6
Klamath,OR,15,p6
Harney,OR,18,p7
Lake,OR,18,p7
Baker,OR,19,p7
Malheur,OR,19,p7
Lassen,CA,21,p8
Modoc,CA,21,p8
Siskiyou,CA,21,p8
Del Norte,CA,20,p9
Humboldt,CA,20,p9
Mendocino,CA,20,p9
Shasta,CA,20,p9
Tehama,CA,20,p9
Trinity,CA,20,p9
Colusa,CA,22,p9
Glenn,CA,22,p9
Lake,CA,22,p9
Yolo,CA,22,p9
Butte,CA,23,p9
Sutter,CA,23,p9
Yuba,CA,23,p9
Alpine,CA,24,p9
Amador,CA,24,p9
Calaveras,CA,24,p9
El Dorado,CA,24,p9
Nevada,CA,24,p9
Placer,CA,24,p9
Plumas,CA,24,p9
Sierra,CA,24,p9
Alameda,CA,25,p9
Contra Costa,CA,25,p9
Marin,CA,25,p9
Napa,CA,25,p9
San Francisco,CA,25,p9
San Mateo,CA,25,p9
Santa Clara,CA,25,p9
Santa Cruz,CA,25,p9
Solano,CA,25,p9
Sonoma,CA,25,p9
Merced,CA,26,p9
Sacramento,CA,26,p9
San Joaquin,CA,26,p9
Stanislaus,CA,26,p9
Fresno,CA,27,p9
Madera,CA,27,p9
Mariposa,CA,27,p9
Tuolumne,CA,27,p9
Kings,CA,29,p9
Monterey,CA,29,p9
San Benito,CA,29,p9
San Luis Obispo,CA,29,p9
Santa Barbara,CA,29,p9
Inyo,CA,28,p10
Mono,CA,28,p10
Kern,CA,30,p10
Tulare,CA,30,p10
Los Angeles,CA,31,p10
Orange,CA,31,p10
Ventura,CA,31,p10
Imperial,CA,33,p10
Riverside,CA,33,p10
San Bernardino,CA,33,p10
San Diego,CA,32,p11
Carson City,NV,34,p12
Douglas,NV,34,p12
Lyon,NV,34,p12
Storey,NV,34,p12
Washoe,NV,34,p12
Eureka,NV,35,p12
Humboldt,NV,35,p12
Lander,NV,35,p12
Pershing,NV,35,p12
Elko,NV,36,p12
White Pine,NV,36,p12
Churchill,NV,37,p12
Esmeralda,NV,37,p12
Mineral,NV,37,p12
Nye,NV,38,p12
Lincoln,NV,39,p13
Clark,NV,40,p13
Benewah,ID,41,p14
Bonner,ID,41,p14
Boundary,ID,41,p14
Kootenai,ID,41,p14
Latah,ID,41,p14
Lewis,ID,41,p14
Nez Perce,ID,41,p14
Adams,ID,42,p15
Boise,ID,42,p15
Clearwater,ID,42,p15
Gem,ID,42,p15
Idaho,ID,42,p15
Payette,ID,42,p15
Shoshone,ID,42,p15
Valley,ID,42,p15
Washington,ID,42,p15
Butte,ID,43,p15
Custer,ID,43,p15
Lemhi,ID,43,p15
Ada,ID,44,p15
Canyon,ID,44,p15
Elmore,ID,44,p15
Gooding,ID,44,p15
Owyhee,ID,44,p15
Blaine,ID,45,p15
Camas,ID,45,p15
Jerome,ID,45,p15
Lincoln,ID,45,p15
Minidoka,ID,45,p15
Bannock,ID,46,p16
Cassia,ID,46,p16
Oneida,ID,46,p16
Power,ID,46,p16
Twin Falls,ID,46,p16
Bear Lake,ID,47,p16
Bingham,ID,47,p16
Bonneville,ID,47,p16
Caribou,ID,47,p16
Clark,ID,47,p16
Franklin,ID,47,p16
Fremont,ID,47,p16
Jefferson,ID,47,p16
Madison,ID,47,p16
Teton,ID,47,p16
Flathead,MT,60,p17
Lincoln,MT,60,p17
Lake,MT,61,p17
Mineral,MT,61,p17
Sanders,MT,61,p17
Granite,MT,62,p17
Missoula,MT,62,p17
Powell,MT,62,p17
Ravalli,MT,62,p17
Beaverhead,MT,63,p17
