tech,lifetime_small,lifetime_big
gas-cc,55,55
gas-cc-ccs,55,55
gas-cc-ccs-f1,55,55
gas-cc-ccs-f2,55,55
gas-cc-ccs-f3,55,55
gas-ct,55,55
re-ct,55,55
o-g-s,50,75
coal-ccs,65,75
coal-ccs-f1,65,75
coal-ccs-f2,65,75
coal-ccs-f3,65,75
coal-igcc,65,75
coal-new,65,75
coaloldscr,65,75
coalolduns,65,75
cofirenew,65,75
cofireold,65,75
wind-ofs_1*wind-ofs_15,30,30
wind-ons_1*wind-ons_10,30,30
wind-ofs,30,30
wind-ons,30,30
upv_1*upv_10,30,30
dupv_1*dupv_10,30,30
pvb1_1*pvb1_10,30,30
pvb2_1*pvb2_10,30,30
pvb3_1*pvb3_10,30,30
upv,30,30
dupv,30,30
pvb,30,30
pvb_pv,30,30
pvb_battery,30,30
re-cc,55,55
biopower,45,45
beccs,45,45
geothermal,30,30
geohydro_allkm,30,30
deep-egs_pbinary_1*deep-egs_pbinary_8,30,30
deep-egs_pflash_1*deep-egs_pflash_8,30,30
geohydro_pbinary_1*geohydro_pbinary_8,30,30
geohydro_pflash_1*geohydro_pflash_8,30,30
nf-egs_pbinary_1*nf-egs_pbinary_8,30,30
nf-egs_pflash_1*nf-egs_pflash_8,30,30
undisc_pbinary_1*undisc_pbinary_8,30,30
undisc_pflash_1*undisc_pflash_8,30,30
nuclear,80,80
nuclear-smr,80,80
hydro,300,300
hydd,300,300
hydnd,300,300
hydsd,300,300
hydsnd,300,300
hydud,300,300
hydund,300,300
hydnpd,300,300
hydnpnd,300,300
hyded,300,300
hydend,300,300
csp-ns,30,30
csp1_1*csp1_12,30,30
csp2_1*csp2_12,30,30
csp3_1*csp3_12,30,30
csp4_1*csp4_12,30,30
battery,15,15
battery_li,15,15
pumped-hydro,100,100
dr1_1,1,1
dr1_2,1,1
dr1_3,1,1
dr1_4,1,1
dr1_5,1,1
dr1_6,1,1
dr1_7,1,1
dr1_8,1,1
dr1_9,1,1
dr1_10,1,1
dr1_11,1,1
dr1_12,1,1
dr1_13,1,1
dr1_14,1,1
dr1_15,1,1
dr1_16,1,1
dr1_17,1,1
dr1_18,1,1
dr1_19,1,1
dr1_20,1,1
dr2_1,1,1
dr2_2,1,1
dr2_3,1,1
dr2_4,1,1
dr2_5,1,1
dr2_6,1,1
dr2_7,1,1
dr2_8,1,1
dr2_9,1,1
dr2_10,1,1
dr2_11,1,1
dr2_12,1,1
dr2_13,1,1
dr2_14,1,1
dr2_15,1,1
dr2_16,1,1
dr2_17,1,1
dr2_18,1,1
dr2_19,1,1
dr2_20,1,1
caes,100,100
lfill-gas,100,100
