t,st,rps_all,rps_solar,rps_wind
2016,NS,0.25,0,0
2017,NS,0.25,0,0
2018,NS,0.25,0,0
2019,NS,0.25,0,0
2020,NS,0.4,0,0
2021,NS,0.4,0,0
2022,NS,0.4,0,0
2023,NS,0.4,0,0
2024,NS,0.4,0,0
2025,NS,0.4,0,0
2026,NS,0.4,0,0
2027,NS,0.4,0,0
2028,NS,0.4,0,0
2029,NS,0.4,0,0
2030,NS,0.4,0,0
2031,NS,0.4,0,0
2032,NS,0.4,0,0
2033,NS,0.4,0,0
2034,NS,0.4,0,0
2035,NS,0.4,0,0
2036,NS,0.4,0,0
2037,NS,0.4,0,0
2038,NS,0.4,0,0
2039,NS,0.4,0,0
2040,NS,0.4,0,0
2041,NS,0.4,0,0
2042,NS,0.4,0,0
2043,NS,0.4,0,0
2044,NS,0.4,0,0
2045,NS,0.4,0,0
2046,NS,0.4,0,0
2047,NS,0.4,0,0
2048,NS,0.4,0,0
2049,NS,0.4,0,0
2050,NS,0.4,0,0
