i,r,t,Value
coal-new,p101,2010,3213017.8665
coal-new,p101,2015,3182149.659
coal-new,p101,2020,246664.08
coal-new,p101,2023,3154651.9641
coal-new,p101,2026,2974095.8286
coal-new,p101,2029,3187453.2183
coal-new,p102,2010,2257434.63
coal-new,p102,2015,2158403.94
coal-new,p109,2010,3685929.96
coal-new,p109,2015,8628293.147203
coal-new,p109,2020,5011907.752723
coal-new,p109,2023,7892291.518763
coal-new,p109,2026,8604723.749185
coal-new,p109,2029,8539875.501816
coal-new,p109,2044,193728.438845
coal-new,p109,2047,227461.631422
coal-new,p109,2050,219339.824307
coal-new,p116,2015,2219410.610011
coal-new,p116,2020,373176.0
coal-new,p116,2023,373176.0
coal-new,p116,2026,373176.0
coal-new,p116,2029,373176.0
coal-new,p118,2015,2810911.081998
coal-new,p118,2020,320616.0
coal-new,p118,2023,320616.0
coal-new,p12,2010,1504386.483163
coal-new,p12,2015,1497800.066162
coal-new,p12,2020,1490543.107654
coal-new,p12,2023,1421175.814531
coal-new,p12,2026,1287076.608588
coal-new,p12,2029,1079602.49497
coal-new,p121,2010,1238676.84
coal-new,p121,2015,94608.0
coal-new,p121,2020,94608.0
coal-new,p121,2023,94608.0
coal-new,p18,2010,734969.946
coal-new,p18,2015,405286.254
coal-new,p18,2020,163111.656
coal-new,p18,2023,56239.2
coal-new,p18,2026,56239.2
coal-new,p18,2029,75206.448
coal-new,p23,2010,2442283.292955
coal-new,p23,2015,5063887.39059
coal-new,p23,2020,3449364.904813
coal-new,p23,2023,1000012.869099
coal-new,p23,2026,3825447.118769
coal-new,p23,2029,2461821.429863
coal-new,p25,2050,-0.0
coal-new,p26,2050,0.0
coal-new,p29,2010,5707453.44
coal-new,p29,2015,5669302.08
coal-new,p29,2020,5636247.552
coal-new,p29,2023,5414919.744
coal-new,p29,2026,5437263.936
coal-new,p29,2029,4873098.048
coal-new,p34,2010,5158194.99975
coal-new,p34,2015,5116826.7045
coal-new,p34,2020,3574518.254463
coal-new,p34,2023,1434943.739709
coal-new,p34,2026,4041126.753659
coal-new,p34,2029,2568680.450966
coal-new,p40,2015,1491326.522606
coal-new,p40,2020,569563.521727
coal-new,p40,2023,318074.09634
coal-new,p40,2026,1256157.341497
coal-new,p40,2029,951927.994698
coal-new,p41,2010,4709694.276
coal-new,p41,2015,4668975.6144
coal-new,p41,2020,4656422.532
coal-new,p41,2023,4654428.9648
coal-new,p41,2026,4661071.44
coal-new,p45,2010,5520434.01
coal-new,p45,2015,5485935.735
coal-new,p45,2020,5467857.045
coal-new,p45,2023,5465695.62
coal-new,p45,2026,5476382.197169
coal-new,p45,2029,5329651.425
coal-new,p54,2010,6172362.175195
coal-new,p54,2015,6104131.599304
coal-new,p54,2020,1825036.895799
coal-new,p54,2023,3651178.911764
coal-new,p54,2026,5744833.156291
coal-new,p54,2029,5020899.044542
coal-new,p55,2015,1865707.180425
coal-new,p55,2020,317037.5208
coal-new,p55,2023,1666099.68853
coal-new,p55,2026,1864428.92955
coal-new,p55,2029,1719370.446121
coal-new,p63,2010,5847202.45611
coal-new,p63,2015,12657098.132329
coal-new,p63,2020,7003134.699026
coal-new,p63,2023,7424122.393495
coal-new,p63,2026,10319433.349878
coal-new,p63,2029,5131158.789527
coal-new,p65,2010,5368978.67637
coal-new,p65,2015,5121701.1
coal-new,p65,2020,2329262.205
coal-new,p65,2023,2336659.907643
coal-new,p65,2026,3977703.085596
coal-new,p65,2029,2236494.084026
coal-new,p70,2010,124105.3107
coal-new,p70,2015,29900.5524
coal-new,p70,2020,24825.366
coal-new,p70,2023,24818.2812
coal-new,p75,2010,3812911.463189
coal-new,p75,2015,3796665.295252
coal-new,p75,2020,3775446.454558
coal-new,p75,2023,3780812.728008
coal-new,p75,2026,3786863.596416
coal-new,p75,2029,3774061.405142
coal-new,p75,2044,32718.103824
coal-new,p75,2047,42571.224903
coal-new,p75,2050,42571.224903
coal-new,p81,2015,11050972.125
coal-new,p81,2020,856728.0
coal-new,p81,2023,856728.0
coal-new,p81,2026,2647030.03704
coal-new,p81,2029,856728.0
coal-new,p82,2010,1404995.7054
coal-new,p82,2015,1381778.4267
coal-new,p82,2020,107590.32
coal-new,p82,2023,107590.32
coal-new,p82,2026,332185.113
coal-new,p82,2029,107590.32
coal-new,p85,2010,4661270.29476
coal-new,p85,2015,8875722.827271
coal-new,p85,2020,699048.0
coal-new,p85,2023,699048.0
coal-new,p85,2026,8984950.115772
coal-new,p88,2010,3017492.28
coal-new,p88,2015,2034307.366974
coal-new,p88,2020,231264.0
coal-new,p88,2023,1288790.013398
coal-new,p88,2026,2966202.36
coal-new,p88,2029,2975393.52
coal-new,p96,2010,12134231.235945
coal-new,p96,2015,12002420.47974
coal-new,p96,2020,930312.0
coal-new,p96,2023,11745542.8926
coal-new,p96,2026,7173474.454687
coal-new,p96,2029,11630558.46738
coal-new,p96,2047,14785.483263
coal-new,p96,2050,14785.483263
coal-new,p97,2015,3511910.53472
coal-new,p97,2020,443606.4
coal-new,p97,2023,443606.4
coal-new,p97,2026,443606.4
coal-new,p97,2029,443606.4
coal-new,p99,2010,7695137.609643
coal-new,p99,2015,7358641.328828
coal-new,p99,2020,585938.88
coal-new,p99,2023,1334999.996504
coal-new,z122,2010,5118180.762
coal-new,z122,2015,2486197.19713
coal-new,z122,2020,390520.8
coal-new,z122,2023,1191396.234651
coal-new,z122,2026,3292289.736
coal-new,z122,2029,885533.64
coal-new,z122,2044,24981.148529
coal-new,z122,2047,28091.451999
coal-new,z122,2050,25790.875878
CoalOldScr,p101,2010,31058925.680631
CoalOldScr,p101,2015,22108535.64206
CoalOldScr,p101,2020,2383806.24
CoalOldScr,p101,2023,10838923.632
CoalOldScr,p101,2026,6332874.13668
CoalOldScr,p101,2029,11878604.696363
CoalOldScr,p101,2038,0.0
CoalOldScr,p101,2041,0.0
CoalOldScr,p101,2044,1050.477764
CoalOldScr,p101,2047,35710.13876
CoalOldScr,p101,2050,35710.13876
CoalOldScr,p103,2010,21733535.780327
CoalOldScr,p103,2015,31127406.732477
CoalOldScr,p103,2020,14947763.297712
CoalOldScr,p103,2023,14642542.093492
CoalOldScr,p103,2026,9252547.990838
CoalOldScr,p103,2029,4428993.423323
CoalOldScr,p105,2010,18031789.06662
CoalOldScr,p105,2015,16664079.595857
CoalOldScr,p105,2020,13733738.220849
CoalOldScr,p105,2023,7643167.02528
CoalOldScr,p105,2026,6821039.95332
CoalOldScr,p105,2029,6765157.95936
CoalOldScr,p107,2010,44259808.248008
CoalOldScr,p107,2015,60728351.297146
CoalOldScr,p107,2020,35804529.716511
CoalOldScr,p107,2023,27345203.662678
CoalOldScr,p107,2026,26071997.644208
CoalOldScr,p107,2029,20019318.282337
CoalOldScr,p107,2041,301994.329133
CoalOldScr,p107,2044,231605.412424
CoalOldScr,p107,2047,322311.778109
CoalOldScr,p107,2050,284696.643751
CoalOldScr,p108,2010,13475054.229708
