r,nercr,transreg,transgrp,cendiv,st,interconnect,country,usda_region,h2ptcreg,hurdlereg,ccreg,Value
p1,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,USA,Pacific,Northwest,Puget_Sound_Energy_Inc,NorthernGrid,c_bool(False)
p2,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,USA,Pacific,Northwest,Bonneville_Power_Administration,NorthernGrid,c_bool(False)
p3,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,USA,Pacific,Northwest,Avista_Corp,NorthernGrid,c_bool(False)
p4,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,USA,Pacific,Northwest,PUD_No2_of_Grant_County,NorthernGrid,c_bool(False)
p5,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,USA,Pacific,Northwest,Bonneville_Power_Administration,NorthernGrid,c_bool(False)
p6,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,USA,Pacific,Northwest,PacifiCorp_West,NorthernGrid,c_bool(False)
p7,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,USA,Pacific,Northwest,Bonneville_Power_Administration,NorthernGrid,c_bool(False)
p8,WECC_NW,NorthernGrid,NorthernGrid_South,Pacific,CA,western,USA,Pacific,California,PacifiCorp_West,NorthernGrid,c_bool(False)
p9,WECC_CA,CAISO,CAISO,Pacific,CA,western,USA,Pacific,California,CAISO,CAISO,c_bool(False)
p10,WECC_CA,CAISO,CAISO,Pacific,CA,western,USA,Pacific,California,CAISO,CAISO,c_bool(False)
p11,WECC_CA,CAISO,CAISO,Pacific,CA,western,USA,Pacific,California,CAISO,CAISO,c_bool(False)
p12,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,NV,western,USA,Mountain,Mountain,Nevada_Power_Co,NorthernGrid,c_bool(False)
p13,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,NV,western,USA,Mountain,Mountain,Nevada_Power_Co,NorthernGrid,c_bool(False)
p14,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,USA,Mountain,Northwest,Avista_Corp,NorthernGrid,c_bool(False)
p15,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,USA,Mountain,Northwest,Idaho_Power_Co,NorthernGrid,c_bool(False)
p16,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,USA,Mountain,Northwest,Idaho_Power_Co,NorthernGrid,c_bool(False)
p17,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,USA,Mountain,Mountain,Northwestern_Energy,NorthernGrid,c_bool(False)
p18,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,USA,Mountain,Mountain,Northwestern_Energy,NorthernGrid,c_bool(False)
p19,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,USA,Mountain,Mountain,WAPA_Upper_Great_Plains_West,NorthernGrid,c_bool(False)
p20,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,USA,Mountain,Mountain,Northwestern_Energy,NorthernGrid,c_bool(False)
p21,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,USA,Mountain,Mountain,PacifiCorp_East,NorthernGrid,c_bool(False)
p22,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,USA,Mountain,Mountain,PacifiCorp_East,NorthernGrid,c_bool(False)
p23,WECC_NW,WestConnect,WestConnect_North,Mountain,WY,western,USA,Mountain,Mountain,WAPA_Rocky_Mountain_Region,WestConnect,c_bool(False)
p24,WECC_NW,WestConnect,WestConnect_North,Mountain,WY,western,USA,Mountain,Mountain,WAPA_Rocky_Mountain_Region,WestConnect,c_bool(False)
p25,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,UT,western,USA,Mountain,Mountain,PacifiCorp_East,NorthernGrid,c_bool(False)
