st,RPS_All,CES
AL,0,0
AR,0,0
AZ,0,0
CA,0.123025,1
CO,0.280634,1
CT,1,1
DE,0,0
FL,0,0
GA,0,0
HI,0,0
IA,0,0
ID,0,0
IL,1,1
IN,0,0
KS,0,0
KY,0,0
LA,0,0
MA,1,1
MD,0.588593,0.588593
ME,0.159280,0.159280
MI,0.905071,1
MN,1,1
MO,0.783530,0.783530
MT,0.011195,0.011195
NC,0.256901,0.256901
ND,0,0
NE,0,0
NH,0.218554,0.218554
NJ,0,0
NM,0,0
NV,1,1
NY,1,1
OH,0,0
OK,0,0
OR,0.064014,0.064014
PA,0.254119,0.254119
RI,1,1
SC,0,0
SD,0,0
TN,0,0
TX,0,0
UT,0,0
VA,1,1
VT,0.986424,0.986424
WA,0.018447,0.018447
WI,0.005657,0.005657
WV,0,0
WY,0,0
