*t,st,Value
2010,CA,0.16877490510014997
2011,CA,0.19728314764896898
2012,CA,0.1973249510477631
2013,CA,0.1972417408310773
2014,CA,0.20853686161844356
2015,CA,0.22086755314548248
2016,CA,0.2450391128521983
2017,CA,0.2639269015853366
2018,CA,0.2837526401864058
2019,CA,0.30204718757344756
2020,CA,0.31933463591142275
2021,CA,0.3465638403013428
2022,CA,0.3736869734939639
2023,CA,0.3994319697443771
2024,CA,0.42554090600445865
2025,CA,0.45456241331144853
2026,CA,0.47584122439895615
2027,CA,0.5029160938555973
2028,CA,0.528057418756667
2029,CA,0.5531983890705516
2030,CA,0.5802733110521615
2031,CA,0.5802691371418228
2032,CA,0.5802622988130491
2033,CA,0.5802547595359161
2034,CA,0.5802463541808549
2035,CA,0.8703570714276622
2036,CA,0.8703460631642814
2037,CA,0.870336251115387
2038,CA,0.8703269997861587
2039,CA,0.8703180344635043
2040,CA,0.9186604635132575
2041,CA,0.9186532583023118
2042,CA,0.9186472086670723
2043,CA,0.9186423837755157
2044,CA,0.9186379204252446
2045,CA,0.9669828136302383
2046,CA,0.9669791364397673
2047,CA,0.9669751485061902
2048,CA,0.9669712758848833
2049,CA,0.9669677260620881
2050,CA,0.966964504612292
2010,CO,0.024734028353565255
2011,CO,0.06133955536150373
2012,CO,0.062493756879127074
2013,CO,0.06282131671917882
2014,CO,0.0626795588249282
2015,CO,0.10716646120414378
2016,CO,0.10658282365710797
2017,CO,0.10626655699459203
2018,CO,0.1068653636512738
2019,CO,0.1049519529098173
2020,CO,0.19409224522227936
2021,CO,0.19408151439838536
2022,CO,0.19501849444122887
2023,CO,0.19396769864923336
2024,CO,0.1948165433288667
2025,CO,0.1951359482193836
2026,CO,0.19538781404821545
2027,CO,0.1959632191235578
2028,CO,0.19646786290696847
2029,CO,0.1971935426479034
2030,CO,0.6349179495644708
2031,CO,0.6426623940304159
2032,CO,0.6518007013691852
2033,CO,0.6615591496950328
2034,CO,0.6721634997664802
2035,CO,0.682374558878112
2036,CO,0.6912419940465545
2037,CO,0.6991150148645738
2038,CO,0.706598695700012
2039,CO,0.7135161202213577
2040,CO,0.720142303542883
2041,CO,0.7263088901012891
2042,CO,0.7318353243331501
2043,CO,0.7367428752914519
2044,CO,0.7411933099244502
2045,CO,0.745603777165067
2046,CO,0.7497975704741942
2047,CO,0.7539924899234193
2048,CO,0.7580736162665942
2049,CO,0.7622339125306874
2050,CO,0.880075584994465
2010,CT,0.09999999999999999
2011,CT,0.10999999999999999
2012,CT,0.12
2013,CT,0.12999671409482236
2014,CT,0.14
2015,CT,0.155
2016,CT,0.17
2017,CT,0.185
2018,CT,0.21000000000000002
2019,CT,0.23500000000000001
2020,CT,0.25
2021,CT,0.26499999999999996
2022,CT,0.27999999999999997
2023,CT,0.30000000000000004
2024,CT,0.32
2025,CT,0.33999999999999997
2026,CT,0.36000000000000004
2027,CT,0.38
2028,CT,0.40000000000000013
2029,CT,0.42
2030,CT,0.44000000000000006
2031,CT,0.44000000000000017
2032,CT,0.4400000000000001
2033,CT,0.4400000000000001
2034,CT,0.4400000000000001
2035,CT,0.4400000000000001
2036,CT,0.44000000000000006
2037,CT,0.44
2038,CT,0.44
2039,CT,0.43999999999999995
2040,CT,0.9999999999999996
2041,CT,0.9999999999999993
2042,CT,0.9999999999999996
2043,CT,0.9999999999999996
2044,CT,0.9999999999999996
2045,CT,0.9999999999999996
2046,CT,0.9999999999999994
2047,CT,0.9999999999999994
2048,CT,0.9999999999999994
2049,CT,0.9999999999999994
2050,CT,0.9999999999999997
2010,IL,0.02365493909794542
2011,IL,0.03242537694259595
2012,IL,0.03765699557159935
2013,IL,0.04690451053980228
2014,IL,0.05352513004350999
2015,IL,0.05628625872635811
2016,IL,0.04716161488691606
2017,IL,0.05681819442888079
2018,IL,0.06203446409942152
2019,IL,0.1041021381810108
2020,IL,0.15165833016114239
2021,IL,0.1685921717595472
2022,IL,0.17513247937322135
2023,IL,0.19339766655289822
2024,IL,0.20837117877210654
2025,IL,0.21809028422109134
2026,IL,0.2210608154836212
2027,IL,0.24991624892036074
2028,IL,0.2805423682222886
2029,IL,0.3070966301076889
2030,IL,0.33464307746201327
2031,IL,0.3608734057544516
2032,IL,0.35842070449200975
2033,IL,0.3559765034184711
2034,IL,0.3525825446215173
2035,IL,0.3509600422533929
2036,IL,0.3493449280495821
2037,IL,0.34998677474222567
2038,IL,0.3511072371527242
2039,IL,0.35213669866381503
