t,st,rps_all,rps_solar,rps_wind
2010,AZ,0.01470008569203835,0.0,0.0
2011,AZ,0.017573775035580434,0.0,0.0
2012,AZ,0.020747140876371722,0.0,0.0
2013,AZ,0.023508464957567452,0.0,0.0
2014,AZ,0.026211198179062433,0.0,0.0
2015,AZ,0.029495322271437197,0.0,0.0
2016,AZ,0.03524253449924454,0.0,0.0
2017,AZ,0.04100700791689536,0.0,0.0
2018,AZ,0.04655704522546701,0.0,0.0
2019,AZ,0.05143277631300714,0.0,0.0
2020,AZ,0.05873449002858846,0.0,0.0
2021,AZ,0.06461958077880382,0.0,0.0
2022,AZ,0.07059049254389885,0.0,0.0
2023,AZ,0.07654150302273785,0.0,0.0
2024,AZ,0.08242518911729266,0.0,0.0
2025,AZ,0.08831270262567069,0.0,0.0
2026,AZ,0.0,0.0,0.0
2027,AZ,0.0,0.0,0.0
2028,AZ,0.0,0.0,0.0
2029,AZ,0.0,0.0,0.0
2030,AZ,0.0,0.0,0.0
2031,AZ,0.0,0.0,0.0
2032,AZ,0.0,0.0,0.0
2033,AZ,0.0,0.0,0.0
2034,AZ,0.0,0.0,0.0
2035,AZ,0.0,0.0,0.0
2036,AZ,0.0,0.0,0.0
2037,AZ,0.0,0.0,0.0
2038,AZ,0.0,0.0,0.0
2039,AZ,0.0,0.0,0.0
2040,AZ,0.0,0.0,0.0
2041,AZ,0.0,0.0,0.0
2042,AZ,0.0,0.0,0.0
2043,AZ,0.0,0.0,0.0
2044,AZ,0.0,0.0,0.0
2045,AZ,0.0,0.0,0.0
2046,AZ,0.0,0.0,0.0
2047,AZ,0.0,0.0,0.0
2048,AZ,0.0,0.0,0.0
2049,AZ,0.0,0.0,0.0
2050,AZ,0.0,0.0,0.0
2010,CA,0.16877490510014997,0.0,0.0
2011,CA,0.19728314764896898,0.0,0.0
2012,CA,0.1973249510477631,0.0,0.0
2013,CA,0.1972417408310773,0.0,0.0
2014,CA,0.20853686161844356,0.0,0.0
2015,CA,0.22086755314548248,0.0,0.0
2016,CA,0.2450391128521983,0.0,0.0
2017,CA,0.2639269015853366,0.0,0.0
2018,CA,0.2837526401864058,0.0,0.0
2019,CA,0.30204718757344756,0.0,0.0
2020,CA,0.31933463591142275,0.0,0.0
2021,CA,0.3465638403013428,0.0,0.0
2022,CA,0.3736869734939639,0.0,0.0
2023,CA,0.3994319697443771,0.0,0.0
2024,CA,0.42496898944890815,0.0,0.0
2025,CA,0.4539572802253526,0.0,0.0
2026,CA,0.4752003937227058,0.0,0.0
2027,CA,0.502256598242245,0.0,0.0
