i,class_idx,
csp1_1,1,
csp1_2,2,
csp1_3,3,
csp1_4,4,
csp1_5,5,
csp1_6,6,
csp1_7,7,
csp1_8,8,
csp1_9,9,
csp1_10,10,
csp1_11,11,
csp1_12,12,
csp2_1,1,
csp2_2,2,
csp2_3,3,
csp2_4,4,
csp2_5,5,
csp2_6,6,
csp2_7,7,
csp2_8,8,
csp2_9,9,
csp2_10,10,
csp2_11,11,
csp2_12,12,
csp3_1,1,
csp3_2,2,
csp3_3,3,
csp3_4,4,
csp3_5,5,
csp3_6,6,
csp3_7,7,
csp3_8,8,
csp3_9,9,
csp3_10,10,
csp3_11,11,
csp3_12,12,
csp4_1,1,
csp4_2,2,
csp4_3,3,
csp4_4,4,
csp4_5,5,
csp4_6,6,
csp4_7,7,
csp4_8,8,
csp4_9,9,
csp4_10,10,
csp4_11,11,
csp4_12,12,
csp1_1_r_fsu,1,
csp1_2_r_fsu,2,
csp1_3_r_fsu,3,
csp1_4_r_fsu,4,
csp1_5_r_fsu,5,
csp1_6_r_fsu,6,
csp1_7_r_fsu,7,
csp1_8_r_fsu,8,
csp1_9_r_fsu,9,
csp1_10_r_fsu,10,
csp1_11_r_fsu,11,
csp1_12_r_fsu,12,
csp1_1_r_fsa,1,
csp1_2_r_fsa,2,
csp1_3_r_fsa,3,
csp1_4_r_fsa,4,
csp1_5_r_fsa,5,
csp1_6_r_fsa,6,
csp1_7_r_fsa,7,
csp1_8_r_fsa,8,
csp1_9_r_fsa,9,
csp1_10_r_fsa,10,
csp1_11_r_fsa,11,
csp1_12_r_fsa,12,
csp1_1_r_fsl,1,
csp1_2_r_fsl,2,
csp1_3_r_fsl,3,
csp1_4_r_fsl,4,
csp1_5_r_fsl,5,
csp1_6_r_fsl,6,
csp1_7_r_fsl,7,
csp1_8_r_fsl,8,
csp1_9_r_fsl,9,
csp1_10_r_fsl,10,
csp1_11_r_fsl,11,
csp1_12_r_fsl,12,
csp1_1_r_fg,1,
csp1_2_r_fg,2,
csp1_3_r_fg,3,
csp1_4_r_fg,4,
csp1_5_r_fg,5,
csp1_6_r_fg,6,
csp1_7_r_fg,7,
csp1_8_r_fg,8,
csp1_9_r_fg,9,
csp1_10_r_fg,10,
csp1_11_r_fg,11,
csp1_12_r_fg,12,
csp1_1_r_sg,1,
csp1_2_r_sg,2,
csp1_3_r_sg,3,
csp1_4_r_sg,4,
csp1_5_r_sg,5,
csp1_6_r_sg,6,
csp1_7_r_sg,7,
csp1_8_r_sg,8,
csp1_9_r_sg,9,
csp1_10_r_sg,10,
csp1_11_r_sg,11,
csp1_12_r_sg,12,
csp1_1_r_ss,1,
csp1_2_r_ss,2,
csp1_3_r_ss,3,
csp1_4_r_ss,4,
csp1_5_r_ss,5,
csp1_6_r_ss,6,
csp1_7_r_ss,7,
csp1_8_r_ss,8,
csp1_9_r_ss,9,
csp1_10_r_ss,10,
csp1_11_r_ss,11,
csp1_12_r_ss,12,
csp1_1_r_ww,1,
csp1_2_r_ww,2,
csp1_3_r_ww,3,
csp1_4_r_ww,4,
csp1_5_r_ww,5,
csp1_6_r_ww,6,
csp1_7_r_ww,7,
csp1_8_r_ww,8,
csp1_9_r_ww,9,
csp1_10_r_ww,10,
csp1_11_r_ww,11,
csp1_12_r_ww,12,
csp1_1_d_fsu,1,
csp1_2_d_fsu,2,
csp1_3_d_fsu,3,
csp1_4_d_fsu,4,
csp1_5_d_fsu,5,
csp1_6_d_fsu,6,
csp1_7_d_fsu,7,
csp1_8_d_fsu,8,
csp1_9_d_fsu,9,
csp1_10_d_fsu,10,
csp1_11_d_fsu,11,
csp1_12_d_fsu,12,
csp1_1_d_fsa,1,
csp1_2_d_fsa,2,
csp1_3_d_fsa,3,
csp1_4_d_fsa,4,
csp1_5_d_fsa,5,
csp1_6_d_fsa,6,
csp1_7_d_fsa,7,
csp1_8_d_fsa,8,
csp1_9_d_fsa,9,
csp1_10_d_fsa,10,
csp1_11_d_fsa,11,
csp1_12_d_fsa,12,
csp1_1_d_fsl,1,
csp1_2_d_fsl,2,
csp1_3_d_fsl,3,
csp1_4_d_fsl,4,
csp1_5_d_fsl,5,
csp1_6_d_fsl,6,
csp1_7_d_fsl,7,
csp1_8_d_fsl,8,
csp1_9_d_fsl,9,
csp1_10_d_fsl,10,
csp1_11_d_fsl,11,
csp1_12_d_fsl,12,
csp1_1_d_fg,1,
csp1_2_d_fg,2,
csp1_3_d_fg,3,
csp1_4_d_fg,4,
csp1_5_d_fg,5,
csp1_6_d_fg,6,
csp1_7_d_fg,7,
csp1_8_d_fg,8,
csp1_9_d_fg,9,
csp1_10_d_fg,10,
csp1_11_d_fg,11,
csp1_12_d_fg,12,
csp1_1_d_sg,1,
csp1_2_d_sg,2,
csp1_3_d_sg,3,
csp1_4_d_sg,4,
csp1_5_d_sg,5,
