,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p31039,0.043680619476127155,0.0033248936197746728,0.0001901947337590484,0.05091208879261971,5.299817029951539e-06,2.8949093009804214e-05,0.0002786487352583702,0.8830413538823598,0.018537951850061293
p53069,3.580355656446561e-07,4.554652845312735e-09,4.001902038658271e-10,0.043780574628522854,2.8876139883225226e-11,0.9559553517309813,3.4293390117996805e-10,0.0002613117831863085,2.3984950909049253e-06
p35011,0.00011712812985836391,0.00023472378224339966,4.471690677771547e-07,0.5370795695368921,1.0657711348976395e-08,0.001864140110136113,1.725473203452947e-05,0.04509455939365078,0.41559216648840563
p31109,0.052126856908369226,0.005617231907748305,0.00016966891616263357,0.04968397811383758,4.714919385122871e-06,1.9550045044093978e-05,0.0004151474537886463,0.8485144829262707,0.043448368809393415
p31129,0.024623407307372152,0.0035367662974333603,7.29824251822862e-05,0.09528342058442721,2.0392330495083073e-06,3.501161122872601e-05,0.0002685290110095678,0.8093740826686906,0.06680376086160648
p46099,0.09565938222437426,0.0012334195905777737,0.0001825052491728805,0.059806665695074424,6.7797358816725515e-06,4.278559268951038e-05,0.00016381498917040455,0.8384980673114596,0.004406579611599556
p48327,0.0004036224610312494,0.006442553811512927,2.0806352400307324e-06,0.04001243264821184,4.916412062197841e-08,0.0001249363026287864,0.0005528269413160649,0.008150898883705713,0.9443105991522328
p06091,2.0042088823100477e-07,2.2347366609166702e-08,3.914761971651139e-10,0.43103543443203657,1.3343186977513296e-11,0.5688475759919729,1.5863010207502923e-09,8.412314884746163e-05,3.264166776771053e-05
p21053,0.1691521937057105,0.5043483052148944,0.015732512438157403,3.901574519027282e-05,0.0004181140704642648,2.94873943449074e-08,0.22023474283445219,0.05389061812778447,0.036184468375952114
p39063,0.6078277200554371,0.12986092802052288,0.11555441803663942,3.7741060742874194e-05,0.0032194031185294866,2.586106280674013e-08,0.12057630307701317,0.01888441725479236,0.004039043515259873
p48189,0.0004993381816725415,0.00141569310555153,2.1240400376185943e-06,0.2075546940227059,4.952436527841707e-08,0.0005441395289343888,0.0001055338409828661,0.07313769322810662,0.7167407345276433
p01027,0.019486636660241276,0.5413660747590404,0.0015078105662827642,3.1644272284924456e-05,5.9648523617484016e-05,3.4842670546045325e-08,0.38167188792407325,0.02475598434790768,0.03112027810388167
p48011,0.0008030195622431505,0.0016328394838574082,3.341944030025477e-06,0.20937481998043408,7.888911799754423e-08,0.00038971766731018994,0.00010609070432687075,0.13371065657673734,0.6539794351919429
p39003,0.609269893787873,0.16341433561549343,0.09145335100528502,4.678669359214104e-05,0.0025220969391788407,2.998657929124245e-08,0.10530025037698029,0.0225650798518464,0.005428175743171571
p13189,0.017062557663796638,0.16298795224719176,0.00532915665617328,7.653436430299517e-06,0.00037140960299621655,7.50036635288157e-09,0.7976706767989152,0.008226339886557818,0.0083442462075723
p55111,0.6290781395711648,0.008241868861844939,0.00436385093938938,0.0014067157246417817,0.00014999578647292245,1.0739593305449372e-06,0.0031152618164498962,0.3509337660637504,0.0027093272769554005
p05137,0.07693174879813362,0.14518728425841332,0.0003832896219065705,0.0016691072583586986,8.874244290211175e-06,1.4541408694245523e-06,0.010499312959323033,0.28898316321693285,0.47633576550177215
p41063,4.037099416409543e-06,5.9348713125435047e-08,4.797163320594366e-09,0.4297438582810792,2.9668289054389985e-10,0.5675778107305487,4.456349921101931e-09,0.002649343677319782,2.4881312726667663e-05
p42007,0.3065879025158433,0.04349970572804902,0.33543749304655773,3.5943166496620386e-06,0.009960024269824517,2.5604627334830003e-09,0.3021078502961747,0.001785217152041238,0.0006182101143970126
p28061,0.011861813151587434,0.5621006155371056,0.00023977215034411717,0.00012148807055347117,7.824232610319393e-06,1.9442071976538165e-07,0.16563997730183164,0.025070757337645706,0.23495755779760197
p29083,0.11750517024292548,0.04047017489773995,0.00043409186212901347,0.006879099897043571,1.079133481020891e-05,4.221000184813365e-06,0.0031188235469462203,0.6360814945945357,0.19549613262368495
p08109,0.00022771318966751826,8.124847259750313e-05,6.514269384678066e-07,0.809532082979431,1.7898071899360646e-08,0.004096724467135015,5.548000465861361e-06,0.07823222163290758,0.10782379193278509
p37037,0.047369475282956576,0.16761714039092598,0.03191137873381145,1.8684241099809638e-06,0.004231656584288144,1.4649252004057147e-09,0.7442825504501367,0.0026068990534953646,0.001979029615350517
p49033,5.73370779624891e-05,3.818879708247028e-06,1.1160722964104892e-07,0.9297135481301436,3.834174911725385e-09,0.04548697454825841,2.933355563688704e-07,0.021807611057389098,0.0029303015295772824
p40001,0.02757662018405627,0.046125897120429686,0.00012877891804515101,0.008003583515274882,2.9758886253638217e-06,7.1985071201015205e-06,0.0030211416250907875,0.34870804678167644,0.5664257574596813
p39085,0.44513580923333546,0.03529642390073203,0.33629224536958646,1.0906178559337885e-05,0.009085171855630559,8.292374430364873e-09,0.16854032282299888,0.004852577690342529,0.0007865346564402792
p51775,0.12194955628885555,0.2036989071085758,0.08533171165603658,2.9945699092653717e-06,0.0061790603138621916,2.0057236182944206e-09,0.5768874542630056,0.003628025229926757,0.0023222885641045405
p51121,0.12652058784632478,0.2379642545445856,0.0744325711719354,3.3500764932278054e-06,0.004832701613110792,2.285844054351984e-09,0.549399612001668,0.004156828915573011,0.0026900915444650385
p47065,0.050383456699928116,0.4697101218831286,0.0057390703494367415,2.9429447871687435e-05,0.00019013699046558006,2.5454605258480182e-08,0.40358641898010594,0.03645319577149996,0.03390814442295809
p35035,2.9430474578699057e-05,0.0001068239081480177,1.2439283461236821e-07,0.5502661756622662,2.9054818618819267e-09,0.0032965669798769174,9.159295839786752e-06,0.009755601373469926,0.436536115007504
p35003,2.1270213183177157e-05,3.513305977653817e-05,7.279199269264045e-08,0.8378552583491612,1.7747537346551208e-09,0.029044437046444837,2.756343097720903e-06,0.0105846040250231,0.12245646639656693
p01091,0.013907847730482113,0.6012875336746923,0.0004683394767504697,7.092631157968389e-05,1.6792906964301053e-05,1.0006086308993087e-07,0.22661065897234903,0.026427863916008248,0.13120993695031075
p56023,9.017503332000996e-05,4.592201374201828e-06,1.6398110471874774e-07,0.9318045046611514,6.0013194083651025e-09,0.03462525380683886,3.5227337480993224e-07,0.030764622718004227,0.0027103293235123953
p29011,0.055684339288504615,0.03375157957681693,0.00023064080190541246,0.007545177295257895,5.523352916722545e-06,5.376845492826129e-06,0.0026451836030508217,0.5438396677584935,0.3562925114775612
p48057,0.0003472733122533267,0.024101076970130947,2.571965905764264e-06,0.0030504975503294067,7.041470386969351e-08,1.044727487550503e-05,0.002711283017212906,0.0016698487478004906,0.9681069307467877
p51735,0.03144854796303597,0.036122547713560334,0.15833739756094362,4.975803054788117e-07,0.02708975958563936,3.201615314576343e-10,0.7460432230318901,0.0005790065241536408,0.0003790197203099069
p54075,0.1732066723661229,0.14133447552153028,0.16886247986701322,3.065224633945713e-06,0.009085097566935743,1.761847935945449e-09,0.5029668375464963,0.00288412161276313,0.001657248532656406
p48077,0.0030819069611040468,0.014361618814344957,1.5057031041425383e-05,0.03617125762397975,3.4759006027638157e-07,7.870973583368631e-05,0.0010654420349282775,0.07122156068748446,0.8740040995212232
p51095,0.04099298503964335,0.045339468475310944,0.14678419527695377,6.527862217483436e-07,0.025849176833130233,4.146486009428696e-10,0.7398070856627493,0.0007452835146782648,0.00048115199666376213
p31101,0.0026990678112283535,0.00030176972930913307,8.824483901662066e-06,0.4247961685501906,2.447271740593526e-07,0.00017818452331216112,2.2957598416786068e-05,0.5516829255622412,0.02030985701422611
p31137,0.011086474039882261,0.0015196728281667152,3.49626134778467e-05,0.1855531507991308,9.704791462321603e-07,6.844710089475843e-05,0.00011572977556168557,0.7537539307226747,0.04786666164106501
p22019,0.0023338655261366183,0.21704023840649192,2.1539358025764842e-05,0.000669316086738274,6.172888218685762e-07,2.0353279464066277e-06,0.021651692255111803,0.0060752259715764045,0.7522054697791509
p22111,0.015120945491620815,0.305592683254969,0.0001122651773363571,0.0009660253891740447,2.8861957578902085e-06,1.6317383264167939e-06,0.024642291370406254,0.03990033212581283,0.6136609392565963
p40135,0.02402730067582715,0.05551301971089357,0.00011842814437512774,0.008570264759327699,2.7328132040275023e-06,8.38261556429649e-06,0.0032127631222896667,0.28302512311994127,0.6255219850385771
p01049,0.03758980938061915,0.47891035904133167,0.002985584523880474,3.700960329199664e-05,0.00010172107076956389,3.488939850970278e-08,0.4025602705558454,0.03775696810106979,0.04005824283379349
p36101,0.13062448464218954,0.012053837071454307,0.6751994329211857,2.31010689230105e-06,0.09012261703348101,1.8900330402835e-09,0.09091214866449224,0.0009105715053847667,0.0001745961648870815
p42053,0.25529824708776827,0.02691880938191491,0.4996581541174655,3.7011601081787036e-06,0.02712090278161064,2.8192920760028357e-09,0.1889199440426643,0.0016796814867627654,0.00040055712241352887
p22105,0.003492856526262484,0.38379171252515737,5.778305747195413e-05,0.00011242989982541125,1.921427365523557e-06,2.7661553062805554e-07,0.09273343154489143,0.00791001451580528,0.5118995738876899
p51179,0.07653146328731167,0.045663261871088344,0.22296937386663343,9.855484846660358e-07,0.03469012551818757,5.420279793117161e-10,0.6187526952197939,0.000876829739633434,0.0005152644068388759
p26109,0.8776502974339094,0.004747541498062494,0.009754805486901186,0.0006521483649883425,0.0008227969494053698,6.460957582770862e-07,0.004739308675938831,0.10100262908017646,0.0006298264148596286
p18073,0.7059472440655558,0.10104292277322832,0.02182961139345392,0.0002690685479560883,0.0006097089635830261,1.629079059120232e-07,0.030575338133518037,0.12590206265047416,0.013823880564324818
p13025,0.003069618453500256,0.13428569556249892,0.0010404869159570324,3.072891405710879e-06,0.00010583535182066018,3.877826834999466e-09,0.8506791253834596,0.00237378776506646,0.008442373798464598
p13171,0.011851382744745122,0.33263204388768824,0.0023402932225726728,1.344766472057897e-05,0.00012322085455550256,1.4407680857222556e-08,0.6260357072254986,0.011979580617560898,0.015024309374977387
p18151,0.7132266579807472,0.0995625054611687,0.0687477711997668,9.903151234228692e-05,0.0018995249323612298,7.001491447619692e-08,0.0630066298225531,0.04829017419106804,0.005167634885078111
