Case,Turbine,Parameter,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
advanced,fixed,Overnight Cap Cost $/kW,4601.483157,4260.6043,4059.46168,3919.053579,3524.889357,3152.794937,2795.223172,2734.705401,2682.145925,2611.71755,2552.263788,2500.984108,2456.01269,2416.046927,2389.32295,2364.497451,2341.334666,2319.63929,2299.247806,2280.02202,2261.844134,2244.612964,2228.240995,2212.652045,2197.779405,2183.564361,2169.954973,2156.905081,2144.373488
moderate,fixed,Overnight Cap Cost $/kW,5237.460503,5067.266344,4946.473883,4853.529213,4778.368598,4715.503076,4362.336561,4016.004854,3675.039011,3312.922832,2960.301133,2914.071802,2873.354067,2837.027864,2812.662318,2789.972835,2768.75473,2748.838052,2730.080211,2712.360438,2695.575608,2679.63696,2664.467599,2650.000461,2636.176745,2622.944604,2610.258106,2598.076375,2586.36288
conservative,fixed,Overnight Cap Cost $/kW,6359.773468,6328.725451,6300.437384,6274.474757,6250.497098,6228.2328,6207.461817,6188.003454,5733.252529,5245.410302,4765.085774,4290.420127,3820.162427,3353.431582,3333.06052,3314.044117,3296.219778,3279.452183,3263.627555,3248.649327,3234.43487,3220.912948,3208.021714,3195.707161,3183.921838,3172.623854,3161.776033,3151.345249,3141.301846
advanced,fixed,Fixed O&M $/(kW-yr),90.9107,85.12696436,81.7141515,79.33182906,77.52012508,76.0682832,74.86284887,73.83603606,72.94425264,71.7492853,70.74052563,69.87045669,69.10742082,68.42931654,67.97588733,67.55466988,67.16166392,66.79355568,66.44757074,66.12136433,65.81293778,65.52057433,65.24278896,64.97828919,64.72594327,64.48475472,64.25384255,64.03242326,63.81979814
moderate,fixed,Fixed O&M $/(kW-yr),90.9107,87.82028894,85.6269213,83.93921797,82.57444018,81.43291861,80.45450193,79.60019281,78.84331777,77.70239185,76.73386798,75.89442885,75.15507013,74.49545346,74.05302017,73.64102115,73.2557396,72.89408957,72.5534819,72.23172366,71.92694218,71.63752578,71.36207818,71.0993818,70.84836863,70.60809747,70.37773412,70.15653648,69.94384107
conservative,fixed,Fixed O&M $/(kW-yr),90.9107,90.40734782,89.94874016,89.52783271,89.13910555,88.77815562,88.44141529,88.12595526,87.82934146,86.99624962,86.28503522,85.6655628,85.11755228,84.62671932,84.29646257,83.98816766,83.69919845,83.42736127,83.17081155,82.9279838,82.69753827,82.47832011,82.26932669,82.06968252,81.87861823,81.69545471,81.51958923,81.35048479,81.18766063
advanced,fixed,Var O&M $/MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moderate,fixed,Var O&M $/MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conservative,fixed,Var O&M $/MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advanced,fixed,CFc,0.36354193,0.374180697,0.380458322,0.384840434,0.388172933,0.390843493,0.393060803,0.394949551,0.396589923,0.39878798,0.400643521,0.402243951,0.4036475,0.404894825,0.405728875,0.406503674,0.407226581,0.40790369,0.408540104,0.409140137,0.409707466,0.410245247,0.410756214,0.411242742,0.411706914,0.412150563,0.41257531,0.412982595,0.413373704
moderate,fixed,CFc,0.36354193,0.367434574,0.370197314,0.372323125,0.374042182,0.375480029,0.376712431,0.377788509,0.378741859,0.380178956,0.381398897,0.382456245,0.383387532,0.384218377,0.384775661,0.38529461,0.385779906,0.386235436,0.386664461,0.387069744,0.387453643,0.387818189,0.388165139,0.388496028,0.388812201,0.389114844,0.389405007,0.389683625,0.389951533
conservative,fixed,CFc,0.36354193,0.36401513,0.364446266,0.364841961,0.365207402,0.36554673,0.365863299,0.366159862,0.366438708,0.367221896,0.367890507,0.368472872,0.368988055,0.369449486,0.36975996,0.370049788,0.370321447,0.370577,0.370818182,0.371046464,0.371263105,0.371469192,0.371665666,0.371853351,0.37203297,0.372205162,0.372370492,0.372529467,0.372682538
advanced,fixed,rsc_mult,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
moderate,fixed,rsc_mult,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
conservative,fixed,rsc_mult,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
advanced,floating,Overnight Cap Cost $/kW,14229.47981,9577.606703,8500.137138,7910.747701,7114.394061,6421.403591,5790.914986,5601.50773,5441.951755,4779.165973,4406.219626,4152.639042,3963.213585,3813.440304,3486.659279,3271.931779,3114.525774,2991.55366,2891.378013,2807.317465,2735.201685,2672.263117,2616.576793,2566.753041,2521.757857,2480.802338,2443.271757,2408.678385,2376.629177
moderate,floating,Overnight Cap Cost $/kW,15115.56463,11918.12957,10952.52993,10396.79349,10013.32394,9723.703342,9075.704163,8467.561408,7888.167904,6776.967367,5960.858362,5685.577994,5477.722592,5311.952833,4945.588902,4701.078257,4519.777223,4376.846179,4259.531843,4160.454258,4074.976298,4000.002842,3933.370102,3873.508865,3819.246693,3769.68568,3724.123741,3682.00202,3642.868798
conservative,floating,Overnight Cap Cost $/kW,16679.24373,15201.41551,14509.81355,14064.92972,13740.20065,13486.1424,13278.40941,13103.27806,12344.17704,11044.99548,10030.90113,9138.745257,8313.837335,7531.321968,7140.820259,6876.096955,6677.538867,6519.568895,6388.92632,6277.87652,6181.52694,6096.592984,6020.76664,5952.366401,5890.130701,5833.089731,5780.482479,5731.701263,5686.253393
advanced,floating,Fixed O&M $/(kW-yr),81.5295,68.07725365,64.96143651,63.25704527,62.11204759,61.26248786,60.59367055,60.04594428,59.58454169,57.66790348,56.5894205,55.85611833,55.30833947,54.8752264,53.93024389,53.30929671,52.8541114,52.49850173,52.2088147,51.96572911,51.75718529,51.57518006,51.41414682,51.27006699,51.13995032,51.02151551,50.91298482,50.81294805,50.72026841
moderate,floating,Fixed O&M $/(kW-yr),81.5295,72.69266082,70.02400649,68.48810241,67.4282971,66.62786468,65.98939363,65.46107489,65.01221129,63.09357789,61.99049713,61.22969718,60.65524147,60.19709908,59.18456897,58.5088082,58.00774151,57.6127191,57.28849422,57.01467079,56.77843294,56.57122678,56.38707202,56.22163187,56.07166602,55.93469287,55.80877211,55.69235915,55.58420562
conservative,floating,Fixed O&M $/(kW-yr),81.5295,77.74446051,75.97311758,74.83367335,74.00197152,73.35127316,72.8192238,72.37067433,71.98392129,70.21390452,69.17405811,68.44652269,67.89122388,67.44450157,66.44434177,65.76632786,65.25777741,64.85318197,64.51857789,64.23415522,63.98738303,63.76984871,63.57564087,63.40045306,63.24105383,63.09495949,62.96022091,62.83528159,62.71887973
advanced,floating,Var O&M $/MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moderate,floating,Var O&M $/MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conservative,floating,Var O&M $/MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advanced,floating,CFc,0.4255253,0.437977962,0.445325913,0.450455168,0.454355854,0.457481739,0.460077097,0.462287875,0.464207928,0.46678075,0.468952658,0.470825959,0.472468812,0.473928803,0.474905058,0.475811959,0.47665812,0.477450675,0.478195597,0.478897935,0.479561992,0.480191465,0.48078955,0.481359031,0.481902344,0.482421635,0.4829188,0.483395526,0.483853318
moderate,floating,CFc,0.4255253,0.430081635,0.433315418,0.435803676,0.43781583,0.439498828,0.440941353,0.4422009,0.443316795,0.444998915,0.446426854,0.447664478,0.448754548,0.449727051,0.450379351,0.45098678,0.451554818,0.452088016,0.452590189,0.453064572,0.453513925,0.453940626,0.45434673,0.454734036,0.455104116,0.455458359,0.455797994,0.456124116,0.456437702
conservative,floating,CFc,0.4255253,0.42607918,0.426583824,0.427046984,0.427474733,0.427871916,0.428242459,0.428589586,0.428915975,0.429832695,0.430615303,0.43129696,0.431899982,0.432440086,0.432803495,0.433142738,0.433460715,0.433759839,0.434042142,0.434309346,0.434562924,0.434804148,0.435034121,0.435253806,0.43546405,0.4356656,0.435859119,0.436045199,0.436224368
advanced,floating,rsc_mult,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
moderate,floating,rsc_mult,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
conservative,floating,rsc_mult,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
