ATB sheet,ATB table,ATB row label,Case,Turbine,Parameter,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Land-Based Wind,Overnight Capital Cost ($/kW),Land-Based Wind - Class 4 - Technology 1,advanced,115hh_170rd,Overnight Cap Cost $/kW,1471.555936,1576.666823,1464.866566,1356.888555,1318.666095,1280.443635,1242.221175,1203.998714,1165.776254,1150.139237,1134.502221,1118.865204,1103.228187,1087.591171,1071.954154,1056.317137,1040.68012,1025.043104,1009.406087,993.7690702,978.1320535,962.4950368,946.85802,931.2210033,915.5839866,899.9469699,884.3099532,868.6729364,853.0359197
Land-Based Wind,Overnight Capital Cost ($/kW),Land-Based Wind - Class 4 - Technology 1,moderate,115hh_170rd,Overnight Cap Cost $/kW,1471.555936,1585.264905,1481.281087,1380.33787,1349.931848,1319.525826,1289.119804,1258.713782,1228.307761,1214.484362,1200.660963,1186.837564,1173.014165,1159.190766,1145.367368,1131.543969,1117.72057,1103.897171,1090.073772,1076.250373,1062.426975,1048.603576,1034.780177,1020.956778,1007.133379,993.3099806,979.4865817,965.6631829,951.8397841
Land-Based Wind,Overnight Capital Cost ($/kW),Land-Based Wind - Class 4 - Technology 1,conservative,115hh_170rd,Overnight Cap Cost $/kW,1471.555936,1607.244792,1523.242687,1440.283014,1429.858707,1419.434399,1409.010092,1398.585785,1388.161477,1377.738393,1367.315309,1356.892225,1346.46914,1336.046056,1325.622972,1315.199888,1304.776803,1294.353719,1283.930635,1273.507551,1263.084466,1252.661382,1242.238298,1231.815214,1221.392129,1210.969045,1200.545961,1190.122877,1179.699793
Land-Based Wind,Fixed Operation and Maintenance Expenses ($/kW-yr),Land-Based Wind - Class 4 - Technology 1,advanced,115hh_170rd,Fixed O&M $/(kW-yr),32.44304727,31.6769731,30.91089894,30.14482477,29.37875061,28.61267644,27.84660228,27.08052811,26.31445394,25.81843945,25.32242496,24.82641047,24.33039598,23.83438148,23.33836699,22.8423525,22.34633801,21.85032351,21.35430902,20.85829453,20.36228004,19.86626555,19.37025105,18.87423656,18.37822207,17.88220758,17.38619308,16.89017859,16.3941641
Land-Based Wind,Fixed Operation and Maintenance Expenses ($/kW-yr),Land-Based Wind - Class 4 - Technology 1,moderate,115hh_170rd,Fixed O&M $/(kW-yr),32.44304727,32.045638,31.64822874,31.25081947,30.85341021,30.45600094,30.05859168,29.66118241,29.26377315,29.06326211,28.86275107,28.66224003,28.46172899,28.26121796,28.06070692,27.86019588,27.65968484,27.4591738,27.25866277,27.05815173,26.85764069,26.65712965,26.45661861,26.25610757,26.05559654,25.8550855,25.65457446,25.45406342,25.25355238
Land-Based Wind,Fixed Operation and Maintenance Expenses ($/kW-yr),Land-Based Wind - Class 4 - Technology 1,conservative,115hh_170rd,Fixed O&M $/(kW-yr),32.44304727,32.25152873,32.06001018,31.86849164,31.6769731,31.48545456,31.29393602,31.10241748,30.91089894,30.78689531,30.66289169,30.53888807,30.41488444,30.29088082,30.1668772,30.04287358,29.91886995,29.79486633,29.67086271,29.54685908,29.42285546,29.29885184,29.17484821,29.05084459,28.92684097,28.80283734,28.67883372,28.5548301,28.43082648
Land-Based Wind,Variable Operation and Maintenance Expenses ($/MWh),Land-Based Wind - Class 4 - Technology 1,advanced,115hh_170rd,Var O&M $/MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land-Based Wind,Variable Operation and Maintenance Expenses ($/MWh),Land-Based Wind - Class 4 - Technology 1,moderate,115hh_170rd,Var O&M $/MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land-Based Wind,Variable Operation and Maintenance Expenses ($/MWh),Land-Based Wind - Class 4 - Technology 1,conservative,115hh_170rd,Var O&M $/MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land-Based Wind,Net Capacity Factor (%),Land-Based Wind - Class 4 - Technology 1,advanced,115hh_170rd,CFc,0.451573494,0.458497975,0.465463444,0.472469901,0.479517346,0.486605778,0.493735198,0.500905605,0.508117,0.5084584,0.5087998,0.5091412,0.5094826,0.509824,0.5101654,0.5105068,0.5108482,0.5111896,0.511531,0.5118724,0.5122138,0.5125552,0.5128966,0.513238,0.5135794,0.5139208,0.5142622,0.5146036,0.514945
Land-Based Wind,Net Capacity Factor (%),Land-Based Wind - Class 4 - Technology 1,moderate,115hh_170rd,CFc,0.448106,0.451522,0.454938,0.458354,0.46177,0.465186,0.468602,0.472018,0.475434,0.4758183,0.4762026,0.4765869,0.4769712,0.4773555,0.4777398,0.4781241,0.4785084,0.4788927,0.479277,0.4796613,0.4800456,0.4804299,0.4808142,0.4811985,0.4815828,0.4819671,0.4823514,0.4827357,0.48312
Land-Based Wind,Net Capacity Factor (%),Land-Based Wind - Class 4 - Technology 1,conservative,115hh_170rd,CFc,0.4453,0.44591,0.44652,0.44713,0.44774,0.44835,0.44896,0.44957,0.45018,0.450729,0.451278,0.451827,0.452376,0.452925,0.453474,0.454023,0.454572,0.455121,0.45567,0.456219,0.456768,0.457317,0.457866,0.458415,0.458964,0.459513,0.460062,0.460611,0.46116
