FIPS,ba,county_name,state
53001,WA,adams,WA
53003,WA,asotin,WA
53005,WA,benton,WA
53007,WA,chelan,WA
53009,WA,clallam,WA
53011,WA,clark,WA
53013,WA,columbia,WA
53015,WA,cowlitz,WA
53017,WA,douglas,WA
53019,WA,ferry,WA
53021,WA,franklin,WA
53023,WA,garfield,WA
53025,WA,grant,WA
53027,WA,grays harbor,WA
53029,WA,island,WA
53031,WA,jefferson,WA
53033,WA,king,WA
53035,WA,kitsap,WA
53037,WA,kittitas,WA
53039,WA,klickitat,WA
53041,WA,lewis,WA
53043,WA,lincoln,WA
53045,WA,mason,WA
53047,WA,okanogan,WA
53049,WA,pacific,WA
53051,WA,pend oreille,WA
53053,WA,pierce,WA
53055,WA,san juan,WA
53057,WA,skagit,WA
53059,WA,skamania,WA
53061,WA,snohomish,WA
53063,WA,spokane,WA
53065,WA,stevens,WA
53067,WA,thurston,WA
53069,WA,wahkiakum,WA
53071,WA,walla walla,WA
53073,WA,whatcom,WA
53075,WA,whitman,WA
53077,WA,yakima,WA
41003,OR,benton,OR
41039,OR,lane,OR
41041,OR,lincoln,OR
41043,OR,linn,OR
41053,OR,polk,OR
41005,OR,clackamas,OR
41047,OR,marion,OR
41071,OR,yamhill,OR
41007,OR,clatsop,OR
41009,OR,columbia,OR
41057,OR,tillamook,OR
41013,OR,crook,OR
41017,OR,deschutes,OR
41023,OR,grant,OR
41031,OR,jefferson,OR
41069,OR,wheeler,OR
41021,OR,gilliam,OR
41027,OR,hood river,OR
41049,OR,morrow,OR
41055,OR,sherman,OR
41059,OR,umatilla,OR
41061,OR,union,OR
41063,OR,wallowa,OR
41065,OR,wasco,OR
41051,OR,multnomah,OR
41067,OR,washington,OR
41011,OR,coos,OR
41015,OR,curry,OR
41033,OR,josephine,OR
41019,OR,douglas,OR
41029,OR,jackson,OR
41035,OR,klamath,OR
41001,OR,baker,OR
41045,OR,malheur,OR
41025,OR,harney,OR
41037,OR,lake,OR
06001,CA_N,alameda,CA
06003,CA_N,alpine,CA
06005,CA_N,amador,CA
06007,CA_N,butte,CA
06009,CA_N,calaveras,CA
06011,CA_N,colusa,CA
06013,CA_N,contra costa,CA
06015,CA_N,del norte,CA
06017,CA_N,el dorado,CA
06019,CA_S,fresno,CA
06021,CA_N,glenn,CA
06023,CA_N,humboldt,CA
06025,CA_IID,imperial,CA
06027,CA_S,inyo,CA
06029,CA_S,kern,CA
06031,CA_S,kings,CA
06033,CA_N,lake,CA
06035,CA_N,lassen,CA
06037,CA_LA,los angeles,CA
06039,CA_S,madera,CA
06041,CA_N,marin,CA
06043,CA_N,mariposa,CA
06045,CA_N,mendocino,CA
06047,CA_N,merced,CA
06049,CA_N,modoc,CA
06051,CA_S,mono,CA
06053,CA_S,monterey,CA
06055,CA_N,napa,CA
06057,CA_N,nevada,CA
06059,CA_LA,orange,CA
06061,CA_N,placer,CA
06063,CA_N,plumas,CA
06065,CA_S,riverside,CA
06067,CA_N,sacramento,CA
06069,CA_S,san benito,CA
06071,CA_S,san bernardino,CA
06073,CA_IID,san diego,CA
06075,CA_N,san francisco,CA
06077,CA_N,san joaquin,CA
06079,CA_S,san luis obispo,CA
06081,CA_N,san mateo,CA
06083,CA_S,santa barbara,CA
06085,CA_N,santa clara,CA
06087,CA_N,santa cruz,CA
06089,CA_N,shasta,CA
06091,CA_N,sierra,CA
06093,CA_N,siskiyou,CA
06095,CA_N,solano,CA
06097,CA_N,sonoma,CA
06099,CA_N,stanislaus,CA
06101,CA_N,sutter,CA
06103,CA_N,tehama,CA
06105,CA_N,trinity,CA
06107,CA_S,tulare,CA
06109,CA_N,tuolumne,CA
06111,CA_LA,ventura,CA
06113,CA_N,yolo,CA
06115,CA_N,yuba,CA
32510,NV,carson city,NV
32001,NV,churchill,NV
32003,NV,clark,NV
32005,NV,douglas,NV
32007,NV,elko,NV
32009,NV,esmeralda,NV
32011,NV,eureka,NV
32013,NV,humboldt,NV
32015,NV,lander,NV
32017,NV,lincoln,NV
32019,NV,lyon,NV
32021,NV,mineral,NV
32023,NV,nye,NV
32027,NV,pershing,NV
32029,NV,storey,NV
32031,NV,washoe,NV
32033,NV,white pine,NV
16001,ID,ada,ID
16003,ID,adams,ID
16005,ID,bannock,ID
16007,ID,bear lake,ID
16009,ID,benewah,ID
16011,ID,bingham,ID
16013,ID,blaine,ID
16015,ID,boise,ID
16017,ID,bonner,ID
16019,ID,bonneville,ID
16021,ID,boundary,ID
16023,ID,butte,ID
16025,ID,camas,ID
16027,ID,canyon,ID
16029,ID,caribou,ID
16031,ID,cassia,ID
16033,ID,clark,ID
16035,ID,clearwater,ID
16037,ID,custer,ID
16039,ID,elmore,ID
16041,ID,franklin,ID
16043,ID,fremont,ID
16045,ID,gem,ID
16047,ID,gooding,ID
16049,ID,idaho,ID
16051,ID,jefferson,ID
16053,ID,jerome,ID
16055,ID,kootenai,ID
16057,ID,latah,ID
16059,ID,lemhi,ID
16061,ID,lewis,ID
16063,ID,lincoln,ID
16065,ID,madison,ID
16067,ID,minidoka,ID
16069,ID,nez perce,ID
16071,ID,oneida,ID
16073,ID,owyhee,ID
16075,ID,payette,ID
16077,ID,power,ID
16079,ID,shoshone,ID
16081,ID,teton,ID
16083,ID,twin falls,ID
16085,ID,valley,ID
16087,ID,washington,ID
30001,MT,beaverhead,MT
30003,MT,big horn,MT
30005,MT,blaine,MT
30007,MT,broadwater,MT
30009,MT,carbon,MT
30011,MT,carter,MT
