FIPS,ba,county_name,state
01001,AL_1,autauga,AL
01003,AL_1,baldwin,AL
01005,AL_1,barbour,AL
01007,AL_0,bibb,AL
01009,AL_1,blount,AL
01011,AL_1,bullock,AL
01013,AL_1,butler,AL
01015,AL_1,calhoun,AL
01017,AL_1,chambers,AL
01019,AL_1,cherokee,AL
01021,AL_1,chilton,AL
01023,AL_0,choctaw,AL
01025,AL_1,clarke,AL
01027,AL_1,clay,AL
01029,AL_1,cleburne,AL
01031,AL_1,coffee,AL
01033,AL_0,colbert,AL
01035,AL_1,conecuh,AL
01037,AL_1,coosa,AL
01039,AL_1,covington,AL
01041,AL_1,crenshaw,AL
01043,AL_0,cullman,AL
01045,AL_1,dale,AL
01047,AL_1,dallas,AL
01049,AL_0,dekalb,AL
01051,AL_1,elmore,AL
01053,AL_1,escambia,AL
01055,AL_1,etowah,AL
01057,AL_0,fayette,AL
01059,AL_0,franklin,AL
01061,AL_1,geneva,AL
01063,AL_0,greene,AL
01065,AL_0,hale,AL
01067,AL_1,henry,AL
01069,AL_1,houston,AL
01071,AL_0,jackson,AL
01073,AL_0,jefferson,AL
01075,AL_0,lamar,AL
01077,AL_0,lauderdale,AL
01079,AL_0,lawrence,AL
01081,AL_1,lee,AL
01083,AL_0,limestone,AL
01085,AL_1,lowndes,AL
01087,AL_1,macon,AL
01089,AL_0,madison,AL
01091,AL_0,marengo,AL
01093,AL_0,marion,AL
01095,AL_0,marshall,AL
01097,AL_1,mobile,AL
01099,AL_1,monroe,AL
01101,AL_1,montgomery,AL
01103,AL_0,morgan,AL
01105,AL_0,perry,AL
01107,AL_0,pickens,AL
01109,AL_1,pike,AL
01111,AL_1,randolph,AL
01113,AL_1,russell,AL
01117,AL_0,shelby,AL
01115,AL_1,st. clair,AL
01119,AL_0,sumter,AL
01121,AL_1,talladega,AL
01123,AL_1,tallapoosa,AL
01125,AL_0,tuscaloosa,AL
01127,AL_0,walker,AL
01129,AL_1,washington,AL
01131,AL_0,wilcox,AL
01133,AL_0,winston,AL
04001,AZ_0,apache,AZ
04003,AZ_1,cochise,AZ
04005,AZ_0,coconino,AZ
04007,AZ_1,gila,AZ
04009,AZ_1,graham,AZ
04011,AZ_1,greenlee,AZ
04012,AZ_1,la paz,AZ
04013,AZ_1,maricopa,AZ
04015,AZ_0,mohave,AZ
04017,AZ_0,navajo,AZ
04019,AZ_1,pima,AZ
04021,AZ_1,pinal,AZ
04023,AZ_1,santa cruz,AZ
04025,AZ_0,yavapai,AZ
04027,AZ_1,yuma,AZ
05001,AR_1,arkansas,AR
05003,AR_1,ashley,AR
05005,AR_1,baxter,AR
05007,AR_0,benton,AR
05009,AR_0,boone,AR
05011,AR_1,bradley,AR
05013,AR_1,calhoun,AR
05015,AR_0,carroll,AR
05017,AR_1,chicot,AR
05019,AR_1,clark,AR
05021,AR_1,clay,AR
05023,AR_0,cleburne,AR
05025,AR_1,cleveland,AR
05027,AR_1,columbia,AR
05029,AR_1,conway,AR
05031,AR_1,craighead,AR
05033,AR_0,crawford,AR
05035,AR_1,crittenden,AR
05037,AR_1,cross,AR
05039,AR_1,dallas,AR
05041,AR_1,desha,AR
05043,AR_1,drew,AR
05045,AR_1,faulkner,AR
05047,AR_0,franklin,AR
05049,AR_1,fulton,AR
05051,AR_1,garland,AR
05053,AR_1,grant,AR
05055,AR_1,greene,AR
05057,AR_0,hempstead,AR
05059,AR_1,hot spring,AR
05061,AR_0,howard,AR
05063,AR_1,independence,AR
05065,AR_1,izard,AR
05067,AR_1,jackson,AR
05069,AR_1,jefferson,AR
05071,AR_0,johnson,AR
05073,AR_1,lafayette,AR
05075,AR_1,lawrence,AR
05077,AR_1,lee,AR
05079,AR_1,lincoln,AR
05081,AR_1,little river,AR
05083,AR_0,logan,AR
05085,AR_1,lonoke,AR
05087,AR_0,madison,AR
05089,AR_0,marion,AR
05091,AR_1,miller,AR
05093,AR_1,mississippi,AR
05095,AR_1,monroe,AR
05097,AR_0,montgomery,AR
05099,AR_1,nevada,AR
05101,AR_0,newton,AR
05103,AR_1,ouachita,AR
05105,AR_1,perry,AR
05107,AR_1,phillips,AR
05109,AR_0,pike,AR
05111,AR_1,poinsett,AR
05113,AR_0,polk,AR
05115,AR_1,pope,AR
05117,AR_1,prairie,AR
05119,AR_1,pulaski,AR
05121,AR_1,randolph,AR
05125,AR_1,saline,AR
05127,AR_0,scott,AR
05129,AR_0,searcy,AR
05131,AR_0,sebastian,AR
05133,AR_1,sevier,AR
05135,AR_1,sharp,AR
05123,AR_1,st. francis,AR
05137,AR_1,stone,AR
05139,AR_1,union,AR
05141,AR_0,van buren,AR
05143,AR_0,washington,AR
05145,AR_1,white,AR
05147,AR_1,woodruff,AR
05149,AR_1,yell,AR
06001,CA_1,alameda,CA
06003,CA_1,alpine,CA
06005,CA_1,amador,CA
06007,CA_1,butte,CA
06009,CA_1,calaveras,CA
06011,CA_1,colusa,CA
06013,CA_1,contra costa,CA
06015,CA_1,del norte,CA
06017,CA_1,el dorado,CA
06019,CA_2,fresno,CA
06021,CA_1,glenn,CA
06023,CA_1,humboldt,CA
06025,CA_4,imperial,CA
06027,CA_2,inyo,CA
06029,CA_2,kern,CA
06031,CA_2,kings,CA
06033,CA_1,lake,CA
06035,CA_1,lassen,CA
06037,CA_0,los angeles,CA
06039,CA_2,madera,CA
06041,CA_1,marin,CA
06043,CA_1,mariposa,CA
06045,CA_1,mendocino,CA
06047,CA_1,merced,CA
06049,CA_1,modoc,CA
06051,CA_2,mono,CA
06053,CA_2,monterey,CA
06055,CA_1,napa,CA
06057,CA_1,nevada,CA
06059,CA_0,orange,CA
06061,CA_1,placer,CA
06063,CA_1,plumas,CA
06065,CA_3,riverside,CA
06067,CA_1,sacramento,CA
06069,CA_2,san benito,CA
06071,CA_3,san bernardino,CA
06073,CA_4,san diego,CA
06075,CA_1,san francisco,CA
06077,CA_1,san joaquin,CA
06079,CA_2,san luis obispo,CA
06081,CA_1,san mateo,CA
06083,CA_2,santa barbara,CA
06085,CA_1,santa clara,CA
06087,CA_1,santa cruz,CA
06089,CA_1,shasta,CA
06091,CA_1,sierra,CA
06093,CA_1,siskiyou,CA
06095,CA_1,solano,CA
06097,CA_1,sonoma,CA
06099,CA_1,stanislaus,CA
06101,CA_1,sutter,CA
06103,CA_1,tehama,CA
06105,CA_1,trinity,CA
06107,CA_2,tulare,CA
06109,CA_1,tuolumne,CA
06111,CA_0,ventura,CA
06113,CA_1,yolo,CA
06115,CA_1,yuba,CA
08001,CO_1,adams,CO
08003,CO_0,alamosa,CO
08005,CO_1,arapahoe,CO
08007,CO_0,archuleta,CO
08009,CO_1,baca,CO
08011,CO_1,bent,CO
08013,CO_1,boulder,CO
08014,CO_1,broomfield,CO
08015,CO_1,chaffee,CO
08017,CO_1,cheyenne,CO
08019,CO_1,clear creek,CO
08021,CO_0,conejos,CO
08023,CO_0,costilla,CO
08025,CO_1,crowley,CO
08027,CO_1,custer,CO
08029,CO_0,delta,CO
08031,CO_1,denver,CO
08033,CO_0,dolores,CO
08035,CO_1,douglas,CO
08037,CO_0,eagle,CO
08041,CO_1,el paso,CO
08039,CO_1,elbert,CO
08043,CO_1,fremont,CO
08045,CO_0,garfield,CO
08047,CO_1,gilpin,CO
08049,CO_0,grand,CO
08051,CO_0,gunnison,CO
08053,CO_0,hinsdale,CO
08055,CO_1,huerfano,CO
08057,CO_1,jackson,CO
08059,CO_1,jefferson,CO
08061,CO_1,kiowa,CO
08063,CO_1,kit carson,CO
08067,CO_0,la plata,CO
08065,CO_1,lake,CO
08069,CO_1,larimer,CO
08071,CO_1,las animas,CO
08073,CO_1,lincoln,CO
08075,CO_1,logan,CO
08077,CO_0,mesa,CO
08079,CO_0,mineral,CO
08081,CO_0,moffat,CO
08083,CO_0,montezuma,CO
08085,CO_0,montrose,CO
08087,CO_1,morgan,CO
08089,CO_1,otero,CO
08091,CO_0,ouray,CO
08093,CO_1,park,CO
08095,CO_1,phillips,CO
08097,CO_0,pitkin,CO
08099,CO_1,prowers,CO
08101,CO_1,pueblo,CO
08103,CO_0,rio blanco,CO
08105,CO_0,rio grande,CO
08107,CO_0,routt,CO
08109,CO_0,saguache,CO
08111,CO_0,san juan,CO
08113,CO_0,san miguel,CO
08115,CO_1,sedgwick,CO
08117,CO_0,summit,CO
08119,CO_1,teller,CO
08121,CO_1,washington,CO
08123,CO_1,weld,CO
08125,CO_1,yuma,CO
09001,CT_0,fairfield,CT
09003,CT_0,hartford,CT
09005,CT_0,litchfield,CT
09007,CT_0,middlesex,CT
09009,CT_0,new haven,CT
09011,CT_0,new london,CT
09013,CT_0,tolland,CT
09015,CT_0,windham,CT
10001,DE_0,kent,DE
10003,DE_0,new castle,DE
10005,DE_0,sussex,DE
11001,MD_0,district of columbia,DC
12001,FL_1,alachua,FL
12003,FL_1,baker,FL
12005,FL_0,bay,FL
12007,FL_1,bradford,FL
12009,FL_3,brevard,FL
12011,FL_3,broward,FL
12013,FL_0,calhoun,FL
12015,FL_2,charlotte,FL
12017,FL_2,citrus,FL
12019,FL_1,clay,FL
12021,FL_2,collier,FL
12023,FL_1,columbia,FL
12027,FL_2,desoto,FL
12029,FL_1,dixie,FL
12031,FL_1,duval,FL
12033,FL_0,escambia,FL
12035,FL_1,flagler,FL
12037,FL_1,franklin,FL
12039,FL_1,gadsden,FL
12041,FL_1,gilchrist,FL
12043,FL_2,glades,FL
12045,FL_0,gulf,FL
12047,FL_1,hamilton,FL
12049,FL_2,hardee,FL
12051,FL_2,hendry,FL
12053,FL_2,hernando,FL
12055,FL_2,highlands,FL
12057,FL_2,hillsborough,FL
12059,FL_0,holmes,FL
12061,FL_3,indian river,FL
12063,FL_0,jackson,FL
12065,FL_1,jefferson,FL
12067,FL_1,lafayette,FL
12069,FL_2,lake,FL
12071,FL_2,lee,FL
12073,FL_1,leon,FL
12075,FL_1,levy,FL
12077,FL_1,liberty,FL
12079,FL_1,madison,FL
12081,FL_2,manatee,FL
12083,FL_1,marion,FL
12085,FL_3,martin,FL
12086,FL_3,miami-dade,FL
12087,FL_2,monroe,FL
12089,FL_1,nassau,FL
12091,FL_0,okaloosa,FL
12093,FL_2,okeechobee,FL
12095,FL_2,orange,FL
12097,FL_2,osceola,FL
12099,FL_3,palm beach,FL
12101,FL_2,pasco,FL
12103,FL_2,pinellas,FL
12105,FL_2,polk,FL
12107,FL_1,putnam,FL
12113,FL_0,santa rosa,FL
12115,FL_2,sarasota,FL
12117,FL_2,seminole,FL
12109,FL_1,st. johns,FL
12111,FL_3,st. lucie,FL
12119,FL_2,sumter,FL
12121,FL_1,suwannee,FL
12123,FL_1,taylor,FL
12125,FL_1,union,FL
12127,FL_1,volusia,FL
12129,FL_1,wakulla,FL
12131,FL_0,walton,FL
12133,FL_0,washington,FL
13001,GA_1,appling,GA
13003,GA_1,atkinson,GA
13005,GA_1,bacon,GA
13007,GA_1,baker,GA
13009,GA_0,baldwin,GA
13011,GA_0,banks,GA
13013,GA_0,barrow,GA
13015,GA_0,bartow,GA
13017,GA_1,ben hill,GA
13019,GA_1,berrien,GA
13021,GA_0,bibb,GA
13023,GA_1,bleckley,GA
13025,GA_1,brantley,GA
13027,GA_1,brooks,GA
13029,GA_1,bryan,GA
13031,GA_1,bulloch,GA
13033,GA_1,burke,GA
13035,GA_0,butts,GA
13037,GA_1,calhoun,GA
13039,GA_1,camden,GA
13043,GA_1,candler,GA
13045,GA_0,carroll,GA
13047,GA_0,catoosa,GA
13049,GA_1,charlton,GA
13051,GA_1,chatham,GA
13053,GA_0,chattahoochee,GA
13055,GA_0,chattooga,GA
13057,GA_0,cherokee,GA
13059,GA_0,clarke,GA
13061,GA_1,clay,GA
13063,GA_0,clayton,GA
13065,GA_1,clinch,GA
13067,GA_0,cobb,GA
13069,GA_1,coffee,GA
13071,GA_1,colquitt,GA
13073,GA_0,columbia,GA
13075,GA_1,cook,GA
13077,GA_0,coweta,GA
13079,GA_0,crawford,GA
13081,GA_1,crisp,GA
13083,GA_0,dade,GA
13085,GA_0,dawson,GA
13087,GA_1,decatur,GA
13089,GA_0,dekalb,GA
13091,GA_1,dodge,GA
13093,GA_1,dooly,GA
13095,GA_1,dougherty,GA
13097,GA_0,douglas,GA
13099,GA_1,early,GA
13101,GA_1,echols,GA
13103,GA_1,effingham,GA
13105,GA_0,elbert,GA
13107,GA_1,emanuel,GA
13109,GA_1,evans,GA
13111,GA_0,fannin,GA
13113,GA_0,fayette,GA
13115,GA_0,floyd,GA
13117,GA_0,forsyth,GA
13119,GA_0,franklin,GA
13121,GA_0,fulton,GA
13123,GA_0,gilmer,GA
13125,GA_0,glascock,GA
13127,GA_1,glynn,GA
13129,GA_0,gordon,GA
13131,GA_1,grady,GA
13133,GA_0,greene,GA
13135,GA_0,gwinnett,GA
13137,GA_0,habersham,GA
13139,GA_0,hall,GA
13141,GA_0,hancock,GA
13143,GA_0,haralson,GA
13145,GA_0,harris,GA
13147,GA_0,hart,GA
13149,GA_0,heard,GA
13151,GA_0,henry,GA
13153,GA_0,houston,GA
13155,GA_1,irwin,GA
13157,GA_0,jackson,GA
13159,GA_0,jasper,GA
13161,GA_1,jeff davis,GA
13163,GA_1,jefferson,GA
13165,GA_1,jenkins,GA
13167,GA_1,johnson,GA
13169,GA_0,jones,GA
13171,GA_0,lamar,GA
13173,GA_1,lanier,GA
13175,GA_1,laurens,GA
13177,GA_1,lee,GA
13179,GA_1,liberty,GA
13181,GA_0,lincoln,GA
13183,GA_1,long,GA
13185,GA_1,lowndes,GA
13187,GA_0,lumpkin,GA
13193,GA_0,macon,GA
13195,GA_0,madison,GA
13197,GA_0,marion,GA
13189,GA_0,mcduffie,GA
13191,GA_1,mcintosh,GA
13199,GA_0,meriwether,GA
13201,GA_1,miller,GA
13205,GA_1,mitchell,GA
13207,GA_0,monroe,GA
13209,GA_1,montgomery,GA
13211,GA_0,morgan,GA
13213,GA_0,murray,GA
13215,GA_0,muscogee,GA
13217,GA_0,newton,GA
13219,GA_0,oconee,GA
13221,GA_0,oglethorpe,GA
13223,GA_0,paulding,GA
13225,GA_0,peach,GA
13227,GA_0,pickens,GA
13229,GA_1,pierce,GA
13231,GA_0,pike,GA
13233,GA_0,polk,GA
13235,GA_1,pulaski,GA
13237,GA_0,putnam,GA
13239,GA_1,quitman,GA
13241,GA_0,rabun,GA
13243,GA_1,randolph,GA
13245,GA_0,richmond,GA
13247,GA_0,rockdale,GA
13249,GA_0,schley,GA
13251,GA_1,screven,GA
13253,GA_1,seminole,GA
13255,GA_0,spalding,GA
13257,GA_0,stephens,GA
13259,GA_1,stewart,GA
13261,GA_1,sumter,GA
13263,GA_0,talbot,GA
13265,GA_0,taliaferro,GA
13267,GA_1,tattnall,GA
13269,GA_0,taylor,GA
13271,GA_1,telfair,GA
13273,GA_1,terrell,GA
13275,GA_1,thomas,GA
13277,GA_1,tift,GA
13279,GA_1,toombs,GA
13281,GA_0,towns,GA
13283,GA_1,treutlen,GA
13285,GA_0,troup,GA
13287,GA_1,turner,GA
13289,GA_0,twiggs,GA
13291,GA_0,union,GA
13293,GA_0,upson,GA
13295,GA_0,walker,GA
13297,GA_0,walton,GA
13299,GA_1,ware,GA
13301,GA_0,warren,GA
13303,GA_0,washington,GA
13305,GA_1,wayne,GA
13307,GA_1,webster,GA
13309,GA_1,wheeler,GA
13311,GA_0,white,GA
13313,GA_0,whitfield,GA
13315,GA_1,wilcox,GA
13317,GA_0,wilkes,GA
13319,GA_0,wilkinson,GA
13321,GA_1,worth,GA
16001,ID_1,ada,ID
16003,ID_1,adams,ID
16005,ID_1,bannock,ID
16007,ID_1,bear lake,ID
16009,ID_0,benewah,ID
16011,ID_1,bingham,ID
16013,ID_1,blaine,ID
16015,ID_1,boise,ID
16017,ID_0,bonner,ID
16019,ID_1,bonneville,ID
16021,ID_0,boundary,ID
16023,ID_1,butte,ID
16025,ID_1,camas,ID
16027,ID_1,canyon,ID
16029,ID_1,caribou,ID
16031,ID_1,cassia,ID
16033,ID_1,clark,ID
16035,ID_0,clearwater,ID
16037,ID_1,custer,ID
16039,ID_1,elmore,ID
16041,ID_1,franklin,ID
16043,ID_1,fremont,ID
16045,ID_1,gem,ID
16047,ID_1,gooding,ID
16049,ID_0,idaho,ID
16051,ID_1,jefferson,ID
16053,ID_1,jerome,ID
16055,ID_0,kootenai,ID
16057,ID_0,latah,ID
16059,ID_1,lemhi,ID
16061,ID_0,lewis,ID
16063,ID_1,lincoln,ID
16065,ID_1,madison,ID
16067,ID_1,minidoka,ID
16069,ID_0,nez perce,ID
16071,ID_1,oneida,ID
16073,ID_1,owyhee,ID
16075,ID_1,payette,ID
16077,ID_1,power,ID
16079,ID_0,shoshone,ID
16081,ID_1,teton,ID
16083,ID_1,twin falls,ID
16085,ID_1,valley,ID
16087,ID_1,washington,ID
17001,IL_1,adams,IL
17003,IL_1,alexander,IL
17005,IL_1,bond,IL
17007,IL_0,boone,IL
17009,IL_1,brown,IL
17011,IL_1,bureau,IL
17013,IL_1,calhoun,IL
17015,IL_0,carroll,IL
17017,IL_1,cass,IL
17019,IL_1,champaign,IL
17021,IL_1,christian,IL
17023,IL_1,clark,IL
17025,IL_1,clay,IL
17027,IL_1,clinton,IL
17029,IL_1,coles,IL
17031,IL_0,cook,IL
17033,IL_1,crawford,IL
17035,IL_1,cumberland,IL
17039,IL_1,de witt,IL
17037,IL_0,dekalb,IL
17041,IL_1,douglas,IL
17043,IL_0,dupage,IL
17045,IL_1,edgar,IL
17047,IL_1,edwards,IL
17049,IL_1,effingham,IL
17051,IL_1,fayette,IL
17053,IL_1,ford,IL
17055,IL_1,franklin,IL
17057,IL_1,fulton,IL
17059,IL_1,gallatin,IL
17061,IL_1,greene,IL
17063,IL_0,grundy,IL
17065,IL_1,hamilton,IL
17067,IL_1,hancock,IL
17069,IL_1,hardin,IL
17071,IL_1,henderson,IL
17073,IL_1,henry,IL
17075,IL_1,iroquois,IL
17077,IL_1,jackson,IL
17079,IL_1,jasper,IL
17081,IL_1,jefferson,IL
17083,IL_1,jersey,IL
17085,IL_0,jo daviess,IL
17087,IL_1,johnson,IL
17089,IL_0,kane,IL
17091,IL_0,kankakee,IL
17093,IL_0,kendall,IL
17095,IL_1,knox,IL
17099,IL_0,la salle,IL
17097,IL_0,lake,IL
17101,IL_1,lawrence,IL
17103,IL_0,lee,IL
17105,IL_0,livingston,IL
17107,IL_1,logan,IL
17115,IL_1,macon,IL
17117,IL_1,macoupin,IL
17119,IL_1,madison,IL
17121,IL_1,marion,IL
17123,IL_1,marshall,IL
17125,IL_1,mason,IL
17127,IL_1,massac,IL
17109,IL_1,mcdonough,IL
17111,IL_0,mchenry,IL
17113,IL_1,mclean,IL
17129,IL_1,menard,IL
17131,IL_1,mercer,IL
17133,IL_1,monroe,IL
17135,IL_1,montgomery,IL
17137,IL_1,morgan,IL
17139,IL_1,moultrie,IL
17141,IL_0,ogle,IL
17143,IL_1,peoria,IL
17145,IL_1,perry,IL
17147,IL_1,piatt,IL
17149,IL_1,pike,IL
17151,IL_1,pope,IL
17153,IL_1,pulaski,IL
17155,IL_1,putnam,IL
17157,IL_1,randolph,IL
17159,IL_1,richland,IL
17161,IL_1,rock island,IL
17165,IL_1,saline,IL
17167,IL_1,sangamon,IL
17169,IL_1,schuyler,IL
17171,IL_1,scott,IL
17173,IL_1,shelby,IL
17163,IL_1,st. clair,IL
17175,IL_1,stark,IL
17177,IL_0,stephenson,IL
17179,IL_1,tazewell,IL
17181,IL_1,union,IL
17183,IL_1,vermilion,IL
17185,IL_1,wabash,IL
17187,IL_1,warren,IL
17189,IL_1,washington,IL
17191,IL_1,wayne,IL
17193,IL_1,white,IL
17195,IL_0,whiteside,IL
17197,IL_0,will,IL
17199,IL_1,williamson,IL
17201,IL_0,winnebago,IL
17203,IL_1,woodford,IL
18001,IN_1,adams,IN
18003,IN_1,allen,IN
18005,IN_0,bartholomew,IN
18007,IN_0,benton,IN
18009,IN_1,blackford,IN
18011,IN_0,boone,IN
18013,IN_0,brown,IN
18015,IN_0,carroll,IN
18017,IN_0,cass,IN
18019,IN_0,clark,IN
18021,IN_0,clay,IN
18023,IN_0,clinton,IN
18025,IN_0,crawford,IN
18027,IN_0,daviess,IN
18029,IN_0,dearborn,IN
18031,IN_0,decatur,IN
18033,IN_1,dekalb,IN
18035,IN_1,delaware,IN
18037,IN_0,dubois,IN
18039,IN_1,elkhart,IN
18041,IN_0,fayette,IN
18043,IN_0,floyd,IN
18045,IN_0,fountain,IN
18047,IN_0,franklin,IN
18049,IN_0,fulton,IN
18051,IN_0,gibson,IN
18053,IN_1,grant,IN
18055,IN_0,greene,IN
18057,IN_0,hamilton,IN
18059,IN_0,hancock,IN
18061,IN_0,harrison,IN
18063,IN_0,hendricks,IN
18065,IN_1,henry,IN
18067,IN_0,howard,IN
18069,IN_1,huntington,IN
18071,IN_0,jackson,IN
18073,IN_0,jasper,IN
18075,IN_1,jay,IN
18077,IN_0,jefferson,IN
18079,IN_0,jennings,IN
18081,IN_0,johnson,IN
18083,IN_0,knox,IN
18085,IN_0,kosciusko,IN
18087,IN_1,lagrange,IN
18089,IN_0,lake,IN
18091,IN_0,laporte,IN
18093,IN_0,lawrence,IN
18095,IN_1,madison,IN
18097,IN_0,marion,IN
18099,IN_0,marshall,IN
18101,IN_0,martin,IN
18103,IN_0,miami,IN
18105,IN_0,monroe,IN
18107,IN_0,montgomery,IN
18109,IN_0,morgan,IN
18111,IN_0,newton,IN
18113,IN_1,noble,IN
18115,IN_0,ohio,IN
18117,IN_0,orange,IN
18119,IN_0,owen,IN
18121,IN_0,parke,IN
18123,IN_0,perry,IN
18125,IN_0,pike,IN
18127,IN_0,porter,IN
18129,IN_0,posey,IN
18131,IN_0,pulaski,IN
18133,IN_0,putnam,IN
18135,IN_1,randolph,IN
18137,IN_0,ripley,IN
18139,IN_0,rush,IN
18143,IN_0,scott,IN
18145,IN_0,shelby,IN
18147,IN_0,spencer,IN
18141,IN_1,st. joseph,IN
18149,IN_0,starke,IN
18151,IN_1,steuben,IN
18153,IN_0,sullivan,IN
18155,IN_0,switzerland,IN
18157,IN_0,tippecanoe,IN
18159,IN_0,tipton,IN
18161,IN_0,union,IN
18163,IN_0,vanderburgh,IN
18165,IN_0,vermillion,IN
18167,IN_0,vigo,IN
18169,IN_1,wabash,IN
18171,IN_0,warren,IN
18173,IN_0,warrick,IN
18175,IN_0,washington,IN
18177,IN_0,wayne,IN
18179,IN_1,wells,IN
18181,IN_0,white,IN
18183,IN_1,whitley,IN
19001,IA_0,adair,IA
19003,IA_0,adams,IA
