county,state,cnty_fips,reeds_ba
Autauga,Alabama,1001,AL_1
Baldwin,Alabama,1003,AL_1
Barbour,Alabama,1005,AL_1
Bibb,Alabama,1007,AL_0
Blount,Alabama,1009,AL_1
Bullock,Alabama,1011,AL_1
Butler,Alabama,1013,AL_1
Calhoun,Alabama,1015,AL_1
Chambers,Alabama,1017,AL_1
Cherokee,Alabama,1019,AL_1
Chilton,Alabama,1021,AL_1
Choctaw,Alabama,1023,AL_0
Clarke,Alabama,1025,AL_1
Clay,Alabama,1027,AL_1
Cleburne,Alabama,1029,AL_1
Coffee,Alabama,1031,AL_1
Colbert,Alabama,1033,AL_0
Conecuh,Alabama,1035,AL_1
Coosa,Alabama,1037,AL_1
Covington,Alabama,1039,AL_1
Crenshaw,Alabama,1041,AL_1
Cullman,Alabama,1043,AL_0
Dale,Alabama,1045,AL_1
Dallas,Alabama,1047,AL_1
DeKalb,Alabama,1049,AL_0
Elmore,Alabama,1051,AL_1
Escambia,Alabama,1053,AL_1
Etowah,Alabama,1055,AL_1
Fayette,Alabama,1057,AL_0
Franklin,Alabama,1059,AL_0
Geneva,Alabama,1061,AL_1
Greene,Alabama,1063,AL_0
Hale,Alabama,1065,AL_0
Henry,Alabama,1067,AL_1
Houston,Alabama,1069,AL_1
Jackson,Alabama,1071,AL_0
Jefferson,Alabama,1073,AL_0
Lamar,Alabama,1075,AL_0
Lauderdale,Alabama,1077,AL_0
Lawrence,Alabama,1079,AL_0
Lee,Alabama,1081,AL_1
Limestone,Alabama,1083,AL_0
Lowndes,Alabama,1085,AL_1
Macon,Alabama,1087,AL_1
Madison,Alabama,1089,AL_0
Marengo,Alabama,1091,AL_0
Marion,Alabama,1093,AL_0
Marshall,Alabama,1095,AL_0
Mobile,Alabama,1097,AL_1
Monroe,Alabama,1099,AL_1
Montgomery,Alabama,1101,AL_1
Morgan,Alabama,1103,AL_0
Perry,Alabama,1105,AL_0
Pickens,Alabama,1107,AL_0
Pike,Alabama,1109,AL_1
Randolph,Alabama,1111,AL_1
Russell,Alabama,1113,AL_1
Shelby,Alabama,1117,AL_0
St. Clair,Alabama,1115,AL_1
Sumter,Alabama,1119,AL_0
Talladega,Alabama,1121,AL_1
Tallapoosa,Alabama,1123,AL_1
Tuscaloosa,Alabama,1125,AL_0
Walker,Alabama,1127,AL_0
Washington,Alabama,1129,AL_1
Wilcox,Alabama,1131,AL_0
Winston,Alabama,1133,AL_0
Apache,Arizona,4001,AZ_0
Cochise,Arizona,4003,AZ_1
Coconino,Arizona,4005,AZ_0
Gila,Arizona,4007,AZ_1
Graham,Arizona,4009,AZ_1
Greenlee,Arizona,4011,AZ_1
La Paz,Arizona,4012,AZ_1
Maricopa,Arizona,4013,AZ_1
Mohave,Arizona,4015,AZ_0
Navajo,Arizona,4017,AZ_0
Pima,Arizona,4019,AZ_1
Pinal,Arizona,4021,AZ_1
Santa Cruz,Arizona,4023,AZ_1
Yavapai,Arizona,4025,AZ_0
Yuma,Arizona,4027,AZ_1
Arkansas,Arkansas,5001,AR_1
Ashley,Arkansas,5003,AR_1
Baxter,Arkansas,5005,AR_1
Benton,Arkansas,5007,AR_0
Boone,Arkansas,5009,AR_0
Bradley,Arkansas,5011,AR_1
Calhoun,Arkansas,5013,AR_1
Carroll,Arkansas,5015,AR_0
Chicot,Arkansas,5017,AR_1
Clark,Arkansas,5019,AR_1
Clay,Arkansas,5021,AR_1
Cleburne,Arkansas,5023,AR_0
Cleveland,Arkansas,5025,AR_1
Columbia,Arkansas,5027,AR_1
Conway,Arkansas,5029,AR_1
Craighead,Arkansas,5031,AR_1
Crawford,Arkansas,5033,AR_0
Crittenden,Arkansas,5035,AR_1
Cross,Arkansas,5037,AR_1
Dallas,Arkansas,5039,AR_1
Desha,Arkansas,5041,AR_1
Drew,Arkansas,5043,AR_1
Faulkner,Arkansas,5045,AR_1
Franklin,Arkansas,5047,AR_0
Fulton,Arkansas,5049,AR_1
Garland,Arkansas,5051,AR_1
Grant,Arkansas,5053,AR_1
Greene,Arkansas,5055,AR_1
Hempstead,Arkansas,5057,AR_0
Hot Spring,Arkansas,5059,AR_1
Howard,Arkansas,5061,AR_0
Independence,Arkansas,5063,AR_1
Izard,Arkansas,5065,AR_1
Jackson,Arkansas,5067,AR_1
Jefferson,Arkansas,5069,AR_1
Johnson,Arkansas,5071,AR_0
Lafayette,Arkansas,5073,AR_1
Lawrence,Arkansas,5075,AR_1
Lee,Arkansas,5077,AR_1
Lincoln,Arkansas,5079,AR_1
Little River,Arkansas,5081,AR_1
Logan,Arkansas,5083,AR_0
Lonoke,Arkansas,5085,AR_1
Madison,Arkansas,5087,AR_0
Marion,Arkansas,5089,AR_0
Miller,Arkansas,5091,AR_1
Mississippi,Arkansas,5093,AR_1
Monroe,Arkansas,5095,AR_1
Montgomery,Arkansas,5097,AR_0
Nevada,Arkansas,5099,AR_1
Newton,Arkansas,5101,AR_0
Ouachita,Arkansas,5103,AR_1
Perry,Arkansas,5105,AR_1
Phillips,Arkansas,5107,AR_1
Pike,Arkansas,5109,AR_0
Poinsett,Arkansas,5111,AR_1
Polk,Arkansas,5113,AR_0
Pope,Arkansas,5115,AR_1
Prairie,Arkansas,5117,AR_1
Pulaski,Arkansas,5119,AR_1
Randolph,Arkansas,5121,AR_1
Saline,Arkansas,5125,AR_1
