r,st,interconnect,transgrp,transreg,nercr,hurdlereg
FIPS_53007,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
FIPS_53029,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
FIPS_53033,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
FIPS_53035,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
FIPS_53037,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
FIPS_53053,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
FIPS_53055,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
FIPS_53057,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
FIPS_53061,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
FIPS_53067,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
FIPS_53073,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
FIPS_53003,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53005,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53009,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53011,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53013,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53015,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53023,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53027,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53031,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53039,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53041,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53045,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53049,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53059,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53069,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53071,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53077,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
FIPS_53001,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
FIPS_53019,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
FIPS_53021,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
FIPS_53043,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
FIPS_53047,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
FIPS_53051,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
FIPS_53063,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
FIPS_53065,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
FIPS_53075,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
FIPS_53017,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,PUD_No2_of_Grant_County
