FIPS,ba,county_name,state
53007,WA,chelan,WA
53029,WA,island,WA
53033,WA,king,WA
53035,WA,kitsap,WA
53037,WA,kittitas,WA
53053,WA,pierce,WA
53055,WA,san juan,WA
53057,WA,skagit,WA
53061,WA,snohomish,WA
53067,WA,thurston,WA
53073,WA,whatcom,WA
53003,WA,asotin,WA
53005,WA,benton,WA
53009,WA,clallam,WA
53011,WA,clark,WA
53013,WA,columbia,WA
53015,WA,cowlitz,WA
53023,WA,garfield,WA
53027,WA,grays harbor,WA
53031,WA,jefferson,WA
53039,WA,klickitat,WA
53041,WA,lewis,WA
53045,WA,mason,WA
53049,WA,pacific,WA
53059,WA,skamania,WA
53069,WA,wahkiakum,WA
53071,WA,walla walla,WA
53077,WA,yakima,WA
53001,WA,adams,WA
53019,WA,ferry,WA
53021,WA,franklin,WA
53043,WA,lincoln,WA
53047,WA,okanogan,WA
53051,WA,pend oreille,WA
53063,WA,spokane,WA
53065,WA,stevens,WA
53075,WA,whitman,WA
53017,WA,douglas,WA
53025,WA,grant,WA
41003,OR,benton,OR
41005,OR,clackamas,OR
41007,OR,clatsop,OR
41009,OR,columbia,OR
41013,OR,crook,OR
41017,OR,deschutes,OR
41021,OR,gilliam,OR
41023,OR,grant,OR
41027,OR,hood river,OR
41031,OR,jefferson,OR
41039,OR,lane,OR
41041,OR,lincoln,OR
41043,OR,linn,OR
41047,OR,marion,OR
41049,OR,morrow,OR
41051,OR,multnomah,OR
41053,OR,polk,OR
41055,OR,sherman,OR
41057,OR,tillamook,OR
41059,OR,umatilla,OR
41061,OR,union,OR
41063,OR,wallowa,OR
41065,OR,wasco,OR
41067,OR,washington,OR
41069,OR,wheeler,OR
41071,OR,yamhill,OR
41011,OR,coos,OR
41015,OR,curry,OR
41019,OR,douglas,OR
41029,OR,jackson,OR
41033,OR,josephine,OR
41035,OR,klamath,OR
41001,OR,baker,OR
41025,OR,harney,OR
41037,OR,lake,OR
41045,OR,malheur,OR
06035,CA_NorthernGrid,lassen,CA
06049,CA_NorthernGrid,modoc,CA
06093,CA_NorthernGrid,siskiyou,CA
06001,CA_N_CAISO,alameda,CA
06003,CA_N_CAISO,alpine,CA
06005,CA_N_CAISO,amador,CA
06007,CA_N_CAISO,butte,CA
06009,CA_N_CAISO,calaveras,CA
06011,CA_N_CAISO,colusa,CA
06013,CA_N_CAISO,contra costa,CA
06015,CA_N_CAISO,del norte,CA
06017,CA_N_CAISO,el dorado,CA
06019,CA_N_CAISO,fresno,CA
06021,CA_N_CAISO,glenn,CA
06023,CA_N_CAISO,humboldt,CA
06031,CA_N_CAISO,kings,CA
06033,CA_N_CAISO,lake,CA
06039,CA_N_CAISO,madera,CA
06041,CA_N_CAISO,marin,CA
06043,CA_N_CAISO,mariposa,CA
06045,CA_N_CAISO,mendocino,CA
06047,CA_N_CAISO,merced,CA
06053,CA_N_CAISO,monterey,CA
06055,CA_N_CAISO,napa,CA
06057,CA_N_CAISO,nevada,CA
06061,CA_N_CAISO,placer,CA
06063,CA_N_CAISO,plumas,CA
06067,CA_N_CAISO,sacramento,CA
06069,CA_N_CAISO,san benito,CA
06075,CA_N_CAISO,san francisco,CA
06077,CA_N_CAISO,san joaquin,CA
06079,CA_N_CAISO,san luis obispo,CA
06081,CA_N_CAISO,san mateo,CA
06083,CA_N_CAISO,santa barbara,CA
06085,CA_N_CAISO,santa clara,CA
06087,CA_N_CAISO,santa cruz,CA
06089,CA_N_CAISO,shasta,CA
06091,CA_N_CAISO,sierra,CA
06095,CA_N_CAISO,solano,CA
06097,CA_N_CAISO,sonoma,CA
06099,CA_N_CAISO,stanislaus,CA
06101,CA_N_CAISO,sutter,CA
06103,CA_N_CAISO,tehama,CA
06105,CA_N_CAISO,trinity,CA
06109,CA_N_CAISO,tuolumne,CA
06113,CA_N_CAISO,yolo,CA
06115,CA_N_CAISO,yuba,CA
06025,CA_S_CAISO,imperial,CA
06027,CA_S_CAISO,inyo,CA
06029,CA_S_CAISO,kern,CA
06037,CA_S_CAISO,los angeles,CA
06051,CA_S_CAISO,mono,CA
06059,CA_S_CAISO,orange,CA
06065,CA_S_CAISO,riverside,CA
06071,CA_S_CAISO,san bernardino,CA
06107,CA_S_CAISO,tulare,CA
06111,CA_S_CAISO,ventura,CA
06073,CA_S_CAISO,san diego,CA
32001,NV,churchill,NV
32005,NV,douglas,NV
